name,K1022N1_GN1_mean_score,K1030N1_GN1_mean_score,K1040N1_GN1_mean_score,K1063N1_GN1_mean_score,K1065N1_GN1_mean_score,K1013T2_GB1_mean_score,K1030T1_GB1_mean_score,K1030T2_GB1_mean_score,K1030T3_GB1_mean_score,K1063T1_GB1_mean_score,K1063T2_GB1_mean_score,K1184T1_GA1_mean_score,K1040T1_GB1_mean_score,K1022T1_GB1_mean_score
BNC2,0.22363,0.29678,0.41836,0.22155,0.26039,0.2757,0.16905,0.23623,0.25009,0.17195,0.1333,0.11706,0.20559,0.16127
JUNB,0.21755,0.2862,0.41192,0.21761,0.25364,0.27149,0.16429,0.23125,0.24454,0.1722,0.13207,0.11706,0.20509,0.16079
FOSL1::JUND,0.1689,0.18593,0.26,0.15489,0.18116,0.26485,0.15533,0.19508,0.22332,0.15224,0.13326,0.09115,0.20449,0.14845
JDP2,0.20671,0.26163,0.38793,0.20426,0.23392,0.25563,0.15155,0.22261,0.23576,0.1641,0.12228,0.10911,0.20414,0.15659
MAFG::NFE2L1,0.18586,0.24128,0.34042,0.17943,0.21084,0.24873,0.15025,0.20188,0.22651,0.1509,0.11675,0.09575,0.20329,0.15801
ZKSCAN3,0.1522,0.17342,0.23398,0.13825,0.15774,0.23487,0.1558,0.19692,0.23281,0.12945,0.11997,0.07715,0.20322,0.15722
Plagl1,0.14474,0.16148,0.2204,0.13271,0.15051,0.22952,0.15241,0.20609,0.22774,0.12653,0.12054,0.07512,0.20257,0.1466
VEZF1,0.121,0.13203,0.18546,0.11212,0.1273,0.23984,0.15438,0.22976,0.22864,0.12788,0.13109,0.07774,0.20229,0.15424
PAX1,0.17122,0.19032,0.26325,0.14893,0.17817,0.2654,0.1523,0.16107,0.19356,0.14242,0.1233,0.05515,0.20219,0.15151
Znf423,0.13358,0.15694,0.20405,0.1214,0.13834,0.21954,0.14854,0.19026,0.23058,0.12175,0.11153,0.06259,0.20213,0.14854
REST,0.14342,0.16245,0.21808,0.12739,0.14758,0.22864,0.153,0.18956,0.21813,0.12677,0.11589,0.06755,0.20213,0.15406
ZNF707,0.13793,0.16135,0.21096,0.12429,0.14273,0.22484,0.14647,0.18851,0.2189,0.12389,0.11315,0.06849,0.20166,0.14543
Jun,0.21437,0.28449,0.40438,0.21294,0.25034,0.26749,0.1626,0.22696,0.24031,0.16771,0.12943,0.11303,0.20123,0.16423
NFE2,0.20199,0.25457,0.37529,0.19812,0.22755,0.2541,0.15032,0.21971,0.23485,0.16031,0.12043,0.10563,0.20084,0.14835
IRF6,0.15222,0.17828,0.21151,0.13049,0.15084,0.22994,0.15313,0.1843,0.21068,0.13588,0.12281,0.06256,0.20077,0.14102
ZNF669,0.19173,0.19677,0.26927,0.18,0.20255,0.3052,0.21815,0.2932,0.29194,0.18472,0.18468,0.1041,0.20068,0.16768
ZNF449,0.14864,0.17291,0.22835,0.13446,0.1552,0.2352,0.15467,0.19549,0.23,0.12907,0.11908,0.07812,0.19928,0.15928
PAX9,0.16506,0.18786,0.25774,0.14457,0.17461,0.25846,0.14945,0.15963,0.1931,0.13916,0.11915,0.05655,0.19914,0.1518
TFAP4::FLI1,0.15002,0.16893,0.22067,0.12777,0.14867,0.22356,0.14798,0.17359,0.21307,0.12467,0.1126,0.06246,0.19902,0.15134
SP8,0.19226,0.2044,0.2715,0.18032,0.20185,0.31729,0.21368,0.31616,0.30707,0.1836,0.18674,0.1203,0.19853,0.16588
ZSCAN29,0.14094,0.15348,0.21259,0.1268,0.14297,0.20658,0.14448,0.17762,0.2152,0.12708,0.11367,0.0698,0.19848,0.13899
BHLHE40,0.17515,0.17446,0.22822,0.14886,0.16275,0.23686,0.15205,0.2288,0.24787,0.13676,0.13398,0.0842,0.19791,0.15935
FOSL1,0.21733,0.28752,0.41189,0.21717,0.25391,0.27055,0.16372,0.22932,0.24242,0.17132,0.13152,0.11612,0.19755,0.15342
PAX5,0.20659,0.21096,0.28356,0.18748,0.21422,0.31029,0.21353,0.27436,0.2728,0.18713,0.18535,0.10467,0.19742,0.1635
HES7,0.15877,0.16539,0.22646,0.14439,0.1607,0.23696,0.14996,0.20986,0.22203,0.1306,0.12634,0.07481,0.19658,0.15149
ZNF816,0.13212,0.14999,0.20345,0.11989,0.13723,0.22361,0.14696,0.19921,0.21827,0.1226,0.11571,0.06796,0.19622,0.15054
MAFK,0.18079,0.23812,0.32446,0.17471,0.20845,0.24734,0.15409,0.20226,0.22585,0.14487,0.11745,0.0938,0.19512,0.15923
NHLH1,0.14649,0.16518,0.21982,0.12633,0.14808,0.22042,0.14293,0.16947,0.20713,0.1176,0.10666,0.06211,0.19507,0.14345
GCM2,0.1412,0.15299,0.21175,0.12919,0.14709,0.22557,0.14914,0.20495,0.21491,0.12899,0.1234,0.07455,0.19484,0.15418
ETV5::FIGLA,0.15496,0.17693,0.22847,0.13861,0.15824,0.23397,0.15464,0.19523,0.22517,0.13112,0.12255,0.06848,0.19475,0.16811
ZIC1,0.17175,0.18493,0.24901,0.16163,0.18235,0.28114,0.20278,0.27816,0.30261,0.16756,0.16404,0.09103,0.19422,0.15989
NR2C2,0.13309,0.14561,0.20289,0.11938,0.13498,0.22519,0.14338,0.19141,0.21053,0.1202,0.11405,0.06713,0.19402,0.15144
Bhlha15,0.13678,0.15601,0.20787,0.11551,0.13736,0.2159,0.13822,0.1559,0.19894,0.11386,0.10134,0.06079,0.19367,0.14937
REL,0.16695,0.18465,0.24421,0.13958,0.15972,0.24207,0.1464,0.17152,0.20447,0.14745,0.11527,0.05959,0.19351,0.14962
NHLH2,0.17645,0.19115,0.25786,0.15998,0.18363,0.2593,0.17639,0.2261,0.24305,0.14814,0.14256,0.08061,0.19349,0.15752
FOS::JUN,0.22109,0.28759,0.41603,0.22076,0.25556,0.27181,0.16513,0.23537,0.24795,0.17425,0.13279,0.11905,0.19344,0.14595
NR1I2,0.13485,0.14456,0.20253,0.11649,0.13487,0.20827,0.13853,0.17164,0.20286,0.11561,0.10476,0.05842,0.19243,0.14564
E2F3,0.13869,0.13733,0.18623,0.11368,0.1228,0.20975,0.14124,0.17595,0.21349,0.12159,0.10935,0.05899,0.19146,0.14278
SOHLH2,0.16189,0.1617,0.22166,0.13966,0.15209,0.2393,0.14744,0.21816,0.23389,0.12786,0.12334,0.0804,0.19143,0.14418
ASCL1,0.14612,0.16203,0.21634,0.12531,0.14623,0.22368,0.14539,0.1713,0.20773,0.11795,0.1084,0.06249,0.19133,0.14891
FOS::JUN,0.16136,0.1761,0.24556,0.14608,0.17393,0.2814,0.16055,0.19104,0.22693,0.1519,0.13552,0.08884,0.19081,0.16168
TFAP2C,0.19089,0.18747,0.27032,0.17418,0.18502,0.25296,0.1781,0.24336,0.24866,0.14712,0.14625,0.0898,0.19073,0.15505
ZNF682,0.18685,0.19967,0.2671,0.17492,0.19932,0.29895,0.20599,0.28547,0.28413,0.17709,0.17752,0.10861,0.19068,0.15933
ZNF16,0.13551,0.16186,0.21098,0.1227,0.14008,0.22053,0.14206,0.18193,0.21646,0.1199,0.10682,0.06504,0.1905,0.14355
Ebf2,0.13268,0.15195,0.20395,0.11817,0.13304,0.2064,0.13636,0.1892,0.20519,0.1134,0.10289,0.06313,0.18993,0.1474
ZNF574,0.17544,0.19039,0.24955,0.1605,0.18149,0.27293,0.19455,0.24868,0.27105,0.16186,0.15721,0.09191,0.18972,0.1549
USF2,0.20423,0.20807,0.26566,0.1774,0.19807,0.28688,0.17444,0.25935,0.2832,0.16612,0.16063,0.09722,0.18844,0.15295
HEY2,0.18027,0.17813,0.24029,0.15998,0.17524,0.26649,0.175,0.25125,0.25892,0.15304,0.15095,0.09194,0.18844,0.15295
ZNF460,0.15882,0.16799,0.2309,0.14963,0.1673,0.25597,0.17367,0.24421,0.23857,0.14556,0.14576,0.08738,0.18844,0.15295
ZNF530,0.15332,0.17218,0.22891,0.14194,0.16104,0.26145,0.17419,0.2373,0.2484,0.14538,0.14168,0.0868,0.18844,0.15295
HIF1A,0.17437,0.17682,0.23547,0.15271,0.1674,0.26205,0.17278,0.22381,0.24038,0.14629,0.13766,0.08205,0.18844,0.15295
SREBF2,0.17324,0.18434,0.23871,0.15033,0.17304,0.24819,0.14272,0.21086,0.23678,0.13901,0.13,0.07879,0.18838,0.14344
Zfp809,0.12954,0.1507,0.20013,0.11449,0.13074,0.20741,0.13182,0.16671,0.1976,0.11188,0.09949,0.06252,0.18797,0.12831
FOS,0.17059,0.18361,0.25751,0.15565,0.18517,0.29936,0.17221,0.2095,0.24322,0.16223,0.14673,0.0982,0.18789,0.15372
Zic1::Zic2,0.13917,0.16934,0.21766,0.12309,0.14309,0.21733,0.14164,0.17216,0.23158,0.11724,0.10214,0.05833,0.18785,0.14279
MAF,0.15365,0.18464,0.24907,0.13693,0.16153,0.23084,0.14306,0.17287,0.21465,0.12686,0.10437,0.07042,0.18773,0.14212
JUN::JUNB,0.22583,0.29604,0.41849,0.22397,0.26181,0.27897,0.17138,0.23967,0.25353,0.17468,0.13632,0.11937,0.18759,0.15326
ARNT2,0.18864,0.19265,0.24742,0.16443,0.18139,0.27001,0.17058,0.2493,0.26696,0.15509,0.15163,0.09222,0.18721,0.1527
MYBL2,0.15051,0.15686,0.21088,0.12274,0.13569,0.20087,0.12879,0.14834,0.18667,0.11829,0.10086,0.05141,0.1871,0.13756
PAX2,0.18242,0.19607,0.27146,0.16171,0.19311,0.28715,0.17014,0.19286,0.21522,0.15573,0.14176,0.06428,0.18654,0.15222
GMEB2,0.19812,0.19735,0.25417,0.16907,0.18998,0.27629,0.16996,0.21946,0.25262,0.16393,0.1503,0.0961,0.18646,0.15188
BHLHE41,0.20028,0.19885,0.258,0.17328,0.19285,0.27539,0.17045,0.26185,0.27565,0.15825,0.15684,0.09666,0.18638,0.15219
KLF4,0.1744,0.19239,0.25933,0.16461,0.18569,0.29567,0.19442,0.2868,0.28389,0.16674,0.16781,0.10944,0.18565,0.15294
OSR1,0.13851,0.15654,0.20539,0.11945,0.13714,0.20606,0.13843,0.16367,0.20569,0.12,0.10229,0.05835,0.18542,0.1365
MAX,0.17599,0.18049,0.23558,0.15312,0.16905,0.25421,0.16148,0.23156,0.25214,0.1453,0.13963,0.08538,0.18536,0.13918
BATF::JUN,0.22363,0.29678,0.41836,0.22155,0.26039,0.2757,0.16905,0.23623,0.25009,0.17195,0.1333,0.11706,0.18534,0.151
RFX3,0.1572,0.16055,0.21215,0.1328,0.14392,0.25642,0.16959,0.18112,0.2478,0.1523,0.12837,0.07011,0.18475,0.15089
ZNF770,0.13741,0.15546,0.20847,0.12593,0.14361,0.20966,0.13942,0.18324,0.20328,0.1155,0.10875,0.07021,0.18456,0.13721
CTCF,0.17815,0.2018,0.25689,0.16102,0.18188,0.28117,0.20533,0.25419,0.33353,0.16799,0.15019,0.0817,0.18426,0.15498
THAP1,0.14026,0.1628,0.21989,0.12362,0.14022,0.2139,0.13692,0.16489,0.21001,0.11158,0.09816,0.06028,0.18421,0.14477
EHF,0.14231,0.18416,0.21824,0.12684,0.14765,0.22662,0.13679,0.15886,0.21556,0.12194,0.10672,0.0657,0.18421,0.14477
ELK1::HOXA1,0.202,0.22024,0.26365,0.1773,0.19748,0.29636,0.19822,0.23662,0.28136,0.18161,0.17113,0.09832,0.18418,0.15393
Ptf1A,0.13242,0.15314,0.20604,0.10994,0.13286,0.20266,0.12845,0.13975,0.18758,0.11035,0.09336,0.05577,0.18414,0.12445
PLAG1,0.14121,0.15651,0.21415,0.13167,0.14896,0.24576,0.16357,0.23103,0.2384,0.13508,0.13443,0.08322,0.18406,0.1457
GLIS1,0.15037,0.16255,0.21652,0.13848,0.1568,0.24761,0.16929,0.23372,0.24513,0.14286,0.14085,0.08327,0.18393,0.14984
BATF,0.22363,0.29678,0.41836,0.22155,0.26039,0.2757,0.16905,0.23623,0.25009,0.17195,0.1333,0.11706,0.18387,0.14998
Tcf21,0.12743,0.14377,0.1949,0.10373,0.1242,0.19055,0.11844,0.12802,0.17602,0.10514,0.08689,0.04725,0.18365,0.12839
ZBED1,0.1774,0.18754,0.24041,0.15408,0.18081,0.24254,0.1819,0.23154,0.25729,0.16371,0.14957,0.09857,0.18338,0.15108
ZNF213,0.15974,0.17205,0.23603,0.14752,0.167,0.25026,0.16883,0.22463,0.23371,0.13992,0.13585,0.08136,0.18336,0.14947
Zic3,0.13917,0.16934,0.21766,0.12309,0.14309,0.21733,0.14164,0.17216,0.23158,0.11724,0.10214,0.05833,0.18317,0.14439
THRB,0.14281,0.16058,0.22206,0.12858,0.14544,0.2188,0.1455,0.18263,0.2142,0.12079,0.10954,0.06306,0.18314,0.13301
SPIB,0.1259,0.16174,0.19871,0.11264,0.13084,0.20527,0.1274,0.15253,0.19763,0.11232,0.09685,0.05825,0.18312,0.13603
HOXB2::ELK1,0.17879,0.19961,0.24369,0.1561,0.1745,0.26287,0.16904,0.20004,0.24902,0.1572,0.14293,0.08462,0.1831,0.14848
ZBTB6,0.1318,0.1546,0.20418,0.1171,0.13537,0.20691,0.13552,0.16884,0.20224,0.11122,0.10033,0.06251,0.183,0.13403
Arntl,0.19284,0.19512,0.24898,0.16654,0.1841,0.26766,0.16824,0.25309,0.26816,0.15423,0.15224,0.09345,0.18293,0.14856
CREM,0.19117,0.20623,0.27556,0.17407,0.20526,0.31996,0.1944,0.23754,0.26901,0.17478,0.16389,0.10458,0.18254,0.15286
BACH2,0.22378,0.28669,0.41241,0.22074,0.25474,0.27774,0.16903,0.24407,0.25816,0.17458,0.13408,0.11956,0.18245,0.14889
Rfx6,0.14095,0.15546,0.20466,0.12024,0.13487,0.22024,0.1441,0.1592,0.21353,0.12621,0.1062,0.05884,0.18219,0.15447
RUNX2,0.13085,0.14751,0.20625,0.12222,0.13494,0.19436,0.14393,0.15426,0.21564,0.13811,0.11441,0.07324,0.18205,0.14632
Neurod2,0.13858,0.15979,0.21277,0.11809,0.14032,0.21866,0.13797,0.15857,0.20126,0.11482,0.10123,0.06068,0.18201,0.14174
ZSCAN31,0.14373,0.16341,0.21991,0.12484,0.14243,0.20759,0.1321,0.15785,0.19888,0.11485,0.09895,0.05955,0.18173,0.13544
HES5,0.16753,0.167,0.22988,0.15235,0.16726,0.25539,0.16629,0.23809,0.24039,0.1452,0.14454,0.08746,0.1817,0.14743
ETV2::FIGLA,0.16805,0.18638,0.23978,0.14819,0.16967,0.24677,0.16634,0.20773,0.23649,0.14184,0.13457,0.07283,0.18147,0.14694
PLAGL2,0.14604,0.16005,0.21768,0.13559,0.15448,0.24694,0.16677,0.23202,0.24128,0.137,0.13764,0.08397,0.18146,0.1441
ZFP42,0.14172,0.15487,0.20039,0.12013,0.13888,0.21613,0.1358,0.17079,0.21544,0.12369,0.1097,0.06306,0.18139,0.13517
MYC,0.17057,0.17624,0.23294,0.1498,0.16543,0.25525,0.16021,0.22651,0.24737,0.1425,0.13602,0.08351,0.18137,0.13961
OVOL1,0.1613,0.16145,0.21116,0.13171,0.14908,0.24819,0.18487,0.22133,0.2535,0.16595,0.15067,0.08024,0.18136,0.15008
ATF3,0.18233,0.19343,0.26723,0.16496,0.19709,0.3221,0.1825,0.21804,0.25328,0.17095,0.15678,0.10496,0.18123,0.15005
FOSL1::JUND,0.21179,0.27416,0.39817,0.21017,0.24353,0.26334,0.15794,0.22616,0.23877,0.16868,0.12795,0.11299,0.18075,0.13437
RXRG,0.13583,0.14654,0.20373,0.12085,0.13843,0.21979,0.14174,0.18529,0.21158,0.11927,0.11164,0.06816,0.18059,0.14241
NFKB2,0.13066,0.15628,0.20296,0.11521,0.14009,0.22027,0.1365,0.16969,0.18306,0.12656,0.10515,0.05468,0.17976,0.13238
GLIS3,0.12148,0.13934,0.18562,0.11101,0.12705,0.20761,0.13726,0.18723,0.21598,0.11287,0.10784,0.06316,0.1796,0.12812
Erg,0.13559,0.17419,0.20936,0.12083,0.14032,0.22296,0.1355,0.15737,0.21857,0.11969,0.10381,0.06469,0.17941,0.13977
ETV1,0.13334,0.17253,0.20748,0.11794,0.13757,0.21787,0.13145,0.15166,0.21368,0.11533,0.09913,0.06127,0.17937,0.13494
ZNF175,0.13039,0.16933,0.20487,0.11511,0.13452,0.2124,0.12785,0.14658,0.20939,0.11211,0.09518,0.0591,0.17927,0.13607
EBF3,0.13921,0.15656,0.21189,0.12472,0.13932,0.21059,0.14068,0.19569,0.20987,0.11571,0.10709,0.06708,0.17922,0.14653
ZNF740,0.1406,0.15885,0.21339,0.12947,0.14792,0.2567,0.16368,0.24006,0.24633,0.13665,0.13575,0.09079,0.17902,0.14373
GABPA,0.13478,0.17317,0.20903,0.12031,0.13968,0.22223,0.1352,0.15668,0.21798,0.11945,0.10347,0.06487,0.17901,0.13871
ZNF263,0.14602,0.17023,0.2221,0.1356,0.15237,0.24651,0.16174,0.21733,0.24163,0.13605,0.12883,0.07843,0.17884,0.14344
RFX2,0.14192,0.14698,0.19819,0.11889,0.12817,0.22954,0.14778,0.15388,0.22138,0.13557,0.10904,0.06016,0.17874,0.13724
RFX1,0.15069,0.15498,0.20606,0.12708,0.13784,0.246,0.16158,0.17015,0.2381,0.14656,0.12144,0.06696,0.17866,0.14262
RXRB,0.13033,0.14348,0.19875,0.11585,0.13371,0.20834,0.13371,0.17661,0.20284,0.11246,0.1034,0.06401,0.17864,0.13386
FEZF2,0.13025,0.15191,0.20281,0.11919,0.13721,0.20655,0.13445,0.17562,0.1986,0.11068,0.10293,0.06675,0.17847,0.13327
CLOCK,0.14779,0.15835,0.20902,0.12733,0.14134,0.21602,0.1387,0.18832,0.21949,0.1245,0.11282,0.06774,0.17837,0.15174
RBPJ,0.12247,0.14403,0.18957,0.10524,0.11872,0.19068,0.1179,0.14337,0.18418,0.10544,0.08779,0.05188,0.17827,0.13631
NR1H4::RXRA,0.12695,0.1396,0.19891,0.10911,0.12317,0.19149,0.11723,0.13405,0.16998,0.10422,0.08535,0.04589,0.17827,0.13631
FOSL2,0.20139,0.26393,0.37694,0.19953,0.23322,0.25403,0.15367,0.21524,0.23105,0.15749,0.12154,0.10637,0.17813,0.13596
MSANTD3,0.13933,0.16879,0.22711,0.12678,0.1464,0.20447,0.12904,0.16333,0.19271,0.11431,0.09856,0.06297,0.17813,0.12823
Ascl2,0.13925,0.15719,0.20954,0.11746,0.1373,0.21223,0.13529,0.1561,0.19936,0.11293,0.09931,0.05758,0.17754,0.13471
Nfe2l2,0.17381,0.22699,0.31443,0.16558,0.19601,0.23747,0.14351,0.18676,0.21468,0.14068,0.11039,0.08765,0.17748,0.12816
Ikzf3,0.1339,0.17435,0.21073,0.12,0.14039,0.22122,0.13506,0.1584,0.21718,0.11606,0.10109,0.0631,0.1774,0.13277
Mafg,0.16723,0.21648,0.29384,0.15856,0.18916,0.24033,0.14757,0.19121,0.21827,0.13653,0.11096,0.086,0.17738,0.14659
ZNF143,0.13061,0.15516,0.20104,0.11695,0.13328,0.20741,0.12965,0.15509,0.19952,0.11721,0.10016,0.06386,0.17738,0.12776
HES6,0.14615,0.15642,0.21057,0.12753,0.144,0.2139,0.13375,0.17975,0.20396,0.11899,0.10874,0.06413,0.17737,0.13496
EBF1,0.13712,0.15743,0.20982,0.12199,0.1367,0.21083,0.13902,0.19018,0.212,0.11471,0.10402,0.06363,0.17732,0.14123
Zic2,0.13655,0.16576,0.21542,0.12092,0.14226,0.21322,0.13944,0.16899,0.22307,0.11671,0.10174,0.06119,0.17729,0.13558
MYBL1,0.15734,0.1562,0.21405,0.1285,0.13922,0.20502,0.13175,0.14802,0.18321,0.1238,0.10542,0.05162,0.17684,0.12982
NFIX,0.15431,0.16057,0.21283,0.12976,0.14008,0.26139,0.13303,0.17697,0.20245,0.11914,0.10523,0.06124,0.17675,0.13177
GLI3,0.13545,0.15266,0.20359,0.12413,0.13842,0.21487,0.14178,0.18819,0.21363,0.11952,0.1112,0.06906,0.17636,0.12939
MAX::MYC,0.14885,0.16256,0.21682,0.13004,0.14759,0.22873,0.14089,0.1861,0.21863,0.12721,0.11416,0.07077,0.17571,0.12721
JUND,0.12639,0.14551,0.21205,0.1137,0.13881,0.23444,0.1324,0.15122,0.18668,0.12182,0.10286,0.06974,0.1756,0.13489
NKX2-2,0.12383,0.14783,0.19826,0.11026,0.12559,0.19058,0.11797,0.1454,0.18338,0.10509,0.08828,0.05496,0.17544,0.11864
Ebf4,0.1339,0.15453,0.20647,0.11861,0.1331,0.20638,0.13451,0.18354,0.20767,0.1119,0.10009,0.06124,0.1751,0.13085
TFEB,0.15035,0.16431,0.2216,0.13111,0.1511,0.22769,0.13032,0.18831,0.21802,0.12769,0.11457,0.07081,0.17498,0.1315
Gli2,0.12108,0.14182,0.18917,0.10981,0.12469,0.19307,0.12485,0.16256,0.19032,0.10325,0.0952,0.06113,0.17489,0.13156
ZNF708,0.1416,0.16331,0.21676,0.12505,0.14411,0.21031,0.14022,0.17108,0.21148,0.11651,0.10362,0.06294,0.1748,0.12677
JUND,0.21544,0.28058,0.40761,0.2153,0.24947,0.26721,0.16121,0.22968,0.24256,0.17112,0.13003,0.11616,0.17466,0.14102
SMAD5,0.12783,0.1443,0.19646,0.11077,0.12793,0.19542,0.12828,0.15457,0.19163,0.11432,0.09829,0.05877,0.17443,0.13018
ERF::SREBF2,0.15089,0.16837,0.21826,0.1311,0.1512,0.22255,0.13992,0.17858,0.21772,0.12818,0.11393,0.06375,0.17438,0.12806
SP5,0.14284,0.16338,0.21636,0.13233,0.14971,0.2418,0.15848,0.21722,0.23312,0.13202,0.12743,0.07877,0.1743,0.13925
GCM1,0.14195,0.1542,0.21093,0.12667,0.14463,0.22503,0.14903,0.19419,0.21298,0.1274,0.11876,0.06763,0.17403,0.12888
FOXO1::FLI1,0.1146,0.14031,0.18003,0.09645,0.11086,0.17733,0.10746,0.1215,0.17543,0.09856,0.07764,0.04586,0.1736,0.13335
ZNF341,0.13569,0.15522,0.20237,0.11423,0.13113,0.1996,0.1305,0.15282,0.19838,0.11107,0.09427,0.05423,0.17348,0.12946
SNAI1,0.14748,0.17183,0.22829,0.13145,0.15104,0.19624,0.12089,0.15654,0.19294,0.10302,0.09256,0.04422,0.17327,0.12854
NR2F6,0.1289,0.14308,0.20337,0.1137,0.12931,0.20214,0.12794,0.15333,0.18593,0.10958,0.09562,0.05331,0.17308,0.13138
ZNF528,0.13233,0.15723,0.20463,0.11588,0.13156,0.2055,0.12825,0.15748,0.19839,0.11298,0.09717,0.05766,0.17306,0.12966
IRF4,0.11775,0.14691,0.17571,0.09877,0.11254,0.18237,0.12476,0.14788,0.1818,0.11704,0.09772,0.04584,0.17232,0.13297
SMAD2,0.12801,0.14837,0.20013,0.11348,0.13072,0.2072,0.1308,0.16018,0.19778,0.11257,0.09938,0.0605,0.17208,0.12664
ZNF684,0.12892,0.15484,0.20297,0.11641,0.13299,0.21107,0.13618,0.17236,0.21179,0.11638,0.10296,0.06403,0.17192,0.13167
ELF3,0.134,0.17512,0.21003,0.1193,0.13917,0.2157,0.12895,0.1506,0.209,0.11435,0.0984,0.06195,0.17186,0.13109
RELA,0.15282,0.1737,0.23065,0.12916,0.14837,0.22789,0.13768,0.16299,0.1967,0.13505,0.1058,0.05601,0.17184,0.12529
Hand1,0.13378,0.15584,0.20873,0.11907,0.13697,0.21055,0.13463,0.16541,0.2027,0.1142,0.10227,0.06418,0.17139,0.13457
NFIC,0.15019,0.15751,0.20812,0.12427,0.13392,0.25271,0.12331,0.16394,0.19264,0.11282,0.09654,0.05643,0.17139,0.12827
MITF,0.1503,0.16922,0.22645,0.13051,0.1542,0.23063,0.12545,0.18688,0.22214,0.12661,0.11201,0.07023,0.17095,0.12688
BARHL1,0.14884,0.15163,0.19851,0.1216,0.13349,0.19359,0.13789,0.16874,0.20097,0.12337,0.10752,0.05629,0.17052,0.13236
BARHL2,0.14884,0.15163,0.19851,0.1216,0.13349,0.19359,0.13789,0.16874,0.20097,0.12337,0.10752,0.05629,0.17052,0.13236
Olig2,0.13858,0.15979,0.21277,0.11809,0.14032,0.21866,0.13797,0.15857,0.20126,0.11482,0.10123,0.06068,0.17052,0.13236
Tcf12,0.13858,0.15979,0.21277,0.11809,0.14032,0.21866,0.13797,0.15857,0.20126,0.11482,0.10123,0.06068,0.17052,0.13236
Twist2,0.13858,0.15979,0.21277,0.11809,0.14032,0.21866,0.13797,0.15857,0.20126,0.11482,0.10123,0.06068,0.17052,0.13236
BCL11A,0.12662,0.15638,0.20884,0.11463,0.13468,0.19507,0.12542,0.14024,0.19261,0.11024,0.09299,0.05498,0.17046,0.12125
TFE3,0.17646,0.18653,0.24248,0.1526,0.17368,0.25803,0.15075,0.2272,0.25566,0.14422,0.13614,0.0832,0.17019,0.13451
ESR2,0.13058,0.14964,0.21127,0.11717,0.13322,0.20355,0.12947,0.16317,0.19908,0.10727,0.09452,0.05758,0.16992,0.12558
ELF1,0.13717,0.17707,0.2147,0.12292,0.1432,0.22381,0.13595,0.16029,0.21774,0.11863,0.10331,0.06567,0.16978,0.12196
Gmeb1,0.14661,0.15463,0.20346,0.12493,0.13858,0.19275,0.1215,0.15491,0.18087,0.12027,0.10284,0.06324,0.16978,0.12869
Spi1,0.12101,0.15515,0.19085,0.10751,0.12468,0.19844,0.12393,0.14855,0.19238,0.10833,0.09331,0.05462,0.16945,0.12807
ETV2::HOXB13,0.13342,0.14758,0.19534,0.11106,0.12198,0.1834,0.11614,0.13669,0.1798,0.10948,0.08945,0.0518,0.16934,0.11622
RARA::RXRA,0.12563,0.14402,0.20066,0.11063,0.12682,0.20113,0.1227,0.15317,0.18642,0.10546,0.09158,0.05339,0.16827,0.12517
MZF1,0.11498,0.13612,0.18393,0.10087,0.11895,0.19176,0.12279,0.15604,0.18582,0.10731,0.09111,0.05551,0.1682,0.12283
HSF2,0.11989,0.1185,0.17299,0.09265,0.10141,0.16344,0.09238,0.11845,0.16211,0.09251,0.07138,0.0385,0.1682,0.12183
TBX2,0.12058,0.14317,0.19795,0.10547,0.11872,0.16214,0.09326,0.11469,0.15454,0.08798,0.07007,0.03714,0.1682,0.12183
HOXA5,0.13074,0.13871,0.20305,0.10897,0.12078,0.16787,0.09376,0.11403,0.15504,0.09607,0.07121,0.04368,0.1682,0.12183
GATA1::TAL1,0.1005,0.11353,0.16937,0.08653,0.09961,0.15258,0.09206,0.11302,0.1561,0.08998,0.06873,0.04101,0.1682,0.12183
ZNF680,0.10208,0.11899,0.16724,0.08726,0.09778,0.16105,0.09235,0.11256,0.15276,0.0878,0.068,0.03942,0.1682,0.12183
Lef1,0.11113,0.11725,0.16994,0.09116,0.10165,0.1562,0.09192,0.11152,0.1493,0.08811,0.06785,0.03708,0.1682,0.12183
ZNF136,0.1086,0.12127,0.17462,0.09157,0.10117,0.16453,0.09247,0.10997,0.1529,0.08932,0.06787,0.0402,0.1682,0.12183
Pgr,0.1069,0.11724,0.16804,0.08761,0.09642,0.1559,0.09343,0.10872,0.15291,0.08746,0.06541,0.03643,0.1682,0.12183
ATOH7,0.1004,0.11587,0.16721,0.08425,0.098,0.15325,0.09232,0.10664,0.15367,0.08869,0.06819,0.04218,0.1682,0.12183
CEBPD,0.11879,0.14219,0.18786,0.09677,0.11564,0.15407,0.09326,0.10629,0.15398,0.09518,0.06954,0.04322,0.1682,0.12183
HNF1B,0.16341,0.15097,0.22715,0.13019,0.12228,0.20041,0.09393,0.09068,0.13245,0.11255,0.07957,0.02482,0.1682,0.12183
NR2F1,0.1303,0.14237,0.20187,0.11391,0.12981,0.20647,0.13258,0.15836,0.1916,0.11378,0.09937,0.05438,0.16782,0.13069
THRB,0.12411,0.14183,0.20139,0.10925,0.12618,0.19546,0.12147,0.14944,0.18495,0.10383,0.09128,0.05434,0.16775,0.12285
