name,K1022N1_GN1_mean_score,K1030N1_GN1_mean_score,K1040N1_GN1_mean_score,K1063N1_GN1_mean_score,K1065N1_GN1_mean_score,K1013T2_GB1_mean_score,K1030T1_GB1_mean_score,K1030T2_GB1_mean_score,K1030T3_GB1_mean_score,K1063T1_GB1_mean_score,K1063T2_GB1_mean_score,K1184T1_GA1_mean_score,K1040T1_GB1_mean_score,K1022T1_GB1_mean_score
KLF3,0.24049,0.24367,0.32856,0.22892,0.25779,0.36466,0.25983,0.38628,0.35485,0.2275,0.23605,0.14668,0.30047,0.23472
ETV7,0.1882,0.22623,0.26282,0.1726,0.19685,0.29722,0.19484,0.23326,0.28084,0.17363,0.1641,0.09915,0.29751,0.24046
KLF16,0.21026,0.21924,0.29353,0.19917,0.22218,0.34684,0.23539,0.35355,0.33623,0.20322,0.20975,0.13332,0.29717,0.21549
EGR4,0.22213,0.20608,0.29415,0.2093,0.21895,0.34274,0.23714,0.36041,0.31868,0.20499,0.21418,0.12665,0.29601,0.21833
ZNF454,0.20906,0.20261,0.28767,0.19675,0.21708,0.32472,0.234,0.3283,0.30018,0.1977,0.20471,0.11423,0.29514,0.2215
NFYB,0.20849,0.22426,0.28416,0.18642,0.21552,0.30769,0.21586,0.27288,0.32917,0.1903,0.17579,0.11078,0.29373,0.22147
FLI1,0.23907,0.25748,0.29965,0.21603,0.23998,0.37026,0.24634,0.29504,0.35162,0.22779,0.2225,0.13144,0.29337,0.22978
KLF14,0.21579,0.22585,0.303,0.20572,0.22952,0.35604,0.24256,0.36132,0.33898,0.21047,0.21803,0.1387,0.28789,0.22506
SP4,0.2046,0.21846,0.28892,0.19393,0.21739,0.3404,0.2295,0.3362,0.32471,0.19816,0.20321,0.12695,0.28778,0.22722
E2F6,0.20111,0.20849,0.27702,0.18995,0.20658,0.32649,0.2289,0.31972,0.30788,0.19929,0.20269,0.11435,0.28778,0.21575
E2F4,0.21354,0.21282,0.26417,0.18669,0.21055,0.31783,0.23872,0.31108,0.34238,0.20266,0.19832,0.10419,0.28625,0.22258
KLF5,0.19682,0.21399,0.28356,0.18621,0.20985,0.3233,0.21791,0.31963,0.31401,0.18714,0.19019,0.12343,0.28595,0.22904
ELK4,0.22619,0.25737,0.29612,0.20641,0.23441,0.35358,0.23857,0.28452,0.33419,0.21493,0.21018,0.12175,0.28404,0.22251
KLF13,0.20913,0.22854,0.28543,0.19358,0.22256,0.31863,0.22567,0.31173,0.32511,0.19596,0.1933,0.11825,0.28239,0.20957
ZIC4,0.17443,0.18415,0.24984,0.16421,0.18405,0.28567,0.20737,0.28773,0.31008,0.17087,0.1688,0.09257,0.28236,0.22221
ZIC5,0.18591,0.19011,0.26361,0.17736,0.19658,0.30827,0.22183,0.31724,0.31773,0.18529,0.18819,0.10373,0.27982,0.21221
KLF1,0.20129,0.21383,0.28804,0.19102,0.21416,0.33192,0.22397,0.33311,0.31463,0.19333,0.19908,0.12766,0.2798,0.21376
TFAP2B,0.21374,0.20027,0.29626,0.19895,0.21119,0.28883,0.20774,0.29484,0.27383,0.17725,0.18181,0.10687,0.27903,0.22499
TFAP2A,0.18767,0.18988,0.26554,0.1762,0.19084,0.28044,0.19988,0.27606,0.2753,0.16737,0.16857,0.09611,0.27893,0.20103
ZBTB7A,0.20254,0.23559,0.27476,0.18538,0.21203,0.32317,0.21803,0.26192,0.30676,0.19341,0.18624,0.1084,0.2769,0.20336
ZNF281,0.18398,0.19238,0.26304,0.17431,0.19413,0.32048,0.21498,0.31933,0.30083,0.18345,0.18959,0.11681,0.27634,0.20778
CTCFL,0.19104,0.20266,0.26771,0.17911,0.20125,0.30729,0.22217,0.30111,0.32187,0.18561,0.18234,0.10046,0.276,0.21948
JUNB,0.18436,0.19488,0.26946,0.16727,0.19869,0.32231,0.18552,0.22237,0.25528,0.1724,0.15827,0.10502,0.27375,0.22012
ZNF343,0.18926,0.19751,0.25944,0.17315,0.19369,0.29172,0.20865,0.27118,0.27919,0.17749,0.17528,0.09716,0.27305,0.20754
ELK1::SREBF2,0.22067,0.23237,0.28791,0.20088,0.223,0.33135,0.22841,0.28863,0.31171,0.20579,0.20357,0.11629,0.27293,0.21735
Npas4,0.18338,0.20493,0.26397,0.16565,0.18817,0.2629,0.18137,0.23225,0.24923,0.15931,0.14978,0.09812,0.27023,0.21668
SPDEF,0.20018,0.22602,0.26738,0.18069,0.20481,0.31337,0.21523,0.25878,0.30035,0.19218,0.18404,0.1061,0.26924,0.21334
ZFP57,0.22208,0.22062,0.28888,0.20236,0.22485,0.31764,0.23023,0.30201,0.30764,0.19538,0.19534,0.11101,0.2674,0.20524
HES1,0.22937,0.21641,0.28365,0.2064,0.2241,0.32399,0.22182,0.32586,0.31577,0.19821,0.20435,0.1192,0.26488,0.20495
FOSL1::JUN,0.17947,0.18715,0.26008,0.16144,0.19316,0.31666,0.17734,0.21454,0.2523,0.16854,0.15472,0.10399,0.26451,0.22906
Atf1,0.23423,0.25423,0.31263,0.21753,0.2499,0.36092,0.22762,0.29127,0.31359,0.20189,0.19477,0.13525,0.26336,0.20186
XBP1,0.20657,0.22186,0.2845,0.19186,0.21878,0.32262,0.2108,0.27279,0.28576,0.18461,0.17895,0.11996,0.26233,0.20207
ETS1,0.2052,0.22984,0.27006,0.18593,0.20794,0.32899,0.21306,0.25078,0.31654,0.19606,0.18719,0.11348,0.26162,0.20762
ETV6,0.20069,0.23814,0.27289,0.18331,0.20947,0.3121,0.20729,0.24701,0.2938,0.18636,0.17773,0.10517,0.26137,0.19226
ELF2,0.2015,0.24228,0.27281,0.18132,0.20866,0.31127,0.20247,0.23494,0.28851,0.1836,0.1729,0.09845,0.26119,0.20229
ELF4,0.20112,0.24255,0.27321,0.18126,0.20977,0.30973,0.20586,0.24194,0.28797,0.185,0.1749,0.09867,0.25917,0.19808
MAZ,0.17451,0.18643,0.25008,0.16509,0.1852,0.30414,0.20736,0.29651,0.28256,0.17574,0.17934,0.10722,0.25883,0.19999
TFAP2A,0.19999,0.19363,0.28167,0.18629,0.19941,0.28508,0.20311,0.28771,0.27346,0.17016,0.17354,0.10289,0.25867,0.20152
OVOL2,0.16965,0.16885,0.22445,0.13743,0.1545,0.26049,0.1891,0.22891,0.26127,0.16788,0.15177,0.08219,0.25565,0.19072
GLIS2,0.15138,0.15907,0.22066,0.14367,0.16005,0.26276,0.18388,0.26728,0.26863,0.14923,0.15468,0.08739,0.25564,0.19775
CREB3,0.20184,0.21351,0.27344,0.18263,0.20746,0.30098,0.19566,0.25519,0.27304,0.17577,0.16931,0.10842,0.25382,0.18823
CTCF,0.18195,0.20486,0.26086,0.16362,0.18518,0.28685,0.20914,0.257,0.33571,0.17103,0.15186,0.08255,0.25301,0.19613
E2F1,0.22488,0.22481,0.28207,0.20103,0.22434,0.33745,0.24962,0.32715,0.35558,0.21332,0.21158,0.11356,0.25273,0.20586
Ahr::Arnt,0.20759,0.20758,0.27336,0.18943,0.20894,0.30166,0.21207,0.28499,0.28521,0.18233,0.18047,0.10633,0.25152,0.19541
TFAP4::ETV1,0.1766,0.19145,0.24813,0.15866,0.17956,0.2663,0.1826,0.23177,0.25335,0.15625,0.15072,0.0839,0.25123,0.18653
CREB3L4,0.21355,0.21658,0.28773,0.19237,0.22578,0.34938,0.21255,0.26885,0.29855,0.1934,0.18446,0.11981,0.25097,0.1937
TFAP2B,0.19228,0.18814,0.27193,0.17564,0.1866,0.25511,0.17998,0.2472,0.24979,0.14877,0.1485,0.09073,0.25047,0.19348
TFAP2B,0.18299,0.1885,0.26052,0.17098,0.18539,0.27257,0.1937,0.2644,0.27039,0.1613,0.16125,0.0931,0.24952,0.19076
ZNF320,0.15329,0.1645,0.22831,0.14367,0.16168,0.26485,0.17869,0.25397,0.25005,0.14863,0.14999,0.08987,0.24557,0.18576
TFAP2C,0.18901,0.19089,0.26707,0.17788,0.19151,0.28038,0.20049,0.27778,0.27647,0.16796,0.16944,0.09706,0.24512,0.19065
NFYC,0.17113,0.18002,0.22377,0.1483,0.17416,0.25175,0.18243,0.26172,0.2984,0.16356,0.14417,0.09486,0.24499,0.18439
HEY1,0.18715,0.18294,0.24587,0.16591,0.18119,0.27455,0.17931,0.26086,0.26425,0.15907,0.15807,0.09553,0.24498,0.18606
E2F2,0.19067,0.19483,0.2363,0.16632,0.19087,0.29626,0.22088,0.28993,0.32429,0.18454,0.17643,0.0911,0.24497,0.19241
ZBTB7C,0.13803,0.15107,0.20193,0.12829,0.14664,0.23868,0.16146,0.22605,0.2329,0.13848,0.14022,0.08202,0.24382,0.21457
TFAP2E,0.20237,0.19381,0.28425,0.186,0.1967,0.26438,0.18812,0.26398,0.25673,0.15715,0.1594,0.09788,0.24363,0.17444
Creb3l2,0.20057,0.20417,0.26113,0.17583,0.19611,0.28692,0.19079,0.25997,0.27779,0.17178,0.16736,0.09813,0.24163,0.18006
CREB3L4,0.19031,0.20324,0.26372,0.17342,0.19553,0.29103,0.18743,0.24772,0.26525,0.16504,0.15963,0.10035,0.23932,0.19525
ATF7,0.17972,0.18779,0.26231,0.16201,0.19245,0.314,0.17841,0.21247,0.24878,0.16777,0.15279,0.10294,0.23848,0.17307
FOSB::JUNB,0.17275,0.18276,0.25657,0.15581,0.18636,0.30339,0.17051,0.2044,0.23981,0.16201,0.1467,0.09779,0.23823,0.18052
NFYA,0.19074,0.20107,0.24934,0.16788,0.19571,0.27838,0.20195,0.28123,0.32235,0.18091,0.16306,0.10722,0.23674,0.17939
KLF9,0.16687,0.18482,0.24479,0.15289,0.1721,0.25785,0.17115,0.2422,0.2562,0.14627,0.14116,0.09358,0.23592,0.18175
EPAS1,0.21687,0.20763,0.27919,0.19704,0.21418,0.33248,0.23957,0.30452,0.29063,0.20197,0.19695,0.10891,0.23529,0.19445
ETV2,0.16963,0.19622,0.23547,0.15027,0.16956,0.27675,0.17232,0.19817,0.26831,0.15738,0.14438,0.08833,0.2348,0.18203
