"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"WDR72",4.48801631254196e-18,-1.26812699061253,0.116,0.352,7.77414185658518e-14
"HOXD3",4.561077686506e-18,-0.660565965301151,0.337,0.63,7.9006987685657e-14
"PPP6R1",4.73956227137175e-18,-0.767007964924493,0.365,0.673,8.20986976647015e-14
"CPLANE1",4.82587596004494e-18,1.08084148728986,0.726,0.731,8.35938233798984e-14
"BAIAP2",4.90388679736338e-18,-0.600527416852064,0.383,0.666,8.49451271039286e-14
"FGF5",5.35180440731003e-18,4.03377946433836,0.253,0.065,9.27039559434244e-14
"TUT4",5.37722136513329e-18,0.969925162089416,0.785,0.881,9.31442284868388e-14
"UBE3D",5.77167690241799e-18,1.76862215226529,0.673,0.621,9.99769873036844e-14
"LCOR",5.84264262244009e-18,-0.539460044778648,0.707,0.944,1.01206255505907e-13
"DIPK1A",6.09393871647216e-18,2.2749446347032,0.344,0.131,1.05559206446731e-13
"EXOSC10",6.26607212926579e-18,-0.552275816940625,0.396,0.681,1.08540901423142e-13
"TMEM184C",6.43539358935093e-18,-0.669496262981171,0.37,0.657,1.11473887754737e-13
"C21orf91",6.58398257092504e-18,-1.2015239732357,0.137,0.34,1.14047746093564e-13
"STX3",6.67654026987556e-18,-0.568688499757282,0.519,0.823,1.15651030554784e-13
"USP50",6.74257466790442e-18,-1.50536059829592,0.067,0.26,1.1679487839744e-13
"RGS2",6.77816150281589e-18,-1.74413489779334,0.142,0.408,1.17411313551777e-13
"DCUN1D4",6.9759144416996e-18,1.51389043711672,0.69,0.608,1.2083678995912e-13
"HSPA4L",7.22487195395134e-18,1.64867172123356,0.603,0.493,1.25149231986345e-13
"RAB40C",7.26182404109214e-18,2.12343928942611,0.494,0.297,1.25789316039798e-13
"PCSK9",7.26667475220566e-18,-1.18188415780713,0.139,0.41,1.25873340057706e-13
"CNTNAP3B",8.10279114902367e-18,2.28225988355497,0.555,0.369,1.40356548283388e-13
"KLF12",8.59081396856006e-18,1.42572745079701,0.803,0.679,1.48810079563397e-13
"SERPINB6",8.6898665978198e-18,1.55442489374468,0.598,0.486,1.50525869207435e-13
"MAN1B1",9.04306465196534e-18,-0.695803236382909,0.214,0.45,1.56643965901344e-13
"MX1",9.23980180456997e-18,2.41286364527569,0.356,0.181,1.60051846858761e-13
"RAD50",9.26544676382634e-18,0.912615876282436,0.757,0.843,1.60496068843e-13
"SRP14",9.43784973636674e-18,-0.734451042049942,0.3,0.631,1.63482433133345e-13
"TNNI3K",1.0303252302959e-17,3.11702661886233,0.308,0.115,1.78472936391856e-13
"NBR1",1.03969626047141e-17,-0.569961438617707,0.478,0.775,1.80096186238858e-13
"BRD3",1.06008099432126e-17,-0.758197737046511,0.276,0.605,1.83627229836329e-13
"NT5C3A",1.110482651281e-17,1.56896065972866,0.53,0.37,1.92357804854895e-13
"PPP2R2A",1.12046820778182e-17,-0.691110624962509,0.656,0.911,1.94087502951967e-13
"RPL4",1.15278323830333e-17,-0.705828146706251,0.625,0.921,1.99685112538903e-13
"DDA1",1.16172516180704e-17,-0.843438799608361,0.238,0.483,2.01234032528216e-13
"CXCL2",1.2405544539444e-17,-0.819309799249158,0.316,0.67,2.14888842512249e-13
"ATP10D",1.28193826777507e-17,-1.26060117896982,0.505,0.72,2.22057346743997e-13
"NDRG1",1.31315158028379e-17,2.33494402233438,0.745,0.748,2.27464116736758e-13
"DSG2",1.35988493708464e-17,-0.585325136743209,0.58,0.843,2.35559268801802e-13
"ADGRV1",1.36520566340053e-17,3.40022251253227,0.294,0.077,2.36480925014241e-13
"SYCP2L",1.38519975032314e-17,3.29870603009423,0.277,0.058,2.39944300750975e-13
"CXCL8",1.46921476268882e-17,-0.533285790141678,0.351,0.616,2.54497381192957e-13
"UNC79",1.47185866395282e-17,-1.24444621109372,0.113,0.334,2.54955357769908e-13
"KRT8",1.51785995608386e-17,-0.708396354671432,0.572,0.871,2.62923701592847e-13
"MAN2C1",1.58191257627495e-17,-0.688877011191672,0.285,0.569,2.74018896462347e-13
"KATNBL1",1.59103460550343e-17,-0.522865521754866,0.503,0.784,2.75599014365304e-13
"EPS8L2",1.61726455941091e-17,-0.524018433893001,0.498,0.799,2.80142566981159e-13
"EIF4E3",1.6814283479432e-17,-0.658656585562409,0.261,0.548,2.91257018430721e-13
"ADAM19",1.7614535283269e-17,2.78505991644306,0.295,0.103,3.05118980176786e-13
"ELOA",1.80211652487415e-17,-0.866812215785006,0.279,0.571,3.121626244387e-13
"PLEKHG2",1.88993859913743e-17,-0.852280049338349,0.258,0.577,3.27375164142585e-13
"ANO10",1.89630101070585e-17,-0.517137684068362,0.531,0.858,3.28477261074468e-13
"NUCB1",1.96475587546332e-17,-0.605323222582555,0.396,0.684,3.40335012747756e-13
"SDC1",1.96651866130982e-17,-1.03871167873854,0.324,0.634,3.40640362512088e-13
"NOXA1",2.02393886370384e-17,-0.778785537479118,0.169,0.395,3.5058668997078e-13
"TUBGCP6",2.05254014578068e-17,-0.792789292819494,0.185,0.418,3.55541004052129e-13
"FBXW11",2.08110293924446e-17,0.704713683417367,0.762,0.884,3.60488651135925e-13
"SLC23A2",2.18069927065501e-17,1.34174157114696,0.685,0.626,3.77740727662861e-13
"CBR1",2.25628675960346e-17,-1.11956563087798,0.193,0.473,3.90833992498511e-13
"PLEKHN1",2.34703060765313e-17,-0.922661615503876,0.134,0.324,4.06552641857675e-13
"ARFGAP2",2.36316654774671e-17,-0.753946842742282,0.279,0.543,4.09347709400684e-13
"ADCY6",2.39876602263966e-17,-0.818513420293717,0.287,0.541,4.15514250441641e-13
"KIAA0408",2.4678667799335e-17,2.27455675848109,0.279,0.094,4.2748388362008e-13
"MXD1",2.47022267763484e-17,-0.596943069432029,0.321,0.579,4.27891972219907e-13
"INTS12",2.68370218523752e-17,-0.888094904699433,0.321,0.533,4.64870892526844e-13
"ATXN1L",2.72109074295743e-17,-0.69533419790246,0.344,0.6,4.71347338495086e-13
"THEMIS2",2.80276719384219e-17,-2.58286795719521,0.053,0.277,4.85495333317344e-13
"CX3CL1",2.84886281994334e-17,-0.959659735520145,0.203,0.502,4.93480017670585e-13
"PEPD",2.91436029828087e-17,-0.647824065987329,0.199,0.407,5.04825490868212e-13
"ARAP3",2.94827856492716e-17,2.3012501963262,0.32,0.112,5.10700813016683e-13
"CCL28",2.9844438579377e-17,3.02910887018997,0.313,0.095,5.16965365071968e-13
"RAB40B",3.04333538455736e-17,-0.584853843515838,0.171,0.353,5.27166555313027e-13
"SLIT2",3.07514916750683e-17,3.04414469809949,0.401,0.171,5.32677338795534e-13
"RANGAP1",3.1082069663906e-17,-0.700577392678651,0.37,0.644,5.3840361071818e-13
"TMEM170B",3.14130374286173e-17,2.30419427898872,0.32,0.123,5.44136634338508e-13
