"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IRS1",2.0738578265128e-16,1.28356309020592,0.368,0.144,3.59233652708548e-12
"CTIF",2.09896428792164e-16,1.20161799662217,0.6,0.371,3.63582593953786e-12
"FIG4",2.10680280823257e-16,1.18484538593503,0.587,0.329,3.64940382442046e-12
"DRAP1",2.13635393947207e-16,1.35307567630829,0.269,0.084,3.70059229395351e-12
"RPLP2",2.14252570330818e-16,1.32381692934402,0.456,0.194,3.71128302327044e-12
"C2CD3",2.19356837375578e-16,0.908625939429523,0.597,0.308,3.79969913701976e-12
"PSEN2",2.23181930126437e-16,1.63372139488611,0.259,0.061,3.86595739365014e-12
"KDM6A",2.29575219253855e-16,-0.636071780697917,0.803,0.788,3.97670194791528e-12
"DYNC2I1",2.30849582245501e-16,-1.0235961326957,0.743,0.811,3.99877646365657e-12
"KCNMB3",2.33003813385177e-16,1.00010493903377,0.33,0.098,4.03609205545804e-12
"CACHD1",2.43778758333126e-16,1.26944755976451,0.273,0.084,4.22273565184641e-12
"PLCG1",2.51882652392364e-16,0.694620614869748,0.541,0.241,4.36311130474054e-12
"DKC1",2.54317178497239e-16,0.771163183812492,0.444,0.205,4.40528216592917e-12
"AZIN2",2.54680708240245e-16,1.23169855976539,0.324,0.085,4.41157922813753e-12
"ZSCAN30",2.58339386153182e-16,0.935371145330179,0.474,0.242,4.47495484694543e-12
"GOT2",2.68988380036676e-16,0.863670508798337,0.401,0.165,4.6594167189953e-12
"MTHFD1",2.69659190352245e-16,0.607115385689234,0.42,0.205,4.67103649528159e-12
"UTP11",2.73001693566656e-16,0.690006904776609,0.364,0.152,4.72893533596161e-12
"LTV1",2.73256821683342e-16,0.703358136696442,0.475,0.215,4.73335466519885e-12
"DNTTIP1",2.8123866242078e-16,1.15634968237678,0.453,0.215,4.87161611045274e-12
"TAB2",2.86287576876756e-16,0.770158104982193,0.726,0.496,4.95907340665917e-12
"RNF44",2.8685058481598e-16,0.690700514772368,0.311,0.113,4.96882583018241e-12
"L3HYPDH",2.88877177931405e-16,1.29629836544559,0.443,0.152,5.0039304761278e-12
"ITM2B",3.05868198146175e-16,-0.779756826571987,0.71,0.775,5.29824892828805e-12
"POC1B",3.08086181861463e-16,0.740521045130919,0.551,0.276,5.33666884220425e-12
"ZNF730",3.16411418178535e-16,1.2629163111864,0.314,0.107,5.48087858568858e-12
"SP140L",3.20177131035441e-16,0.597136788872764,0.498,0.221,5.54610826379591e-12
"CMIP",3.27148139971082e-16,0.635000375222415,0.926,0.807,5.66686008057909e-12
"CCNJL",3.32549461558883e-16,1.00553696356725,0.357,0.121,5.76042177312297e-12
"NAA60",3.3385865182342e-16,0.843499316659822,0.456,0.181,5.78309956688528e-12
"PIGL",3.41686956562807e-16,0.663893552060079,0.547,0.259,5.91870146158093e-12
"SLC2A9",3.47353229861091e-16,-1.27441186252349,0.334,0.549,6.01685264765382e-12
"FBRSL1",3.57005737550618e-16,0.63626118041986,0.467,0.204,6.18405338585181e-12
"USP1",3.6751436252024e-16,1.15250418490627,0.424,0.185,6.36608378757559e-12
"ATP2C1",3.71234499932853e-16,0.647336292735128,0.752,0.503,6.43052400783689e-12
"PLEKHA5",3.82711679527163e-16,0.842531781036861,0.917,0.82,6.62933171276952e-12
"ADM",3.83348863886077e-16,-1.80361763849058,0.397,0.575,6.64036902023462e-12
"SLC8B1",3.89354118176645e-16,0.871056763534701,0.295,0.113,6.74439203505585e-12
"TMEM87B",3.92037604938089e-16,0.599896313682106,0.563,0.284,6.79087539273759e-12
"DNM1",3.94762329568755e-16,0.787772527593893,0.32,0.151,6.83807307278997e-12
"MKKS",4.01712486628519e-16,1.18147481962023,0.344,0.102,6.9584636933792e-12
"SMURF2",4.05226428102909e-16,1.19753441696513,0.79,0.613,7.01933218759858e-12
"INTS6",4.10933228118579e-16,0.719888025287239,0.749,0.464,7.11818537747003e-12
"GYS1",4.12744998132503e-16,0.688527046411195,0.568,0.303,7.14956885765121e-12
"RPRD1B",4.14754289217445e-16,0.745501870184877,0.698,0.396,7.18437379782458e-12
"RANGAP1",4.33836142003395e-16,1.09951796273557,0.37,0.138,7.51490965178281e-12
"IMPDH2",4.3393183663073e-16,0.833635757912491,0.271,0.103,7.51656727411751e-12
"PIK3C2B",4.53138977343743e-16,1.07591671823998,0.274,0.076,7.84927336554832e-12
"USP45",4.60083577220499e-16,0.717496715531357,0.431,0.181,7.96956772461348e-12
"ATXN10",4.62649449151718e-16,0.559612326726455,0.822,0.617,8.01401375820607e-12
"DOCK9",4.71348703828805e-16,0.900001811745222,0.683,0.383,8.16470224772255e-12
"DNM1L",4.85973264930734e-16,0.629436328434669,0.62,0.364,8.41802889513017e-12
"HECW2",4.93913665799641e-16,2.56065127601322,0.289,0.043,8.55557251898138e-12
"HLA-E",4.99651693159868e-16,0.750475803711863,0.546,0.304,8.65496662891524e-12
"SHB",5.03791717233024e-16,-0.767569104814575,0.794,0.795,8.72668012591044e-12
"CXCL2",5.29318180194118e-16,1.36518773058257,0.316,0.102,9.16884951732251e-12
"EMP2",5.38985937986649e-16,0.779655300672875,0.295,0.092,9.33631441780474e-12
"TTC7A",5.46058697179453e-16,0.852640983716882,0.527,0.274,9.45882875254248e-12
"FOXK2",5.54891605075388e-16,0.952993718030663,0.618,0.306,9.61183238311587e-12
"PAWR",5.62839352707194e-16,1.32061979226911,0.695,0.491,9.74950326759401e-12
"PARPBP",5.68197470995239e-16,1.31452183615781,0.275,0.054,9.84231659257953e-12
"PHB2",5.68475681238433e-16,0.756451722758978,0.331,0.135,9.84713575041214e-12
"ATG14",5.69929587645339e-16,0.994577402741885,0.373,0.132,9.87232031719257e-12
"PER2",5.74652231458529e-16,-1.23626658358334,0.406,0.584,9.95412595332465e-12
"TNFAIP3",5.78445993328324e-16,1.14124149254769,0.348,0.141,1.00198414964332e-11
"KSR2",6.04782405322628e-16,1.13302950081597,0.314,0.117,1.04760408249986e-11
"RTEL1",6.10993241749798e-16,0.978364177948683,0.45,0.18,1.058362493359e-11
"PPP2R3A",6.27208937312055e-16,-0.733481939369205,0.823,0.82,1.08645132121194e-11
"LRRTM4",6.35134622035338e-16,-2.02993558624063,0.158,0.345,1.10018019228961e-11
"PSMC1",6.50376731761979e-16,0.842271783739569,0.413,0.161,1.1265825747581e-11
"PNO1",6.69753372063597e-16,0.971172215766362,0.377,0.142,1.16014679108856e-11
"MKNK1",6.73583436480847e-16,1.04416627122393,0.43,0.179,1.16678122867212e-11
"TMEM164",6.81198177591285e-16,0.602414146543699,0.457,0.214,1.17997148322362e-11
"UBASH3B",7.12775696648555e-16,0.807029111678198,0.86,0.676,1.23467006173463e-11
"TVP23C",7.20187684595982e-16,0.932191974538434,0.643,0.413,1.24750910725716e-11
"GFOD2",7.21796494338e-16,1.32489289397991,0.357,0.116,1.25029588749228e-11
"VKORC1L1",7.26782407873336e-16,0.65607029938657,0.551,0.281,1.25893248691819e-11
"PUS7L",7.51015567114324e-16,0.917073615952549,0.528,0.236,1.30090916535543e-11
"SNW1",7.68363711444842e-16,0.558679979699586,0.468,0.207,1.33095962096475e-11
"TXNL4A",7.72437251040683e-16,0.713883622617064,0.451,0.207,1.33801580625267e-11
"NAA25",8.24980533750904e-16,0.698214048709864,0.691,0.435,1.42903128056332e-11
