"","x"
"324","NCDN"
"325","ADGRA2"
"326","ZFP64"
"327","MNAT1"
"328","SAMD4A"
"329","MRE11"
"330","PLEKHB1"
"331","SERPINB1"
"332","SLC7A9"
"333","SPAST"
"334","NRXN3"
"335","OSBPL5"
"336","AQR"
"337","CPS1"
"338","FHL1"
"339","RTF2"
"340","NLRP2"
"341","SLC45A4"
"342","RNF10"
"343","ZNF839"
"344","ZDHHC6"
"345","GRAMD1B"
"346","RNH1"
"347","NDUFS1"
"348","RB1CC1"
"349","ERP44"
"350","ALAS1"
"351","BIRC3"
"352","AKAP11"
"353","GLRX2"
"354","SNAPC1"
"355","DERA"
"356","STRAP"
"357","ABCC2"
"358","DEF6"
"359","PLEKHO1"
"360","GCLM"
"361","UBR2"
"362","EHD2"
"363","DEPDC1"
"364","CCDC28A"
"365","RRAGD"
"366","HSF2"
"367","PHF20"
"368","HSD17B6"
"369","NR1H3"
"370","TYMP"
"371","NCAPH2"
"372","TOMM34"
"373","SEC63"
"374","KPNA6"
"375","VIM"
"376","FAS"
"377","RNASET2"
"378","CD44"
"379","AGPAT4"
"380","BTN3A1"
"381","MIPEP"
"382","PRKCH"
"383","IFNGR1"
"384","B4GALT7"
"385","VRK2"
"386","VEZT"
"387","POU2F2"
"388","BRD9"
"389","SNX1"
"390","TBPL1"
"391","BMAL2"
"392","BCLAF1"
"393","SLC39A9"
"394","ANK1"
"395","TFB1M"
"396","RABEP1"
"397","HMGB3"
"398","NUP160"
"399","BAK1"
"400","MUSK"
"401","IKZF2"
"402","GRN"
"403","FAM13B"
"404","ARHGAP31"
"405","CENPQ"
"406","SARS1"
"407","RANBP3"
"408","ARID4A"
"409","EIPR1"
"410","PNPLA6"
"411","IFT88"
"412","ALG1"
"413","ZCCHC8"
"414","ABCF2"
"415","CHPF2"
"416","LRRC7"
"417","FUT8"
"418","UBA6"
"419","GAB2"
"420","ATP6V0A1"
"421","PIAS1"
"422","SLC4A7"
"423","APBA2"
"424","MAP2K3"
"425","TMSB10"
"426","ASTE1"
"427","RNF19A"
"428","PEX3"
"429","GABARAPL2"
"430","SH3YL1"
"431","FAM136A"
"432","VCL"
"433","DEPDC1B"
"434","DAPK2"
"435","NSMAF"
"436","ADSS2"
"437","TIMP2"
"438","RFC1"
"439","TBC1D23"
"440","CUL3"
"441","MYOM2"
"442","CYP46A1"
"443","ZZZ3"
"444","USP2"
"445","CASR"
"446","TUBG2"
"447","RPL26L1"
"448","NSUN2"
"449","FBXO42"
"450","MFAP3"
"451","MRI1"
"452","METTL1"
"453","HOXC8"
"454","AGA"
"455","PI4K2B"
"456","BOD1L1"
"457","MAT2B"
"458","TLL1"
"459","EDC4"
"460","TRIO"
"461","VCAN"
"462","CLEC16A"
"463","MSR1"
"464","CDH1"
"465","MTREX"
"466","DNAH5"
"467","ZFYVE16"
"468","RIPOR1"
"469","C6"
"470","RAI14"
"471","SOX30"
"472","PNKP"
"473","PHLPP2"
"474","SPDL1"
"475","STAU2"
"476","SLC66A1"
"477","CTNS"
"478","RTN4R"
"479","PHF23"
"480","INPP4A"
"481","RAB27B"
"482","PSMA4"
"483","MYO16"
"484","LSG1"
"485","PARP3"
"486","TNC"
"487","THAP3"
"488","RIPOR3"
"489","TDP1"
"490","AIFM2"
"491","SPATA7"
"492","MED17"
"493","RETSAT"
"494","CAPG"
"495","AP2S1"
"496","USH2A"
"497","ZPBP"
"498","TG"
"499","ADAM28"
"500","BARX2"
"501","DCUN1D1"
"502","JADE2"
"503","TRIT1"
"504","CUL7"
"505","CTNNA1"
"506","PHKA2"
"507","CNTLN"
"508","EPHA3"
"509","HSPA5"
"510","DSG2"
"511","GEMIN8"
"512","OFD1"
"513","GPM6B"
"514","PREX2"
"515","WDR37"
"516","YTHDC2"
"517","CTPS2"
"518","ATP6V1H"
"519","POLR2B"
"520","ATOSA"
"521","ARAP2"
"522","TPR"
"523","CP"
"524","KATNIP"
"525","DTNBP1"
"526","XK"
"527","ANO2"
"528","SCML1"
"529","WWC3"
"530","ARHGAP6"
"531","FAM184B"
"532","MAP4"
"533","GOPC"
"534","ROS1"
"535","USP28"
"536","HDAC9"
"537","TSPAN17"
"538","NOP16"
"539","CC2D2A"
"540","RRM2B"
"541","ZNF800"
"542","SNX29"
"543","LMO3"
"544","MRPS10"
"545","RSF1"
"546","VPS13D"
"547","CELF2"
"548","FAM120A"
"549","R3HDM1"
"550","COL9A2"
"551","KITLG"
"552","ERCC8"
"553","ADAMTS6"
"554","H6PD"
"555","VAMP3"
"556","PER3"
"557","TNFRSF9"
"558","LTBP1"
"559","RCN1"
"560","RFC2"
"561","ARID1B"
"562","CLPTM1L"
"563","NEDD4L"
"564","PPP1R3F"
"565","HEXB"
"566","PTCD2"
"567","NEXMIF"
"568","JKAMP"
"569","DKK3"
"570","ARHGEF5"
"571","NFE2L3"
"572","MCUR1"
"573","LIMA1"
"574","LETMD1"
"575","SLC4A8"
"576","LAMC3"
"577","TNIP3"
"578","MAPK9"
"579","COL23A1"
"580","BCAR1"
"581","FHIP1B"
"582","HERPUD1"
"583","HOMER3"
"584","RAD51"
"585","POLQ"
"586","PIK3CB"
"587","CYBA"
"588","THOC3"
"589","HEBP2"
"590","MPHOSPH9"
"591","PLEKHA5"
"592","PRSS8"
"593","SIKE1"
"594","RRP12"
"595","FNIP2"
"596","MSMO1"
"597","TTC17"
"598","FOXN3"
"599","METTL24"
"600","AKR7A2"
"601","MRTO4"
"602","NNAT"
"603","USE1"
"604","MCF2L2"
"605","NRIP2"
"606","LAMA3"
"607","AP5M1"
"608","ANAPC4"
"609","KCNQ1"
"610","TRAPPC3"
"611","THRAP3"
"612","PHPT1"
"613","LY75"
"614","ARID4B"
"615","OPN3"
"616","SDCCAG8"
"617","HHAT"
"618","KIF1B"
"619","FOXC1"
"620","TBC1D22A"
"621","SYNE2"
"622","PLEKHH1"
"623","ATP9A"
"624","FAM168A"
"625","RELT"
"626","GALC"
"627","NOP58"
"628","SZRD1"
"629","CUL1"
"630","FAM114A2"
"631","CYFIP2"
"632","TAB2"
"633","GINM1"
"634","EIF2AK2"
"635","USP36"
"636","KMT2C"
"637","MCOLN3"
"638","CCDC85A"
"639","PUM2"
"640","MRPL43"
"641","ITIH4"
"642","HPF1"
"643","ZFR"
"644","ZNF280C"
"645","NPFFR2"
"646","PHF21B"
"647","TRAF1"
"648","RC3H2"
"649","IL17RB"
"650","TRAF3IP2"
"651","GYG2"
"652","DCBLD2"
"653","SOAT1"
"654","PKP2"
"655","MSH4"
"656","GDI2"
"657","PRDM1"
"658","ATG5"
"659","TMCC3"
"660","PITHD1"
"661","MTA3"
"662","USP13"
"663","ATP11B"
"664","LAMC2"
"665","CDK14"
"666","SEC61A1"
"667","PPP1R12A"
"668","RASGRF1"
"669","CAMK2B"
"670","CROCC"
"671","POLR3E"
"672","ATP2B4"
"673","ZC3H11A"
"674","RIOK2"
"675","YIPF1"
"676","NDC1"
"677","DGKG"
"678","FLYWCH1"
"679","UNKL"
"680","TBXAS1"
"681","PARP12"
"682","ALDH18A1"
"683","TARBP1"
"684","GATB"
"685","MXD1"
"686","CDK17"
"687","DNAJC25"
"688","SLC2A3"
"689","PSD"
"690","CTDP1"
"691","YBX3"
"692","STYK1"
"693","WNK1"
"694","CCAR1"
"695","OGFR"
"696","PIGV"
"697","PTPRU"
"698","SNRNP40"
"699","RIMBP2"
"700","COL11A1"
"701","QSER1"
"702","MPC1"
"703","ACAA1"
"704","BCAT1"
"705","HDAC7"
"706","LZTS1"
"707","PRDM6"
"708","SPAG4"
"709","NCKAP1"
"710","MRPS35"
"711","GUCY1B1"
"712","SFSWAP"
"713","TNK2"
"714","MON2"
"715","CDH3"
"716","GPBP1"
"717","ZNF112"
"718","CS"
"719","MRPS24"
"720","ELMO2"
"721","WAPL"
"722","VMP1"
"723","APPBP2"
"724","POLD1"
"725","SEZ6"
"726","EIF4B"
"727","SLC6A16"
"728","BICRA"
"729","SPHK2"
"730","RPL18"
"731","CA11"
"732","ISOC2"
"733","U2AF2"
"734","EPN1"
"735","MED29"
"736","AHRR"
"737","ZNF275"
"738","MTMR1"
"739","GPC1"
"740","ADCK1"
"741","HAGH"
"742","RNF4"
"743","CASP8"
"744","LIMCH1"
"745","INTS13"
"746","TM7SF3"
"747","SPA17"
"748","ST3GAL6"
"749","ATP2C2"
"750","CDON"
"751","TAF2"
"752","HIPK2"
"753","TNPO3"
"754","RFXANK"
"755","TMEM161A"
"756","LPAR2"
"757","CTSA"
"758","SUGP2"
"759","SLC12A2"
"760","SNX24"
"761","CNN2"
"762","ABCA7"
"763","DDX20"
"764","BTBD1"
"765","FAR2"
"766","BCAS1"
"767","CHI3L2"
"768","SBNO2"
"769","PMS1"
"770","HMG20B"
"771","CALCRL"
"772","TAF11"
"773","ANKS1A"
"774","AP3D1"
"775","ZNF76"
"776","NTHL1"
"777","BLTP3A"
"778","GNAI3"
"779","IPO5"
"780","OAT"
"781","WDR3"
"782","PKN2"
"783","WDR18"
"784","TRAM2"
"785","NTN1"
"786","MCM10"
"787","DGKA"
"788","ERBB3"
"789","ANKRD44"
"790","KARS1"
"791","ADAT1"
"792","PDIA5"
"793","TBC1D22B"
"794","NDUFB4"
"795","SPEN"
"796","MYLK"
"797","ZC3H15"
"798","MAP2K4"
"799","PACC1"
"800","SLK"
"801","CYB5R4"
"802","COL17A1"
"803","GSTO2"
"804","SEC61A2"
"805","PRKCQ"
"806","TLE2"
"807","ASB1"
"808","FAM107B"
"809","ME1"
"810","TBC1D1"
"811","CDK13"
"812","MTHFD2"
"813","SLC9A7"
"814","FOXJ2"
"815","YBX1"
"816","PDE4A"
"817","PPP2R5A"
"818","CTNNA2"
"819","ELAVL1"
"820","DIP2B"
"821","SMARCD1"
"822","KDM4A"
"823","NFYC"
"824","ZMYND12"
"825","SLC9A3"
"826","NGEF"
"827","ASPM"
"828","ELOVL1"
"829","SPI1"
"830","POLR1H"
"831","MPPED2"
"832","CLDN18"
"833","ZBTB11"
"834","ATXN3"
"835","GOLGA5"
"836","FGFR2"
"837","LRRC40"
"838","ISOC1"
"839","EML1"
"840","TRMT11"
"841","THUMPD1"
"842","MSANTD3"
"843","KIF26A"
"844","ATG2B"
"845","ARFGEF1"
"846","ACSM2B"
"847","ZFAT"
