"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"KDM4C",1.15133655137282e-22,-0.890974952527746,0.863,0.859,1.994345174288e-18
"ABTB3",1.15409592263304e-22,2.2463567967064,0.334,0.079,1.99912495718496e-18
"RFC3",1.15939946958949e-22,1.12917310400558,0.426,0.155,2.00831176122291e-18
"RPS6KA5",1.21435776860456e-22,0.629994521190095,0.698,0.383,2.10351052677682e-18
"LRRC4C",1.28247683788752e-22,-4.40463563734426,0.045,0.261,2.22150637858876e-18
"MYBL1",1.29811731445159e-22,2.28143947291658,0.345,0.082,2.24859881209304e-18
"RPS12",1.33655642377943e-22,0.936209698303925,0.659,0.329,2.31518303727073e-18
"STRAP",1.39509979697788e-22,0.677298851242207,0.67,0.351,2.41659186832508e-18
"GLDC",1.48792325787697e-22,-3.36400852463532,0.181,0.431,2.57738066729448e-18
"CYBA",1.49964410153338e-22,1.13083594471345,0.502,0.192,2.59768351267613e-18
"PDE11A",1.55725597420382e-22,-3.37956044301176,0.093,0.332,2.69747879851586e-18
"MTMR2",1.55958556193426e-22,1.14916339427384,0.747,0.427,2.70151411038253e-18
"BRIP1",1.60732650232394e-22,2.05636485023305,0.449,0.111,2.78421096732552e-18
"KNTC1",1.62026418993816e-22,1.50389025343578,0.623,0.248,2.80662162981088e-18
"NUP62CL",1.63695272973437e-22,1.22966119655821,0.455,0.136,2.83552951844588e-18
"PRR11",1.83883954970221e-22,2.80043666620326,0.266,0.045,3.18523786799416e-18
"SDCBP",1.91029382023856e-22,0.950928104533151,0.506,0.216,3.30901095541724e-18
"GTPBP4",1.93642112490406e-22,0.917455463160677,0.651,0.32,3.35426867255882e-18
"NUFIP2",1.96701733402179e-22,0.791634100386647,0.786,0.464,3.40726742599255e-18
"RPL27",2.06411355179413e-22,0.953517107129905,0.45,0.162,3.57545749441779e-18
"RAB22A",2.14777291980335e-22,0.655335265875664,0.743,0.416,3.72037225168337e-18
"WWP2",2.27041760022091e-22,0.868258264654541,0.614,0.281,3.93281736710266e-18
"PFN1",2.27197314688742e-22,0.791534295707237,0.604,0.293,3.93551188503839e-18
"MAGI2",2.29012583161719e-22,-1.85886635048075,0.24,0.471,3.9669559655273e-18
"APOL2",2.30942298171007e-22,0.936479299412196,0.525,0.229,4.00038248891818e-18
"PAPOLA",2.34848101970144e-22,0.665800633241141,0.759,0.441,4.06803882232683e-18
"BRIX1",2.78699056330783e-22,1.40583514813197,0.412,0.134,4.82762505376182e-18
"PPRC1",2.82828875556605e-22,1.1902726762177,0.461,0.159,4.89916178239151e-18
"MOB3A",2.89682286804987e-22,1.13113307516333,0.508,0.196,5.01787657203598e-18
"CLIC1",3.11764497872554e-22,0.663149500582707,0.599,0.31,5.40038463214838e-18
"GCN1",3.20508248369393e-22,0.812648674225417,0.734,0.399,5.55184387825463e-18
"VDAC1",3.20975052622267e-22,0.902714589411647,0.834,0.474,5.55992986152291e-18
"CASP8",3.27942446070115e-22,0.975625579927618,0.65,0.297,5.68061905082654e-18
"ZNF532",3.47725255603968e-22,-1.53876730724682,0.485,0.618,6.02329687757194e-18
"PHTF2",3.47926021861729e-22,0.8236361768374,0.631,0.314,6.02677455068887e-18
"DNA2",3.55391973038337e-22,1.66029099815925,0.358,0.089,6.15609975697007e-18
"SFSWAP",3.76968817167319e-22,0.556224901150386,0.83,0.515,6.52985385097229e-18
"MBOAT7",3.8356739817978e-22,1.33474342931065,0.505,0.186,6.64415447127015e-18
"NCAPD2",4.02235283296752e-22,0.899615260849081,0.563,0.254,6.96751957726634e-18
"WWP1",4.02788009839789e-22,0.603230084741058,0.772,0.444,6.97709390644482e-18
"ARFGEF2",4.09659413194243e-22,0.530249677795946,0.824,0.516,7.09612035535067e-18
"IPO7",4.12169301233816e-22,0.726098625926034,0.845,0.555,7.13959663597216e-18
"UTP23",4.2609399023769e-22,1.51600819107139,0.335,0.091,7.38080009889726e-18
"ARPC3",4.31225057077468e-22,0.927797271032771,0.579,0.253,7.4696804386959e-18
"FBXW11",4.3760574759689e-22,0.67143409716483,0.864,0.546,7.58020675987333e-18
"RAB10",4.38067474597003e-22,0.55005509365292,0.89,0.63,7.58820479496929e-18
"SIN3A",4.56176920110684e-22,0.895929110207175,0.742,0.392,7.90189661015727e-18
"IL1RAPL1",4.97510633806096e-22,-2.13066990538988,0.085,0.339,8.6178791987892e-18
"PER1",5.04476872893866e-22,1.03723809579274,0.6,0.274,8.73854839226755e-18
"ZBTB11",5.20328921698453e-22,0.802023979623275,0.483,0.208,9.0131375816606e-18
"LTBR",5.48311406464196e-22,1.2236367922439,0.444,0.16,9.4978501827728e-18
"IDS",5.58010199589583e-22,0.895287947699104,0.729,0.413,9.66585267729076e-18
"COPB1",5.72858978248768e-22,0.79569325735135,0.767,0.439,9.92306322122515e-18
"RNF216",5.75950299808986e-22,0.654558578832573,0.834,0.53,9.97661109329126e-18
"TTF2",5.76845578080788e-22,1.43805548803377,0.4,0.12,9.99211910351541e-18
"PSAP",6.19107046998183e-22,0.660972560992484,0.95,0.758,1.07241722681025e-17
"ADAM17",6.24230559483513e-22,0.838088958330999,0.807,0.445,1.08129217513734e-17
"TUBA1C",6.39083781467845e-22,1.1204850291894,0.536,0.211,1.1070209262586e-17
"ZBTB18",6.57189827427384e-22,1.57663467549344,0.452,0.161,1.13838421906972e-17
"ZNF267",6.74121299174432e-22,0.997017367200856,0.564,0.237,1.16771291442995e-17
"MAP7",6.83063571471485e-22,-1.67494336678453,0.439,0.63,1.18320271850291e-17
"FEM1C",7.05119977447121e-22,0.796099308092115,0.576,0.259,1.2214088249339e-17
"ATP2B4",7.6630434988019e-22,1.02837121458388,0.686,0.382,1.32739239486247e-17
"HSPA14",7.71780702581608e-22,1.18833534307122,0.378,0.129,1.33687853301186e-17
"MGLL",7.90437144159722e-22,0.847393201207844,0.94,0.749,1.36919522111347e-17
"TSPAN18",8.05321587864591e-22,-3.27284831661804,0.124,0.396,1.39497805449904e-17
"ADSS2",8.13576353389834e-22,1.06937644075654,0.682,0.321,1.40927695934187e-17
"STAU2",8.15261033925902e-22,0.593324190727844,0.837,0.539,1.41219516296645e-17
"MYC",8.24489427628199e-22,1.07704364974017,0.485,0.181,1.42818058653757e-17
"PPP3CC",8.36378959933133e-22,1.00486065725783,0.44,0.177,1.44877563439617e-17
"FAM133B",9.2169412211366e-22,0.944891156150043,0.679,0.32,1.59655855832528e-17
"TRPC4AP",9.74948536486025e-22,0.505016448745669,0.767,0.462,1.68880585490109e-17
"COX19",1.02794181300523e-21,1.12280512526648,0.292,0.08,1.78060080848767e-17
"CNIH3",1.02974919152412e-21,1.47961470111339,0.453,0.15,1.78373154955809e-17
"ZNF75A",1.03403548113477e-21,1.54590815881849,0.394,0.117,1.79115626042166e-17
"TMEM163",1.04140113121605e-21,1.15351097327739,0.481,0.182,1.80391503949244e-17
"CTNND1",1.04884049685436e-21,-0.707064975446084,0.947,0.893,1.81680150865112e-17
"CEP83",1.05755366532237e-21,1.00068795139643,0.745,0.369,1.83189445907141e-17
"BNIP1",1.15348897970751e-21,1.68944196153054,0.302,0.068,1.99807361064936e-17
"TIAM2",1.16166375890246e-21,0.902794256042721,0.662,0.369,2.01223396317085e-17
"NDUFB9",1.18458336021858e-21,1.18422822778389,0.346,0.099,2.05193529657062e-17
"SENP1",1.18966912999254e-21,0.980955135611266,0.484,0.176,2.06074486697307e-17
"C4orf19",1.20361560665817e-21,-3.08432484741733,0.085,0.311,2.08490295385328e-17
"TCEA1",1.28589765768867e-21,1.14345443895701,0.569,0.235,2.22743192264832e-17
"NUP205",1.34187538294952e-21,0.797240612536765,0.632,0.32,2.32439653834515e-17
"ZNF277",1.37698638692525e-21,0.762867567334205,0.648,0.356,2.38521581943191e-17
"CENPN",1.38316491845744e-21,2.51419164236185,0.327,0.05,2.39591827175198e-17
"RABL6",1.43122910212496e-21,0.840903981424574,0.482,0.206,2.47917505070085e-17
"ETNK1",1.55562967374402e-21,0.623925923330743,0.915,0.658,2.69466172085939e-17
"RABEP1",1.69534523229642e-21,0.805612034510413,0.742,0.399,2.93667701138385e-17
"NACA",1.71021759790533e-21,0.658475650531754,0.748,0.408,2.96243892309162e-17
"ERGIC1",1.81067351991958e-21,0.898429359552469,0.877,0.651,3.13644867120469e-17
"GORASP2",1.87608708825553e-21,0.932971518982192,0.622,0.292,3.24975805427623e-17
"TPPP",1.92714033234391e-21,2.51687789387659,0.288,0.034,3.33819248368611e-17
"ATP2C1",1.94854255283198e-21,0.616435743183636,0.804,0.503,3.37526541001555e-17
"RHOA",1.98095808886513e-21,0.731016055235811,0.653,0.341,3.43141560153217e-17
"C5orf15",2.00963530521015e-21,0.747287759228976,0.763,0.425,3.48109027568502e-17
"RAN",2.03732830440605e-21,0.832019997477743,0.649,0.347,3.52906008889216e-17
"XRRA1",2.07578465985323e-21,0.722446750814485,0.652,0.33,3.59567418779777e-17
"ELOC",2.10917598243645e-21,1.5439270551644,0.432,0.134,3.65351463677642e-17
"RDX",2.15899774719189e-21,0.844009124094889,0.793,0.451,3.73981589768579e-17
"TMEM259",2.16805821194619e-21,1.03998076192791,0.514,0.208,3.7555104347332e-17
"FTH1",2.30236206165367e-21,0.65225095545469,0.829,0.554,3.98815156319649e-17
"CNTN5",2.3705213571963e-21,-4.08906874780345,0.063,0.274,4.10621709493542e-17
"CENPE",2.45667308059877e-21,2.0971922962952,0.278,0.043,4.25544911021318e-17
"TRIM25",2.64546616206579e-21,0.947535759694659,0.488,0.194,4.58247648593035e-17
"SRA1",2.92895544315832e-21,1.34434235681831,0.358,0.108,5.07353661863884e-17
"FMNL3",2.99645891536724e-21,2.30088034720902,0.31,0.06,5.19046613319913e-17
"COQ10B",3.0499713745344e-21,1.15372865124304,0.473,0.187,5.28316041496849e-17
"SLC7A11",3.21340691532937e-21,2.37913223694929,0.394,0.115,5.56626345873353e-17
"PLXNA1",3.35805495647249e-21,0.90543579356042,0.501,0.209,5.81682279560165e-17
"ATP6V0E1",3.39031581258704e-21,1.02970783255204,0.604,0.267,5.87270505056328e-17
"RPL7A",3.59106817766506e-21,0.931150496349846,0.643,0.341,6.22044829735141e-17
"NUP153",3.64452723794478e-21,0.748941931863151,0.859,0.544,6.31305008156794e-17
"GNL2",3.72082553419777e-21,1.07966717801546,0.629,0.296,6.44521399033738e-17
"XPO7",3.95464628362425e-21,1.11596365682912,0.614,0.254,6.85023829249392e-17
"FGD4",4.55064764353985e-21,0.877752252151368,0.822,0.568,7.88263184813973e-17
"RELB",4.56684034924862e-21,0.754306282360635,0.61,0.295,7.91068085296847e-17
"SCART1",4.60448157300837e-21,1.02931515692937,0.331,0.108,7.9758829807651e-17
"TOPBP1",4.61539875456204e-21,1.17487170167606,0.705,0.31,7.99479372265236e-17
"TUBB",4.67096885452572e-21,0.864396154535667,0.729,0.398,8.09105224980945e-17
"OBSL1",4.67370598498613e-21,-1.67138876157386,0.381,0.569,8.09579350719297e-17
"GOLPH3L",4.84976969109059e-21,0.883741724972198,0.492,0.212,8.40077105890712e-17
"ATP10D",4.91331354201146e-21,-2.0888878862276,0.3,0.529,8.51084171747225e-17
"ARHGAP12",5.27564259414724e-21,0.890935880529661,0.71,0.388,9.13846810158185e-17
"RSBN1L",5.46212498309829e-21,0.743429118245722,0.634,0.313,9.46149289572287e-17
"EXOC2",5.56091153764667e-21,0.631306048563185,0.672,0.376,9.63261096551157e-17
"SF3B2",5.58151724665047e-21,0.563697069070312,0.68,0.392,9.66830417464794e-17
"PDE4B",5.63422957160687e-21,-3.08118647483579,0.091,0.263,9.75961246393742e-17
"ATAD5",5.73267145335395e-21,1.94825986536004,0.367,0.104,9.93013349149971e-17
"RNASEH1",5.83788436383222e-21,1.15084145782548,0.406,0.158,1.01123832950302e-16
"LINGO2",5.90560672406942e-21,3.19740448593718,0.262,0.041,1.02296919674331e-16
"HECW2",6.11036042666774e-21,2.47386978180045,0.297,0.043,1.05843663310739e-16
"DUSP14",6.18433324716639e-21,1.41780255108435,0.404,0.123,1.07125020507416e-16
"RPGRIP1L",6.31254270004296e-21,0.74968169663457,0.613,0.305,1.09345864650144e-16
"NCKAP1",6.50310831796113e-21,0.638357325386986,0.882,0.597,1.12646842283723e-16
"SLFN5",6.81239849785821e-21,1.10997606915759,0.628,0.308,1.180043667799e-16
"MAU2",6.87721753441369e-21,0.80438851548301,0.522,0.223,1.19127162131114e-16
"RPL35A",7.10182384401851e-21,0.877307801269891,0.667,0.334,1.23017792626089e-16
"ZNF800",7.56312351892075e-21,0.80270995354742,0.657,0.326,1.31008425594745e-16
"HYCC2",7.79627700299474e-21,0.949101261238256,0.495,0.204,1.35047110245875e-16
"TOB2",8.29238944271488e-21,0.891299788102206,0.503,0.21,1.43640769926707e-16
"FAM91A1",8.96499214390116e-21,1.11618305342465,0.68,0.291,1.55291593916656e-16
"TTC39B",9.25147017955905e-21,-3.17762039862022,0.08,0.279,1.60253966450322e-16
"DDX3X",9.31855389456888e-21,-1.15826949521289,0.75,0.756,1.61415990561722e-16
"MRPL37",9.39100602745821e-21,1.05768393953993,0.307,0.092,1.62671006407631e-16
"EIF2AK2",9.47219513755222e-21,1.15216102567728,0.762,0.421,1.6407736417268e-16
"CCAR2",9.74727250215164e-21,0.741547405015298,0.389,0.137,1.68842254282271e-16
"CAMK4",9.93674060166448e-21,2.6149037412879,0.264,0.036,1.72124220702032e-16
"CPSF7",1.013669049863e-20,0.619520788261631,0.589,0.289,1.75587752817269e-16
"SGO2",1.10530582746297e-20,2.974068404852,0.269,0.039,1.91461075433136e-16
"SYTL3",1.12579148739204e-20,1.2329427813482,0.461,0.189,1.95009601446049e-16
"XPNPEP3",1.12800468645096e-20,0.909070855607789,0.566,0.246,1.95392971787036e-16
"LPIN1",1.1983596156726e-20,0.861342186881238,0.581,0.285,2.07579852626808e-16
"POP1",1.26437639427615e-20,2.10784223413239,0.285,0.073,2.19015279016515e-16
"KLF10",1.28695889679262e-20,1.0718840469062,0.469,0.185,2.22927020102417e-16
"CAMSAP2",1.31455503971234e-20,0.594337702255184,0.862,0.58,2.27707223978972e-16
"NCOA2",1.39321044798014e-20,0.860035261125813,0.842,0.506,2.4133191379912e-16
"MAP4K4",1.5145919945163e-20,0.78940596834354,0.934,0.701,2.62357625290114e-16
"ST3GAL6",1.54447877182296e-20,0.904258368033124,0.589,0.261,2.67534612855173e-16
"DBF4",1.55716524618873e-20,1.65999162238868,0.339,0.084,2.69732163944812e-16
"MTPN",1.55983468082398e-20,0.655256686580959,0.797,0.489,2.70194563412331e-16
"ROBO1",1.5658132956184e-20,3.62473138172717,0.253,0.032,2.71230179067019e-16
"SELENOF",1.59143687135036e-20,0.766299749076655,0.687,0.348,2.7566869485531e-16
"EGR3",1.62530534216266e-20,1.4670879026217,0.365,0.089,2.81535391369416e-16
"CSNK1G3",1.63191042187434e-20,0.754260482079799,0.738,0.389,2.82679523277073e-16
"NCS1",1.67464461321233e-20,1.46397180218414,0.506,0.188,2.9008193990064e-16
"KIAA0825",1.72307590464069e-20,-1.81789794305217,0.35,0.55,2.98471208201861e-16
"EIF3A",1.7765571483737e-20,0.550645616308187,0.938,0.71,3.07735229241292e-16
"GSPT1",1.78737463216141e-20,0.751862826594381,0.782,0.447,3.09609033783e-16
"MORC2",1.81273710504729e-20,0.919883810928145,0.561,0.244,3.14002321336291e-16
"NPAS3",1.84194480740001e-20,-2.74350298469126,0.194,0.46,3.19061679537829e-16
"THBS2",1.87240342964516e-20,-2.98725426929636,0.128,0.368,3.24337722083135e-16
"ANXA1",1.88829755926248e-20,-1.42845142756223,0.775,0.793,3.27090903215447e-16
"ZNF131",2.02062482953875e-20,0.584134510644866,0.777,0.459,3.50012632972703e-16
"CADM1",2.06218144094088e-20,-0.96624194829453,0.879,0.894,3.5721106919978e-16
"STAT6",2.11973003333927e-20,0.771336840138579,0.725,0.397,3.67179636375028e-16
"RIPK2",2.15775042081941e-20,1.42015498927704,0.529,0.192,3.73765527894339e-16
"AACS",2.19010293526535e-20,0.809352921385616,0.556,0.255,3.79369630446664e-16
"B3GNTL1",2.3072921011776e-20,1.71019624210486,0.389,0.106,3.99669137765985e-16
"ENTPD4",2.33517633416706e-20,1.0398021971933,0.573,0.232,4.04499244604419e-16
"PLEKHH2",2.34071477592881e-20,-1.33138505643112,0.539,0.704,4.05458613486388e-16
