"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GRIK2",1.61395124415821e-252,-2.23225146873302,0.133,0.324,2.79568634513085e-248
"GCFC2",1.83846198721432e-252,-1.17168449896193,0.316,0.556,3.18458385425265e-248
"ZSCAN30",1.87475302417678e-252,-1.61391088980219,0.268,0.474,3.24744718847902e-248
"TBC1D22A",2.20141578777256e-252,0.533761793623428,0.918,0.802,3.81329242757963e-248
"TMSB10",8.54670780496271e-252,0.554652599274911,0.891,0.679,1.48046072597564e-247
"STPG2",1.27367606343628e-251,-1.70644301854595,0.23,0.452,2.20626167708432e-247
"CEP72",2.89856844614062e-251,1.3651183208251,0.488,0.279,5.02090026240478e-247
"SIN3A",2.92148840079873e-251,0.729694352997092,0.742,0.588,5.06060220786356e-247
"CTIF",4.68648460098593e-251,-1.66346273323858,0.443,0.6,8.11792862582783e-247
"MTUS1",5.32783777396683e-251,-1.83023550915406,0.115,0.311,9.22888059206535e-247
"SBDS",6.69511519043172e-251,1.32385882754714,0.516,0.318,1.15972785328658e-246
"MCTP2",7.8091267171393e-251,-2.34095701635252,0.514,0.589,1.35269692994287e-246
"LDLRAD3",9.48520709284745e-251,-1.08596869438351,0.405,0.632,1.64302757262304e-246
"SLC10A7",1.35051615646052e-250,-1.22338003847483,0.32,0.553,2.33936408622091e-246
"AEBP2",4.12897927367324e-250,0.637193098916888,0.862,0.72,7.15221789785679e-246
"WDR1",1.57570855208398e-249,0.678721613579907,0.82,0.655,2.72944235391988e-245
"TMED2",1.76837926167235e-249,0.81056126134753,0.714,0.498,3.06318655706885e-245
"KNTC1",4.01188136641764e-249,1.15995095842034,0.623,0.423,6.94938090290863e-245
"DNMT3B",8.16161575969969e-249,-1.46543493691521,0.138,0.345,1.41375508189518e-244
"SEC16A",9.10885213504678e-249,0.9879699911552,0.713,0.583,1.5778353668328e-244
"IBTK",1.96537899945177e-248,-0.902284316449691,0.722,0.756,3.40442950285036e-244
"RHOBTB1",2.89997438047213e-248,-1.17307758258919,0.333,0.583,5.02333562185383e-244
"PDZD2",3.10758561727663e-248,-2.30240210814278,0.109,0.296,5.38295980624659e-244
"MT-ATP6",4.5453723497255e-248,0.670331595201985,0.922,0.828,7.87349398419452e-244
"ZHX3",6.34939257107664e-248,-0.928447025581653,0.653,0.768,1.0998417811619e-243
"SLAIN1",1.74824570321939e-247,-2.25327877640879,0.093,0.272,3.02831120711662e-243
"TAPBP",1.89124274919454e-247,0.600961410358327,0.85,0.682,3.27601069015477e-243
"GARS1",7.15386892441643e-247,0.852187704393343,0.743,0.576,1.23919317508741e-242
"HACE1",8.13084148974485e-247,-1.30523196821113,0.229,0.46,1.4084243628536e-242
"DCLK2",2.27718038232117e-246,-1.49260249810163,0.285,0.517,3.94453185825673e-242
"SGPP2",3.46799075939716e-246,0.83403148074003,0.658,0.401,6.00725359342776e-242
"GLDC",4.05147309386354e-246,-2.39949433791733,0.181,0.372,7.01796169319042e-242
"KHSRP",5.74650545668333e-246,0.945520815064001,0.636,0.443,9.95409675206686e-242
"TRAPPC10",1.09660576835522e-245,0.893814613742969,0.655,0.492,1.89954051194492e-241
"EHD2",1.15076803203167e-245,-1.28700951302381,0.317,0.552,1.99336038508527e-241
"NUP214",9.6121465139021e-245,0.680514932399927,0.763,0.636,1.66501601913812e-240
"SLFN5",1.36831889434842e-244,0.944497112643694,0.628,0.411,2.37020198879034e-240
"PTMA",1.44548204574857e-244,0.5066308197229,0.943,0.744,2.50386399964568e-240
"PTPRG",2.27731582717633e-244,-0.805933594688478,0.725,0.839,3.94476647583484e-240
"RPS24",2.53518719813562e-244,0.643570381845072,0.786,0.595,4.39145126461052e-240
"FLYWCH1",2.69699096840767e-244,-1.3254072120956,0.161,0.376,4.67172775547577e-240
"KATNIP",2.70412957306049e-244,0.756150245077152,0.744,0.555,4.68409324645538e-240
"SNRNP200",2.72563282726371e-244,0.731552536669538,0.752,0.604,4.7213411833862e-240
"LAMP2",5.31586930082356e-244,0.538439227920138,0.887,0.686,9.20814880288656e-240
"UBAP2L",1.30028416960342e-243,0.618160977152822,0.825,0.666,2.25235223858704e-239
"CREBRF",8.22251007057074e-243,1.12050259180437,0.566,0.372,1.42430319442426e-238
"B4GALT4",8.54565983875326e-243,-1.45674398368244,0.189,0.397,1.48027919726884e-238
"AHCYL1",9.50376094855404e-243,0.621676437023185,0.766,0.611,1.64624147150853e-238
"DNTTIP2",1.15385420829523e-242,1.06745901985831,0.574,0.385,1.998706259609e-238
"RAB10",1.91400224908138e-242,0.540940163482349,0.89,0.766,3.31543469585876e-238
"PLEKHG4",2.67007711601234e-242,-1.60125717001254,0.104,0.29,4.62510758035657e-238
"CYTH2",3.44760361163975e-242,0.99780204777866,0.549,0.353,5.97193897608237e-238
"MYADM",3.7448263026275e-242,0.772355068520757,0.762,0.574,6.48678812141135e-238
"ANKRD29",1.27731578809028e-241,-1.94861206080813,0.094,0.272,2.21256640812999e-237
"NOP58",1.37005477704814e-241,0.643382742012798,0.839,0.682,2.3732088848028e-237
"SLC9A7",4.52004277979222e-241,-1.38400882414956,0.402,0.587,7.82961810315608e-237
"CAND1",6.39705233996906e-241,0.593902925645602,0.836,0.682,1.10809740632944e-236
"DHRSX",9.45468356293351e-241,0.657283380368699,0.83,0.662,1.63774028677134e-236
"TULP3",1.37659229252937e-240,0.744659060404165,0.744,0.598,2.38453316911937e-236
"SPAG17",1.67296820563708e-240,-1.76561681582319,0.16,0.356,2.89791552580456e-236
"PRPF38B",2.92489611895944e-240,0.754817518986638,0.737,0.569,5.06650505726154e-236
"THBS1",5.68649842226241e-240,-1.78145268937062,0.579,0.679,9.85015256704295e-236
"ZZEF1",8.06489963237917e-240,0.708429303100304,0.737,0.596,1.39700191432072e-235
"PDE11A",1.11754297846157e-239,-2.27668942664582,0.093,0.269,1.93580794729113e-235
"VPS39",8.41903082006088e-239,1.08515705287177,0.526,0.33,1.45834451865094e-234
"ATOSA",4.35992134796402e-238,0.991873918937929,0.7,0.541,7.55225575894328e-234
"PRMT2",7.77286168281116e-238,0.731327548975883,0.705,0.542,1.34641510069655e-233
"WIPF2",8.93078543419967e-238,0.643639816919368,0.753,0.592,1.54699065291207e-233
"SETX",1.36924102327273e-237,0.596483464431977,0.848,0.747,2.37179930051303e-233
"CCDC171",1.38226169277368e-237,-2.10146034371222,0.123,0.312,2.39435370422257e-233
"ACADSB",1.40401040377525e-237,-1.55515611317598,0.11,0.301,2.4320268214195e-233
"CCDC186",1.61255844448237e-237,1.03542067212044,0.557,0.369,2.79327373753236e-233
"KIAA1958",1.8221579237544e-237,-0.985251302069371,0.626,0.769,3.15634195552737e-233
"MAP4K4",2.50970052978249e-237,0.583299667091439,0.934,0.842,4.34730325768922e-233
"MAP2K6",2.72354007470323e-237,-1.79859516126611,0.089,0.266,4.71771611740094e-233
"TEX2",4.18279489769163e-237,-1.6333346433528,0.266,0.48,7.24543732178144e-233
"PECR",8.8556706356215e-237,-1.53956668771953,0.106,0.294,1.53397926750236e-232
"PNPLA8",1.07707233776908e-236,0.870956978789637,0.655,0.491,1.8657047034836e-232
"LRRC8C",1.22697822925441e-236,-1.93838946733803,0.12,0.305,2.12537168871449e-232
"PAEP",2.00506353238974e-236,3.64918798610556,0.332,0.128,3.47317105080551e-232
"H1-0",4.05890406226514e-236,-2.5704178236584,0.087,0.252,7.03083361665567e-232
"CXCL1",1.01300306668847e-235,-2.04880462140157,0.095,0.268,1.75472391211776e-231
"ZNF608",1.03396506257811e-235,0.534969753020074,0.862,0.539,1.79103428139781e-231
"LOXL1",1.52789616191802e-235,-1.59972813791612,0.082,0.255,2.64662173167439e-231
"LRP11",3.37231424144907e-235,-1.30698492232689,0.354,0.551,5.84152272903807e-231
"DCTN4",4.08541400704856e-235,0.698117931383853,0.742,0.591,7.07675414300951e-231
"GOLGA3",8.25825477564036e-235,0.885897452934759,0.802,0.657,1.43049489223642e-230
"HNRNPC",1.07381885693494e-234,-0.569361022696889,0.916,0.889,1.8600690239827e-230
"SYTL3",1.19063957620618e-234,1.37762633227715,0.461,0.235,2.06242587390435e-230
"PLPP3",1.47187849187196e-234,-1.65963087958679,0.182,0.39,2.54958792362061e-230
"INO80D",1.92412264163338e-234,0.627524599995916,0.767,0.602,3.33296523983735e-230
"RESF1",2.648758535416e-234,0.892349092804196,0.693,0.544,4.58817953504759e-230
"PAIP2",3.02248897066103e-234,0.714488722751959,0.734,0.555,5.23555539497904e-230
"ACO1",6.38122814651008e-234,-1.47244499722881,0.369,0.567,1.10535633953848e-229
"SRGAP3",1.17701586016863e-233,-1.9140264729871,0.127,0.312,2.0388268729841e-229
