"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SERINC5",3.38968268752062e-115,-3.27358780562536,0.286,0.905,5.87160835132321e-111
"CXCL1",6.49732413099344e-115,-4.33190951364641,0.095,0.824,1.12546648597068e-110
"FRAS1",1.41098218555529e-114,-2.95482328719993,0.28,0.942,2.44410334181887e-110
"SYT13",1.48998928092874e-114,4.31923194097123,0.83,0.287,2.58095943242476e-110
"MAL2",1.8005769610299e-114,-3.67646673098092,0.217,0.92,3.11895941189599e-110
"SLC34A2",2.87020072505991e-114,-3.46761403158143,0.092,0.863,4.97176169594877e-110
"S100A9",7.73476472625756e-114,-8.62789051749336,0.012,0.742,1.33981594588233e-109
"TC2N",7.89409469350803e-114,-5.02883290442242,0.039,0.742,1.36741508280946e-109
"TNFSF10",9.94942960755641e-114,-3.69181090965002,0.15,0.874,1.72344019662092e-109
"HSPG2",9.052890343782e-113,-2.74617667915402,0.43,0.955,1.56814166534992e-108
"DNER",2.06381266431613e-112,-5.56579394791047,0.047,0.758,3.57493629712841e-108
"DOCK9",2.69187705232395e-112,-2.57373948124578,0.453,0.963,4.66286943003555e-108
"HNRNPC",3.03808764822713e-112,-1.43266322195623,0.916,0.993,5.26257542425904e-108
"KIF26B",3.52941749295655e-112,-3.29509424706059,0.248,0.892,6.11365698129933e-108
"KAZN",1.63042424770648e-111,-2.22102470986238,0.778,0.994,2.82422088187717e-107
"NCOA7",1.99405486924007e-111,-2.89307289369519,0.405,0.929,3.45410184449765e-107
"DENND2B",2.82486897831143e-111,-3.18585653179648,0.305,0.909,4.89323804423105e-107
"GRIN2B",4.02503484770432e-111,-3.32154880904945,0.163,0.899,6.97216536319342e-107
"PRICKLE2",6.4853038949906e-111,-2.68839574025826,0.388,0.95,1.12338434069027e-106
"CSGALNACT1",5.03761703651264e-110,-3.28673279266892,0.221,0.892,8.7261602306472e-106
"NAALADL2",5.81723707348847e-110,-2.53512895310776,0.563,0.971,1.00766180586967e-105
"CACNA2D3",6.99298952860273e-110,-2.16063010559628,0.61,0.976,1.21132564614457e-105
"JAK1",7.70963727317152e-110,-1.71120689657595,0.817,0.989,1.33546336845877e-105
"SESTD1",2.29097262391583e-109,-2.86006518451858,0.464,0.956,3.96842277914699e-105
"MAP3K5",4.55579158939962e-109,-2.50031965340204,0.52,0.968,7.89154219115802e-105
"TRIM55",7.3532740402503e-109,-4.294217442468,0.209,0.906,1.27373412925216e-104
"CFAP221",7.79671875948828e-109,-3.36457620504406,0.141,0.835,1.35054762351856e-104
"TNFAIP2",1.68662776667196e-108,-3.35943480632564,0.238,0.884,2.92157661742917e-104
"RETREG1",2.06948812355297e-108,-2.83939925028772,0.448,0.96,3.58476732761846e-104
"ICA1",2.11552761464312e-108,-4.02947760420374,0.065,0.765,3.66451693408481e-104
"AIF1L",6.5509705932767e-108,-3.00582048611852,0.199,0.894,1.13475912616739e-103
"COL4A4",6.7840026142019e-108,-3.55217408778889,0.21,0.876,1.17512493283205e-103
"ERC2",8.85057018264461e-107,-5.01991105043612,0.055,0.735,1.5330957670377e-102
"HS6ST2",1.03702515234999e-106,-6.57244695887092,0.011,0.658,1.79633496890064e-102
"SLC15A1",1.55620299645016e-106,-7.7502146421411,0.008,0.691,2.69565483045097e-102
"SORT1",2.31041208669222e-106,-3.17520542057041,0.156,0.882,4.00209581656826e-102
"ACSL4",6.00503027221105e-106,-2.82968135545597,0.623,0.957,1.0401913437524e-101
"CAMK1D",3.71093026775058e-105,3.6179916495725,0.905,0.383,6.42807340979755e-101
"CDH1",5.76366597911624e-105,-6.09254934186909,0.045,0.713,9.98382220902515e-101
"EFNA5",8.80402369593493e-105,1.76446129204521,0.999,0.994,1.52503298460985e-100
"ST14",1.52015537400577e-104,-5.58077313847205,0.037,0.7,2.6332131388528e-100
"MYO5B",1.58430061617777e-104,-3.02868283927873,0.378,0.938,2.74432552734314e-100
"TSPAN1",1.18675448848628e-103,-6.50335230219604,0.012,0.688,2.05569612495594e-99
"NABP1",2.02180197079534e-103,-3.06324337401207,0.359,0.912,3.50216537381169e-99
"SRGAP3",9.16382816780669e-103,-3.87003505748869,0.127,0.805,1.58735831522748e-98
"ITPR1",3.58158040273612e-102,2.97874252050779,0.93,0.713,6.20401357361951e-98
"NCMAP",6.13327938064346e-102,-7.45193205725621,0.006,0.645,1.06240665431506e-97
"LRMDA",6.41202279679604e-102,-2.16103487294319,0.594,0.972,1.11069058886101e-97
"SHROOM3",6.89667292111738e-102,-2.27712670732453,0.496,0.965,1.19464168339595e-97
"AFF3",2.28789266066496e-101,6.60073004502879,0.807,0.132,3.96308766680384e-97
"IL6",2.40173962544073e-101,-5.99537982975003,0.026,0.665,4.16029337918843e-97
"ADAMTS9",2.5509711239928e-101,-2.37507527345522,0.53,0.968,4.41879218098033e-97
"CATSPERB",1.14015408350122e-100,-6.02936102716649,0.029,0.686,1.97497490344082e-96
"KCTD8",1.59252507377415e-100,-7.80995334361965,0.011,0.649,2.75857193279158e-96
"HOXB6",1.619648388622e-100,-3.07912627427016,0.157,0.816,2.80555493877102e-96
"NOS1AP",1.65574104466077e-100,-2.68793517179388,0.378,0.926,2.86807463756139e-96
"MITF",3.39202620293031e-100,-2.46322647021826,0.375,0.943,5.87566778871588e-96
"TGFBR2",8.77626884468955e-100,-2.50529778028792,0.548,0.965,1.52022528927712e-95
"MAP1B",1.22974192671037e-99,3.53829782615537,0.852,0.263,2.13015896544771e-95
"DENND2A",1.54571549134803e-98,-2.56894301987183,0.155,0.87,2.67748837411306e-94
"USP53",1.68449393581766e-98,-2.3373653318438,0.504,0.947,2.91788039562335e-94
"LIPG",2.22264042501845e-98,-3.1167681882522,0.327,0.887,3.85005774421696e-94
"ARHGEF3",5.51245763487791e-98,-2.81026317535803,0.304,0.91,9.54867911513552e-94
"FMN1",1.15201890534027e-97,-2.64079750469097,0.39,0.912,1.99552714783041e-93
"TMPRSS4",1.61613589367793e-97,-7.3495899327315,0.008,0.661,2.79947059502892e-93
"CPM",2.41191425632032e-97,-3.6844543526384,0.124,0.749,4.17791787479805e-93
"NTN4",5.19670549381024e-97,-4.37763020313472,0.119,0.775,9.0017332563781e-93
"SERPINE1",5.71888599180054e-97,5.92244206265885,0.755,0.171,9.9062543149969e-93
"CD9",2.54638380228895e-96,-2.24478356164473,0.375,0.929,4.41084602232491e-92
"SLC16A5",2.7681745068198e-96,-4.42791015674972,0.052,0.709,4.79503188071326e-92
"FAM13B",3.27584769949903e-96,2.10131593234903,0.929,0.794,5.67442338507221e-92
"CPVL",3.57132370277423e-96,-5.09882569902817,0.029,0.715,6.18624691794552e-92
"NRG3",1.39967251056094e-95,3.67514663749355,0.798,0.241,2.42451272279366e-91
"ANXA3",2.20501375218613e-95,-2.4441968671744,0.284,0.919,3.81952482153681e-91
"TGFA",4.27197625717275e-95,2.40815727820137,0.954,0.877,7.39991727267464e-91
"TRPS1",1.39689244138329e-94,-1.88266840549443,0.669,0.975,2.41969708696413e-90
"SGPP2",1.52412504934079e-94,-2.37636991423342,0.658,0.968,2.64008941046812e-90
"CP",2.43051539052659e-94,2.47729254807384,0.967,0.78,4.21013875947016e-90
"NPAS2",2.59131652064593e-94,-1.65897161933566,0.762,0.989,4.48867847706288e-90
"PTAFR",4.00124935072414e-94,-5.40783305989444,0.021,0.641,6.93096412532436e-90
"C6orf132",4.20022634779544e-94,-5.24083603323495,0.036,0.666,7.27563207965125e-90
"NTRK2",4.64691064845484e-94,-5.44933732702139,0.027,0.664,8.04937862525348e-90
"SLCO3A1",4.88654877882162e-94,-2.82606299741387,0.368,0.934,8.46447979467481e-90
"MUC1",7.98929845709509e-94,-3.92131580957271,0.077,0.725,1.38390627873801e-89
"GAS2L3",2.74577451289509e-93,2.84163912612746,0.857,0.577,4.75623061123688e-89
"NID2",4.41931160638007e-93,-5.45691208921222,0.026,0.632,7.65513156457156e-89
"SPECC1",4.51359430117803e-93,-2.06003583593509,0.461,0.942,7.81844804850058e-89
"CYS1",4.82878377463012e-93,-5.97014000028289,0.017,0.668,8.3644192544143e-89
"THSD4",1.43569075771964e-92,-2.37829518716036,0.483,0.947,2.48690353052196e-88
"SAMD4A",2.03841560966224e-92,-2.06923882366747,0.714,0.979,3.53094351905693e-88
"IRAK2",5.42878787875696e-92,-2.93477623820533,0.26,0.859,9.40374636358281e-88
"PDZK1IP1",5.98261942451947e-92,-4.27022120559599,0.048,0.682,1.03630933671526e-87
"FUT8",7.2299901671131e-92,-1.97469705615752,0.585,0.976,1.25237889674733e-87
"GPR39",1.18034015507512e-91,-2.47675792774811,0.275,0.892,2.04458521662112e-87
"NIBAN1",1.6047446180065e-91,-2.4960215241265,0.55,0.959,2.77973862731087e-87
"CPD",4.39978049982289e-91,-2.0708030577919,0.587,0.954,7.62129978179321e-87
"MPZL2",6.87134018552545e-91,-5.48018992198095,0.021,0.644,1.19025354693672e-86
"NDRG1",7.94170215239212e-91,2.98208492685726,0.925,0.748,1.37566164683736e-86
"ZNF395",1.51448564363151e-90,2.93865523143355,0.892,0.661,2.62339203189849e-86
"EPHA6",2.46227925569019e-90,3.98717384682128,0.757,0.175,4.26516012670654e-86
"GPRC5A",8.07527526036424e-90,-2.54504968465984,0.284,0.87,1.39879918060029e-85
"CD44",1.55442708327114e-89,-1.57724508432455,0.904,0.996,2.69257859364226e-85
"KLHL13",2.38841329803621e-89,-3.17732632523804,0.196,0.845,4.13720951485832e-85
"AKR1B1",3.02801230745576e-89,-3.23657257887574,0.219,0.878,5.24512291897488e-85
"MAL",7.28909645410354e-89,-6.34984378432547,0.017,0.629,1.26261728777982e-84
"KRT7",1.09380228649068e-88,-5.33743399660778,0.037,0.674,1.89468432065916e-84
"ARHGEF28",1.14979126204161e-88,-1.65364561829045,0.743,0.985,1.99166842410847e-84
"RAPGEF3",2.35624030559874e-88,-3.52974577640894,0.103,0.746,4.08147945735814e-84
"P4HA1",2.41315477742288e-88,2.43589551061049,0.908,0.743,4.18006670545192e-84
"HOXD10",4.39326935987932e-88,-5.7055566334293,0.016,0.62,7.61002118518296e-84
"FREM2",6.56729463557779e-88,-3.53436821294564,0.092,0.733,1.13758677677479e-83
"LTF",1.16999470279604e-87,-9.12599727870444,0.011,0.605,2.02666482418329e-83
"FRK",1.36091981539138e-87,-2.66536678445246,0.339,0.894,2.35738530422094e-83
"SMAD3",1.36683899538186e-87,-1.61537691279645,0.869,0.995,2.36763850780046e-83
"MYO1D",2.20973121369819e-87,-2.38472202913192,0.299,0.879,3.82769640836801e-83
"ABO",2.87165580516577e-87,-6.40029836052453,0.007,0.619,4.97428218570816e-83
"EMX2",6.62509352750867e-87,-3.79067815092568,0.046,0.664,1.14759870083505e-82
"VEGFA",8.54003457215169e-87,3.09989764002789,0.915,0.784,1.47930478858812e-82
"AGR2",1.24901353666003e-86,-6.26425353440182,0.012,0.622,2.1635412482025e-82
"FAM110B",1.67401918787093e-86,-2.08797122037966,0.419,0.936,2.89973603723003e-82
"FAM107B",2.62761950312944e-86,-1.84052025793963,0.792,0.981,4.55156250332082e-82
"GAB1",3.49243528276322e-86,-2.59717171131636,0.298,0.859,6.04959639680244e-82
"KCNQ1",5.41333716896014e-86,-3.34922786852842,0.149,0.754,9.37698264407275e-82
"ABCC5",5.9940756030725e-86,-2.7185589820128,0.216,0.825,1.03829377596422e-81
"WWC1",6.06660097376523e-86,-1.71697775217068,0.765,0.99,1.05085662067561e-81
"IRAK3",1.92296023282785e-85,-7.68304517670874,0.004,0.618,3.33095171530441e-81
