name,K1030_GE5_CTRL_mean_score,K1030_GE5_mean_score,K1030_GE5_CTRL_K1030_GE5_change,K1030_GE5_CTRL_K1030_GE5_pvalue,K1030_GE5_CTRL_K1030_GE5_highlighted
GATA5,0.11544,0.15376,-0.07387,4.41909E-93,FALSE
GATA6,0.10801,0.14643,-0.08528,2.65401E-109,FALSE
GBX1,0.09496,0.14267,-0.20986,2.27993E-127,FALSE
GBX2,0.10913,0.15257,-0.174,2.60239E-150,FALSE
GCM1,0.22808,0.24237,0.09775,5.44005E-103,FALSE
SOX2,0.14627,0.18105,-0.03102,5.06784E-55,FALSE
GCM2,0.18912,0.2152,0.01899,1.14905E-41,FALSE
GFI1,0.14966,0.19087,-0.09228,7.70590E-119,FALSE
GLI3,0.21311,0.24165,-0.00549,1.70961E-13,FALSE
GLIS1,0.25344,0.26714,0.11644,1.07719E-114,FALSE
GRHL1,0.13048,0.16975,-0.10163,3.85860E-105,FALSE
GRHL2,0.14083,0.18243,-0.09197,9.95431E-112,FALSE
GSC,0.11378,0.15315,-0.14711,2.20702E-154,FALSE
GSC2,0.11378,0.15315,-0.14711,2.20702E-154,FALSE
GSX1,0.08883,0.1375,-0.254,4.00062E-161,FALSE
GSX2,0.09782,0.14489,-0.21604,4.27594E-129,FALSE
TCF3,0.19213,0.22327,-0.05907,3.63036E-102,FALSE
HAND2,0.14552,0.19207,-0.12179,3.55103E-156,FALSE
HES1,0.37617,0.3807,0.19415,1.77601E-131,TRUE
HES2,0.32641,0.33895,0.15516,2.47115E-126,FALSE
HESX1,0.10913,0.15257,-0.174,2.60239E-150,FALSE
HEY2,0.29405,0.31489,0.11148,3.47797E-110,FALSE
HIC2,0.16621,0.20294,-0.05197,5.12512E-108,FALSE
HIF1A,0.27158,0.2923,0.13374,9.92078E-131,FALSE
HINFP,0.45223,0.39948,0.56613,7.21321E-181,TRUE
HLF,0.11694,0.16559,-0.22136,1.02283E-151,FALSE
HMBOX1,0.09626,0.14947,-0.26803,5.72747E-139,TRUE
HNF1A,0.0985,0.16904,-0.40562,9.17205E-192,TRUE
HNF4A,0.14877,0.19113,-0.10565,4.09355E-120,FALSE
HNF4A,0.14552,0.1854,-0.07155,1.81714E-115,FALSE
HNF4G,0.147,0.18673,-0.06785,1.69031E-105,FALSE
HOXA10,0.0956,0.13595,-0.17603,4.56735E-155,FALSE
HOXA4,0.12963,0.18634,-0.23338,6.10442E-139,FALSE
HOXA6,0.09782,0.14489,-0.21604,4.27594E-129,FALSE
HOXA7,0.10913,0.15257,-0.174,2.60239E-150,FALSE
HOXA9,0.22571,0.24764,0.03708,6.38204E-21,FALSE
HOXB2,0.08883,0.1375,-0.254,4.00062E-161,FALSE
TBX3,0.13219,0.17553,-0.15014,9.25597E-142,FALSE
HOXB3,0.08883,0.1375,-0.254,4.00062E-161,FALSE
HOXB4,0.11334,0.16537,-0.21898,5.79839E-176,FALSE
HOXB5,0.08883,0.1375,-0.254,4.00062E-161,FALSE
HOXB6,0.09782,0.14489,-0.21604,4.27594E-129,FALSE
HOXB7,0.09782,0.14489,-0.21604,4.27594E-129,FALSE
HOXB8,0.10979,0.15368,-0.15237,3.95136E-118,FALSE
HOXB9,0.11811,0.16006,-0.13146,5.63617E-114,FALSE
HOXC10,0.11005,0.15261,-0.15014,2.05665E-128,FALSE
HOXC11,0.12494,0.16071,-0.10125,6.60383E-93,FALSE
HOXC12,0.11701,0.15826,-0.13385,4.49733E-113,FALSE
HOXC13,0.1146,0.15575,-0.12372,1.67571E-121,FALSE
HOXC4,0.11334,0.16537,-0.21898,5.79839E-176,FALSE
HOXC8,0.08883,0.1375,-0.254,4.00062E-161,FALSE
HOXC9,0.11811,0.16006,-0.13146,5.63617E-114,FALSE
HOXD10,0.12554,0.16672,-0.12038,3.55060E-112,FALSE
HOXD11,0.10512,0.14528,-0.14115,3.77504E-124,FALSE
HOXD12,0.12614,0.1692,-0.13928,2.28653E-116,FALSE
HOXD12::ELK1,0.14332,0.18707,-0.13489,1.84431E-121,FALSE
HOXD4,0.11334,0.16537,-0.21898,5.79839E-176,FALSE
HOXD8,0.1235,0.16693,-0.15509,1.14853E-124,FALSE
HOXD9,0.10171,0.14183,-0.16016,4.78035E-141,FALSE
IKZF1,0.14886,0.19887,-0.13719,1.70779E-157,FALSE
IRF2,0.13535,0.16941,-0.03547,4.37932E-80,FALSE
IRF3,0.13028,0.16447,-0.05974,2.11266E-116,FALSE
IRF4,0.15717,0.18825,-0.01381,4.16558E-34,FALSE
IRF7,0.11665,0.15186,-0.08642,1.14855E-120,FALSE
IRF8,0.15897,0.18937,-0.00672,2.01208E-12,FALSE
ISL2,0.13062,0.17222,-0.11628,6.93684E-138,FALSE
ISX,0.08883,0.1375,-0.254,4.00062E-161,FALSE
JDP2,0.24192,0.29521,-0.18968,2.85923E-133,FALSE
JUN::JUNB,0.24581,0.3421,-0.29535,5.96852E-193,TRUE
JUN::JUNB,0.24194,0.29584,-0.17627,2.53866E-133,FALSE
KLF1,0.3672,0.37821,0.12433,2.20634E-168,FALSE
KLF11,0.3838,0.39615,0.11173,1.87194E-144,FALSE
KLF13,0.37352,0.39537,0.02324,1.70650E-55,FALSE
KLF15,0.54361,0.50474,0.47164,1.71321E-214,TRUE
KLF17,0.24474,0.26611,0.0613,1.54635E-113,FALSE
KLF2,0.39437,0.39631,0.17994,3.36424E-173,TRUE
KLF3,0.4202,0.41461,0.18963,1.88135E-162,TRUE
KLF4,0.33221,0.35094,0.08292,3.07182E-144,FALSE
KLF6,0.41047,0.42027,0.11324,2.32160E-141,FALSE
KLF7,0.44716,0.44677,0.1992,4.75206E-171,TRUE
KLF9,0.28355,0.3124,0.00267,7.52105E-09,FALSE
LBX1,0.09496,0.14267,-0.20986,2.27993E-127,FALSE
LBX2,0.10913,0.15257,-0.174,2.60239E-150,FALSE
LHX2,0.10913,0.15257,-0.174,2.60239E-150,FALSE
LHX5,0.09782,0.14489,-0.21604,4.27594E-129,FALSE
LHX6,0.0935,0.14178,-0.21509,1.43972E-129,FALSE
LHX9,0.11676,0.1619,-0.17747,5.21421E-137,FALSE
LMX1A,0.08684,0.13777,-0.28014,8.50654E-153,TRUE
LMX1B,0.08912,0.13899,-0.26071,7.49854E-154,TRUE
MAF,0.20538,0.2587,-0.10656,1.43453E-120,FALSE
MAF::NFE2,0.22108,0.30268,-0.24118,5.90178E-180,FALSE
NFE2,0.22121,0.31281,-0.3083,3.20536E-191,TRUE
MAFA,0.24197,0.29357,-0.07488,6.15828E-105,FALSE
MAFF,0.13233,0.18163,-0.14936,2.48113E-143,FALSE
MAFG::NFE2L1,0.22148,0.30539,-0.24897,6.17489E-179,FALSE
MAX::MYC,0.2326,0.27107,-0.03707,3.19739E-67,FALSE
MYC,0.27527,0.30887,0.02613,1.65756E-54,FALSE
MAZ,0.30564,0.31138,0.17068,7.22321E-172,FALSE
MEF2A,0.08966,0.12416,-0.13741,2.23537E-154,FALSE
MEF2C,0.09301,0.1279,-0.13284,3.66897E-147,FALSE
MEIS1,0.14992,0.19387,-0.10563,7.73651E-169,FALSE
MEIS1,0.12492,0.17174,-0.1374,1.27194E-131,FALSE
MEIS2,0.1096,0.15343,-0.14885,1.36538E-139,FALSE
MEIS3,0.15186,0.1899,-0.06824,1.40612E-92,FALSE
MEOX1,0.09496,0.14267,-0.20986,2.27993E-127,FALSE
MEOX2,0.09782,0.14489,-0.21604,4.27594E-129,FALSE
MGA::EVX1,0.11944,0.16661,-0.16877,1.58954E-139,FALSE
MITF,0.22412,0.2708,-0.13181,1.48335E-116,FALSE
MIXL1,0.08883,0.1375,-0.254,4.00062E-161,FALSE
MLXIPL,0.29315,0.3216,0.05149,6.70340E-74,FALSE
MNT,0.2829,0.31451,0.03793,5.31563E-75,FALSE
MNX1,0.08883,0.1375,-0.254,4.00062E-161,FALSE
MSANTD3,0.20209,0.22796,0.0342,8.79895E-75,FALSE
MSX1,0.10913,0.15257,-0.174,2.60239E-150,FALSE
MSX2,0.10913,0.15257,-0.174,2.60239E-150,FALSE
MXI1,0.13521,0.1828,-0.14451,1.63339E-155,FALSE
MYB,0.15458,0.19501,-0.0784,1.07906E-130,FALSE
MYCN,0.27583,0.31203,0.00391,9.29929E-05,FALSE
MYF5,0.17863,0.22372,-0.09679,6.94391E-115,FALSE
MYOD1,0.16629,0.20185,-0.07184,7.66679E-117,FALSE
MYOG,0.21737,0.24962,-0.01174,1.48877E-41,FALSE
MZF1,0.18243,0.21427,-0.0128,9.17658E-35,FALSE
NEUROD1,0.15425,0.20087,-0.13074,5.60591E-144,FALSE
NEUROG2,0.15613,0.20096,-0.10634,7.36602E-118,FALSE
NFATC3,0.13317,0.17385,-0.11005,7.44910E-157,FALSE
NFATC4,0.12887,0.16986,-0.13321,3.73061E-134,FALSE
NFIA,0.14842,0.18989,-0.06126,8.25468E-120,FALSE
NFIB,0.19237,0.23709,-0.06638,1.54554E-120,FALSE
NFIC,0.16191,0.20119,-0.03525,9.97370E-95,FALSE
NFIC,0.19032,0.24034,-0.09311,2.30276E-120,FALSE
NFIL3,0.10666,0.15308,-0.22662,5.17496E-161,FALSE
NFIX,0.14842,0.18989,-0.06126,8.25468E-120,FALSE
NFIX,0.20312,0.24769,-0.062,2.56933E-105,FALSE
NFKB2,0.19734,0.21199,0.11674,3.08392E-126,FALSE
NFYA,0.3288,0.35438,0.13529,4.42741E-136,FALSE
NFYB,0.39403,0.43013,-0.05606,1.07568E-92,FALSE
NFYC,0.29323,0.31744,0.16811,7.97881E-140,FALSE
NHLH2,0.2768,0.2897,0.11112,1.16267E-137,FALSE
NKX2-2,0.17934,0.21409,-0.03294,1.11213E-76,FALSE
NKX2-3,0.13963,0.17686,-0.05492,5.89798E-90,FALSE
NKX2-4,0.14409,0.17904,-0.04295,5.44077E-81,FALSE
NKX2-5,0.14588,0.18361,-0.06478,7.03970E-91,FALSE
NKX2-8,0.14002,0.17742,-0.05892,1.65243E-96,FALSE
NKX6-1,0.08684,0.13777,-0.28014,8.50654E-153,TRUE
NKX6-2,0.08883,0.1375,-0.254,4.00062E-161,FALSE
NKX6-3,0.11779,0.16725,-0.19567,5.97087E-144,FALSE
NOTO,0.09496,0.14267,-0.20986,2.27993E-127,FALSE
NR1D1,0.16173,0.20133,-0.08092,2.16326E-112,FALSE
NR1H4::RXRA,0.15438,0.19592,-0.09149,3.38604E-107,FALSE
NR1I2,0.19163,0.21912,-0.01082,1.10167E-25,FALSE
NR1I3,0.12429,0.16548,-0.09841,9.26388E-107,FALSE
NR2C1,0.14285,0.19371,-0.16316,9.02541E-165,FALSE
NR2C2,0.20891,0.23783,0.00613,4.44706E-25,FALSE
NR2C2,0.14285,0.19371,-0.16316,9.02541E-165,FALSE
NR2F1,0.14103,0.18529,-0.1284,3.79193E-144,FALSE
NR2F1,0.16128,0.20669,-0.12132,1.40948E-128,FALSE
NR2F2,0.12947,0.17958,-0.16614,2.04327E-138,FALSE
NR3C1,0.15577,0.1918,-0.04591,3.43258E-65,FALSE
NR3C2,0.15328,0.18968,-0.05395,3.08743E-78,FALSE
NR4A1,0.13176,0.17947,-0.1456,1.90982E-142,FALSE
NR4A2,0.13154,0.1798,-0.15465,1.69379E-144,FALSE
NR4A2::RXRA,0.16856,0.20647,-0.07279,2.66694E-93,FALSE
NR6A1,0.13598,0.17692,-0.11877,1.39168E-124,FALSE
NRL,0.14889,0.19806,-0.1243,9.77904E-125,FALSE
ONECUT1,0.09326,0.12989,-0.13631,4.68685E-128,FALSE
ONECUT3,0.08532,0.12343,-0.18325,3.04970E-145,FALSE
OSR1,0.17452,0.20914,-0.04186,2.66259E-77,FALSE
OSR2,0.17728,0.21269,-0.01966,9.16086E-58,FALSE
OTX1,0.11378,0.15315,-0.14711,2.20702E-154,FALSE
OTX2,0.10569,0.1423,-0.1478,2.92421E-135,FALSE
OVOL1,0.24787,0.26618,0.12634,5.96845E-80,FALSE
OVOL2,0.25997,0.28074,0.1034,4.17664E-64,FALSE
PATZ1,0.39952,0.38925,0.26992,3.13159E-200,TRUE
PAX2,0.27907,0.29586,0.14922,3.11227E-120,FALSE
PAX3,0.1779,0.22058,-0.07178,3.33010E-75,FALSE
PBX1,0.1416,0.17195,0.07052,9.68820E-101,FALSE
PBX2,0.10557,0.1482,-0.15082,4.62015E-145,FALSE
PBX3,0.19683,0.24815,-0.11179,8.71128E-142,FALSE
PDX1,0.08883,0.1375,-0.254,4.00062E-161,FALSE
PHOX2B,0.07609,0.11659,-0.22812,4.95111E-169,FALSE
PITX3,0.11378,0.15315,-0.14711,2.20702E-154,FALSE
PKNOX1,0.18509,0.23618,-0.12126,3.54245E-140,FALSE
PLAGL2,0.24939,0.2609,0.12909,2.82247E-131,FALSE
POU1F1,0.1091,0.15444,-0.22021,3.85276E-168,FALSE
POU2F1,0.12172,0.16614,-0.19828,3.79654E-151,FALSE
POU2F2,0.1159,0.16084,-0.21647,1.68732E-158,FALSE
POU2F3,0.12066,0.16512,-0.18044,9.67675E-152,FALSE
POU3F1,0.10504,0.14839,-0.20974,7.47501E-159,FALSE
POU4F1,0.08679,0.13337,-0.24995,9.42042E-173,FALSE
POU4F2,0.09215,0.13856,-0.22803,9.35168E-166,FALSE
POU4F3,0.08789,0.1359,-0.25906,1.29803E-167,TRUE
POU5F1,0.13302,0.17741,-0.15247,5.15898E-136,FALSE
POU6F1,0.08883,0.1375,-0.254,4.00062E-161,FALSE
POU6F1,0.13273,0.18392,-0.16827,3.99196E-131,FALSE
POU6F2,0.12108,0.17226,-0.19203,1.62197E-146,FALSE
PPARA::RXRA,0.14081,0.18632,-0.13504,1.20039E-140,FALSE
PPARD,0.15159,0.19587,-0.11726,6.61723E-134,FALSE
PPARG,0.15747,0.20485,-0.12378,4.16528E-124,FALSE
PRDM1,0.15461,0.18623,0.00079,3.97981E-02,FALSE
PRDM9,0.2428,0.26186,0.07893,3.15603E-148,FALSE
PRRX1,0.08883,0.1375,-0.254,4.00062E-161,FALSE
PRRX2,0.09496,0.14267,-0.20986,2.27993E-127,FALSE
RARA::RXRG,0.19089,0.22908,-0.05015,6.31992E-95,FALSE
RARB,0.19776,0.23731,-0.06378,3.62548E-85,FALSE
RARG,0.16952,0.21163,-0.08545,1.11149E-98,FALSE
RAX,0.10913,0.15257,-0.174,2.60239E-150,FALSE
RAX2,0.10913,0.15257,-0.174,2.60239E-150,FALSE
RBPJ,0.16783,0.20652,-0.05939,1.24193E-124,FALSE
RELB,0.18433,0.21501,0.002,1.88346E-02,FALSE
REST,0.22302,0.24449,0.04605,2.00288E-97,FALSE
RFX2,0.18367,0.2386,-0.26073,4.11110E-158,TRUE
RFX4,0.21538,0.25471,-0.06535,1.85982E-87,FALSE
RFX5,0.19174,0.24614,-0.24613,1.50130E-147,FALSE
RFX7,0.21842,0.25574,-0.07381,1.41072E-86,FALSE
RHOXF1,0.11378,0.15315,-0.14711,2.20702E-154,FALSE
RORA,0.12208,0.16855,-0.16103,2.69815E-141,FALSE
RORB,0.12475,0.17341,-0.1799,9.54560E-141,FALSE
RORC,0.13087,0.17878,-0.16537,6.89521E-136,FALSE
RREB1,0.1822,0.21428,-0.02611,9.62277E-92,FALSE
RUNX3,0.13674,0.186,-0.16985,1.11811E-145,FALSE
SATB1,0.09809,0.14242,-0.20156,4.01168E-131,FALSE
SCRT1,0.15538,0.19719,-0.13194,2.85645E-130,FALSE
SCRT2,0.15554,0.19406,-0.10361,4.94466E-122,FALSE
SHOX,0.08883,0.1375,-0.254,4.00062E-161,FALSE
SIX1,0.13737,0.17728,-0.1025,1.97093E-121,FALSE
SIX2,0.13362,0.17561,-0.10491,4.79138E-126,FALSE
SMAD2,0.19251,0.22377,-0.01281,1.12370E-57,FALSE
SNAI1,0.19213,0.22327,-0.05907,3.63036E-102,FALSE
SNAI2,0.15071,0.18296,-0.09333,4.51043E-126,FALSE
SNAI3,0.15609,0.18709,-0.08623,1.73994E-127,FALSE
SOHLH2,0.26191,0.28689,0.07358,8.27313E-82,FALSE
SOX10,0.14036,0.17763,-0.04162,3.45081E-109,FALSE
SOX12,0.14346,0.17807,-0.04118,5.18855E-75,FALSE
SOX13,0.14627,0.18105,-0.03102,5.06784E-55,FALSE
SOX14,0.1428,0.17846,-0.03719,2.78618E-65,FALSE
SOX15,0.13616,0.17247,-0.05173,4.48739E-95,FALSE
SOX4,0.14502,0.18099,-0.01222,2.30357E-45,FALSE
SOX8,0.12916,0.16785,-0.04934,1.89030E-81,FALSE
SOX9,0.12689,0.16456,-0.05296,4.05306E-88,FALSE
SP3,0.46087,0.46721,0.14868,5.02419E-164,FALSE
SP5,0.24708,0.27008,0.04079,1.56390E-129,FALSE
SP8,0.34442,0.36176,0.0838,2.04358E-140,FALSE
SP9,0.45112,0.45358,0.19207,6.26423E-168,TRUE
SPIB,0.1773,0.22175,-0.08286,2.78780E-136,FALSE
SPIC,0.14047,0.18221,-0.11255,8.52138E-134,FALSE
SREBF1,0.16032,0.20064,-0.12261,4.43819E-121,FALSE
SRY,0.10421,0.14266,-0.1042,4.11956E-121,FALSE
STAT1,0.15687,0.20145,-0.1062,8.53966E-131,FALSE
STAT1::STAT2,0.12301,0.16082,-0.09811,3.46788E-141,FALSE
STAT3,0.14909,0.19186,-0.107,1.15730E-134,FALSE
TAL1::TCF3,0.13486,0.18122,-0.17023,8.96012E-142,FALSE
TBR1,0.12848,0.17255,-0.15927,4.38011E-139,FALSE
TBX18,0.14455,0.18241,-0.11743,2.59091E-136,FALSE
TBX19,0.12918,0.17492,-0.15073,3.71235E-124,FALSE
TBX2,0.13249,0.17684,-0.15917,6.13136E-138,FALSE
TCF12,0.19213,0.22327,-0.05907,3.63036E-102,FALSE
TCF21,0.13026,0.179,-0.19672,6.61392E-127,FALSE
TCF4,0.18223,0.21183,-0.05195,1.11472E-101,FALSE
TCF7,0.11989,0.1607,-0.09878,1.51454E-105,FALSE
TCF7L2,0.11416,0.15434,-0.10522,1.54324E-125,FALSE
TCFL5,0.51537,0.46838,0.53299,4.92765E-179,TRUE
TEAD1,0.15179,0.20319,-0.13007,2.42149E-140,FALSE
TEAD2,0.15961,0.21177,-0.11419,1.59023E-123,FALSE
TEAD4,0.14741,0.20012,-0.14235,3.38597E-146,FALSE
TFAP2A,0.32332,0.31776,0.2473,2.84648E-175,TRUE
TFAP2A,0.26061,0.27929,0.0884,4.14451E-135,FALSE
TFAP2B,0.28956,0.29504,0.17648,5.59863E-155,TRUE
TFAP2B,0.32909,0.3169,0.27719,1.39950E-177,TRUE
TFAP2C,0.28635,0.29352,0.16745,2.31573E-154,FALSE
TFAP2C,0.24649,0.2613,0.08081,2.27063E-131,FALSE
TFAP2E,0.30905,0.30645,0.22989,1.18966E-163,TRUE
TFAP4::ETV1,0.27904,0.29484,0.09723,1.62911E-128,FALSE
TFAP4::FLI1,0.21154,0.24434,0.00227,1.61309E-03,FALSE
TFCP2,0.15768,0.1958,-0.07297,4.82833E-77,FALSE
TFDP1,0.47699,0.44715,0.40136,2.30323E-184,TRUE
TFEB,0.20918,0.2557,-0.11415,4.29537E-122,FALSE
TFEC,0.26876,0.30701,-0.03279,7.88951E-71,FALSE
THAP1,0.20016,0.24006,-0.04206,4.90033E-107,FALSE
THRA,0.16824,0.20755,-0.09494,5.41557E-133,FALSE
THRB,0.16624,0.20751,-0.09662,1.58173E-120,FALSE
THRB,0.20728,0.23979,-0.01812,1.68439E-37,FALSE
THRB,0.17081,0.2126,-0.09431,3.77732E-123,FALSE
TLX2,0.08883,0.1375,-0.254,4.00062E-161,FALSE
TP73,0.16833,0.20595,-0.06568,2.93809E-81,FALSE
TRPS1,0.10257,0.14067,-0.09953,3.10893E-119,FALSE
TWIST1,0.14273,0.1904,-0.16393,5.26338E-142,FALSE
UNCX,0.08883,0.1375,-0.254,4.00062E-161,FALSE
USF1,0.17688,0.22661,-0.15053,9.49895E-143,FALSE
USF2,0.3064,0.34487,-0.05326,4.24584E-74,FALSE
VAX1,0.09496,0.14267,-0.20986,2.27993E-127,FALSE
VAX2,0.08883,0.1375,-0.254,4.00062E-161,FALSE
VEZF1,0.23022,0.23982,0.15325,7.07081E-157,FALSE
VSX1,0.09496,0.14267,-0.20986,2.27993E-127,FALSE
VSX2,0.09496,0.14267,-0.20986,2.27993E-127,FALSE
XBP1,0.34474,0.37369,0.07394,1.53638E-83,FALSE
YY2,0.42028,0.40589,0.23811,4.21642E-138,TRUE
ZBED1,0.27888,0.28774,0.08929,2.43427E-61,FALSE
ZBED2,0.25192,0.25414,0.17631,1.30628E-106,TRUE
ZBTB12,0.17554,0.20969,-0.04523,4.42693E-86,FALSE
ZBTB14,0.4727,0.43893,0.41426,2.52977E-182,TRUE
ZBTB18,0.12466,0.16992,-0.17517,1.57517E-154,FALSE
ZBTB26,0.16023,0.19606,-0.06802,2.00469E-119,FALSE
ZBTB33,0.53964,0.4716,0.57583,1.53605E-170,TRUE
ZBTB6,0.20076,0.22783,0.0031,6.17758E-10,FALSE
ZBTB7A,0.36754,0.40155,-0.00091,4.05384E-01,FALSE
ZBTB7B,0.24492,0.24998,0.17344,5.99600E-138,TRUE
ZBTB7C,0.24857,0.25552,0.1418,4.04240E-132,FALSE
ZEB1,0.16471,0.19806,-0.08943,5.34994E-149,FALSE
ZFP42,0.20024,0.23551,-0.08269,7.00283E-116,FALSE
ZFP57,0.3553,0.34529,0.282,9.16990E-134,TRUE
ZIC4,0.30262,0.32178,0.06795,1.36328E-107,FALSE
ZIC5,0.33326,0.33906,0.15125,1.36678E-146,FALSE
ZIM3,0.11851,0.15866,-0.11201,3.76392E-145,FALSE
ZKSCAN1,0.15802,0.1982,-0.10748,7.34553E-115,FALSE
ZKSCAN3,0.23846,0.26858,-0.00925,5.01501E-34,FALSE
ZKSCAN5,0.21809,0.25015,-0.02059,4.05624E-75,FALSE
ZNF140,0.17151,0.2059,-0.05989,2.33269E-105,FALSE
ZNF148,0.36109,0.36064,0.21848,1.54597E-192,TRUE
ZNF16,0.20985,0.24303,-0.00968,1.72963E-37,FALSE
ZNF189,0.1779,0.21073,-0.00849,2.28761E-35,FALSE
ZNF211,0.09093,0.13391,-0.21258,8.47040E-141,FALSE
ZNF214,0.13597,0.17905,-0.11315,6.73667E-129,FALSE
ZNF257,0.2321,0.25215,0.04647,9.03236E-121,FALSE
ZNF263,0.24819,0.27578,0.02443,2.97433E-82,FALSE
ZNF274,0.15622,0.19289,-0.05372,2.23093E-95,FALSE
ZNF281,0.34594,0.35009,0.18913,1.45288E-190,TRUE
ZNF282,0.16489,0.19741,-0.0185,3.02784E-51,FALSE
ZNF317,0.16905,0.21173,-0.0548,4.06168E-104,FALSE
ZNF320,0.27025,0.27567,0.17078,1.76100E-172,FALSE
ZNF324,0.15439,0.19379,-0.07769,1.90209E-114,FALSE
ZNF331,0.24034,0.26569,0.05443,1.68692E-110,FALSE
ZNF341,0.18757,0.22047,-0.01194,1.46952E-38,FALSE
ZNF343,0.31465,0.31374,0.20852,2.07696E-151,TRUE
ZNF354A,0.07776,0.11955,-0.25241,3.32072E-180,FALSE
ZNF384,0.08392,0.12691,-0.25929,4.24854E-190,TRUE
ZNF410,0.1179,0.15829,-0.14134,1.48017E-126,FALSE
ZNF416,0.1668,0.20403,-0.07199,1.92801E-117,FALSE
ZNF417,0.27363,0.29107,0.06288,2.54227E-102,FALSE
ZNF449,0.22933,0.26169,-0.012,9.38107E-38,FALSE
ZNF454,0.35454,0.332,0.34531,9.01474E-198,TRUE
ZNF530,0.26502,0.28136,0.10184,4.86352E-146,FALSE
ZNF549,0.24087,0.26451,0.04494,4.02681E-107,FALSE
ZNF574,0.29357,0.3011,0.12667,5.26520E-140,FALSE
ZNF582,0.14385,0.1855,-0.09254,1.32027E-120,FALSE
ZNF610,0.49379,0.4314,0.58823,8.34481E-213,TRUE
ZNF652,0.11536,0.16064,-0.16408,3.17353E-137,FALSE
ZNF667,0.14542,0.18578,-0.07332,5.08236E-110,FALSE
ZNF675,0.15685,0.19424,-0.06454,3.49649E-108,FALSE
ZNF680,0.12391,0.16399,-0.10395,2.85464E-130,FALSE
ZNF682,0.34847,0.35625,0.13235,8.71123E-143,FALSE
ZNF684,0.20194,0.2366,-0.01651,5.55735E-59,FALSE
ZNF692,0.2527,0.27297,0.03796,2.11555E-79,FALSE
ZNF701,0.23835,0.25552,0.09986,5.03778E-146,FALSE
ZNF708,0.20898,0.23975,-0.00549,4.84660E-17,FALSE
ZNF740,0.2553,0.28193,0.04543,2.60920E-102,FALSE
ZNF76,0.24799,0.28396,-0.04169,1.46546E-90,FALSE
ZNF768,0.18007,0.21497,-0.00753,2.94795E-34,FALSE
ZNF784,0.16921,0.19844,-0.06088,1.96573E-81,FALSE
ZNF816,0.21835,0.23918,0.07707,1.90127E-119,FALSE
ZNF85,0.1321,0.17669,-0.13705,1.63838E-135,FALSE
ZNF93,0.42187,0.37798,0.4521,5.60636E-207,TRUE
ZSCAN29,0.2127,0.23422,0.04605,1.45842E-73,FALSE
ZSCAN31,0.19098,0.22848,-0.03713,5.71128E-74,FALSE
Spz1,0.14763,0.17899,-0.03149,2.10357E-72,FALSE
Sox7,0.13871,0.17347,-0.01633,4.93882E-49,FALSE
Ebf4,0.20282,0.23496,0.0288,5.03758E-81,FALSE
Hand1,0.20085,0.23332,-0.01858,1.17240E-56,FALSE
Hmga1,0.07855,0.11593,-0.18898,2.36589E-165,FALSE
Zfp809,0.19157,0.22466,-0.04515,4.62097E-113,FALSE
Zfp961,0.3819,0.35498,0.36141,4.94743E-173,TRUE
Nr1h3,0.14285,0.19371,-0.16316,9.02541E-165,FALSE
Ppara,0.12947,0.17958,-0.16614,2.04327E-138,FALSE
Nanog,0.12866,0.1741,-0.12634,3.26679E-112,FALSE
Zbtb2,0.44481,0.46454,0.09477,2.04742E-107,FALSE
Ahr::Arnt,0.33467,0.33566,0.21521,3.82153E-188,TRUE
Alx1,0.08612,0.13829,-0.28785,1.09310E-152,TRUE
Alx4,0.10519,0.15247,-0.21327,9.37454E-134,FALSE
Ar,0.17376,0.20743,-0.01572,1.82164E-30,FALSE
Arid3b,0.08174,0.12584,-0.24618,2.37648E-144,FALSE
Arid5a,0.07968,0.12291,-0.24765,8.39171E-153,FALSE
Arntl,0.30129,0.32976,0.06209,2.50051E-75,FALSE
Arx,0.10392,0.15206,-0.22499,1.16400E-140,FALSE
Atf3,0.24962,0.34915,-0.29672,2.72975E-193,TRUE
Atoh1,0.09677,0.13871,-0.1869,1.25937E-129,FALSE
Atoh1,0.15613,0.20096,-0.10634,7.36602E-118,FALSE
Bach1::Mafk,0.23822,0.31567,-0.19935,2.05031E-166,FALSE
Jun,0.2402,0.33743,-0.29608,2.61785E-191,TRUE
Bcl11B,0.13263,0.1888,-0.19883,2.23747E-165,FALSE
Bhlha15,0.18575,0.22921,-0.07739,4.18653E-107,FALSE
Creb5,0.23807,0.29163,-0.19632,1.42510E-135,FALSE
Crx,0.11378,0.15315,-0.14711,2.20702E-154,FALSE
Hoxa13,0.10779,0.14525,-0.1165,1.81763E-125,FALSE
Dlx2,0.1236,0.16809,-0.14268,1.00617E-115,FALSE
Dlx3,0.10913,0.15257,-0.174,2.60239E-150,FALSE
Dlx4,0.10913,0.15257,-0.174,2.60239E-150,FALSE
Dlx5,0.1071,0.15121,-0.15114,8.94058E-127,FALSE
Dmbx1,0.12611,0.1644,-0.1125,3.78558E-115,FALSE
Dmrt1,0.10301,0.14535,-0.14948,1.96902E-139,FALSE
Dux,0.12377,0.17575,-0.20838,1.94258E-151,FALSE
Ebf2,0.20307,0.23393,0.03552,3.15969E-85,FALSE
Elf5,0.16061,0.20739,-0.10665,2.86018E-142,FALSE
Foxo1,0.14576,0.18463,-0.05465,5.61926E-90,FALSE
