name,K1030_GE5_CTRL_mean_score,K1030_GE5_mean_score,K1030_GE5_CTRL_K1030_GE5_change,K1030_GE5_CTRL_K1030_GE5_pvalue,K1030_GE5_CTRL_K1030_GE5_highlighted
HES7,0.24167,0.26185,0.04962,9.56032E-76,FALSE
HEY1,0.30252,0.32376,0.09782,3.77576E-99,FALSE
OLIG1,0.09385,0.13585,-0.209,5.76409E-126,FALSE
OLIG3,0.09929,0.13949,-0.17944,7.41977E-134,FALSE
CEBPG,0.14793,0.21104,-0.38427,7.73571E-158,TRUE
FOXB1,0.09762,0.13729,-0.14783,2.59565E-146,FALSE
FOXC1,0.09925,0.13847,-0.13845,1.02070E-146,FALSE
FOXO4,0.14576,0.18463,-0.05465,5.61926E-90,FALSE
FOXO6,0.14576,0.18463,-0.05465,5.61926E-90,FALSE
FOXP3,0.14576,0.18463,-0.05465,5.61926E-90,FALSE
RXRB,0.15156,0.19802,-0.12421,1.94497E-138,FALSE
RXRG,0.14794,0.19485,-0.13538,1.19686E-133,FALSE
Rarb,0.11814,0.16209,-0.13764,5.90511E-140,FALSE
Rarb,0.1521,0.19922,-0.11856,2.77205E-124,FALSE
Rarg,0.14788,0.1936,-0.13421,7.28189E-139,FALSE
TP63,0.14471,0.18544,-0.11159,2.62913E-110,FALSE
TP53,0.15709,0.1985,-0.08336,1.25421E-97,FALSE
GMEB2,0.28385,0.3172,-0.0215,1.10944E-16,FALSE
MTF1,0.22447,0.25025,0.05235,1.65783E-84,FALSE
E2F1,0.35224,0.36435,0.10142,1.56252E-85,FALSE
SOX21,0.11002,0.15294,-0.14473,6.58353E-135,FALSE
Sox1,0.11262,0.15574,-0.1398,1.37626E-129,FALSE
TFAP2A,0.30592,0.30766,0.19588,2.27416E-151,TRUE
ZNF24,0.12619,0.17011,-0.12855,3.53619E-144,FALSE
ZSCAN4,0.14976,0.18541,-0.03745,1.17009E-83,FALSE
FOSB::JUN,0.23711,0.29107,-0.19005,1.03571E-136,FALSE
FOSL1::JUN,0.24642,0.29942,-0.2173,1.07565E-135,FALSE
FOSB::JUNB,0.24887,0.30188,-0.19754,9.32844E-129,FALSE
IRF5,0.16904,0.19905,-0.0178,2.83552E-36,FALSE
TCF7L1,0.11965,0.15988,-0.10612,6.49906E-129,FALSE
ATOH7,0.11735,0.16363,-0.18195,4.83720E-132,FALSE
FERD3L,0.23942,0.26326,0.03591,2.86538E-75,FALSE
FOXN3,0.10736,0.14901,-0.14626,4.76718E-146,FALSE
