name,K1040_GE1_CTRL_mean_score,K1040_GE1_mean_score,K1040_GE1_CTRL_K1040_GE1_change,K1040_GE1_CTRL_K1040_GE1_pvalue,K1040_GE1_CTRL_K1040_GE1_highlighted
HES7,0.22235,0.24466,-0.06436,2.52189E-83,FALSE
HEY1,0.26899,0.29887,-0.08693,2.32595E-92,FALSE
OLIG1,0.13112,0.13792,0.06342,1.87150E-78,FALSE
OLIG3,0.13531,0.14066,0.08389,1.13683E-94,FALSE
CEBPG,0.19677,0.20006,0.1708,1.48532E-115,TRUE
FOXB1,0.14261,0.14951,0.10829,3.89565E-141,TRUE
FOXC1,0.1417,0.15102,0.0866,3.72555E-130,FALSE
FOXO4,0.1819,0.20184,-0.00871,3.32656E-24,FALSE
FOXO6,0.1819,0.20184,-0.00871,3.32656E-24,FALSE
FOXP3,0.1819,0.20184,-0.00871,3.32656E-24,FALSE
RXRB,0.17916,0.19952,-0.03632,4.87525E-82,FALSE
RXRG,0.17737,0.19758,-0.02962,2.23131E-69,FALSE
Rarb,0.14448,0.16394,-0.03973,2.79026E-86,FALSE
Rarb,0.17904,0.20398,-0.07069,1.27954E-105,FALSE
Rarg,0.17091,0.19279,-0.06132,6.58083E-111,FALSE
TP63,0.17465,0.19806,-0.07002,2.97737E-82,FALSE
TP53,0.18929,0.21361,-0.07801,1.78921E-103,FALSE
GMEB2,0.26747,0.28635,0.01783,3.22674E-09,FALSE
MTF1,0.23418,0.24683,0.01448,1.34677E-34,FALSE
E2F1,0.34216,0.35083,0.04566,3.59990E-48,FALSE
SOX21,0.14638,0.1568,0.042,1.27136E-81,FALSE
Sox1,0.14734,0.16003,0.02598,6.25845E-58,FALSE
TFAP2A,0.27882,0.29186,0.01,4.13555E-22,FALSE
ZNF24,0.15922,0.17198,0.04209,1.43559E-93,FALSE
ZSCAN4,0.17632,0.18805,0.02893,1.94095E-76,FALSE
FOSB::JUN,0.24086,0.27164,-0.08876,8.24866E-95,FALSE
FOSL1::JUN,0.25205,0.2844,-0.09087,5.64794E-95,FALSE
FOSB::JUNB,0.25103,0.28506,-0.10415,5.48864E-107,FALSE
IRF5,0.18853,0.20259,0.01537,7.86595E-36,FALSE
TCF7L1,0.14727,0.16334,-0.00217,1.27298E-03,FALSE
ATOH7,0.15476,0.16575,0.01366,6.62072E-32,FALSE
FERD3L,0.23352,0.25651,-0.05472,3.93085E-96,FALSE
FOXN3,0.14111,0.15852,-0.00537,1.32000E-13,FALSE
HES6,0.20758,0.23414,-0.08291,1.14601E-100,FALSE
IRF6,0.2139,0.22745,0.03092,9.13458E-45,FALSE
NR2F1,0.19456,0.21774,-0.03881,4.96732E-71,FALSE
NR2F6,0.18993,0.21386,-0.04713,4.44871E-73,FALSE
RXRB,0.2029,0.22642,-0.05153,7.56794E-84,FALSE
RXRG,0.21416,0.2382,-0.05909,4.57139E-96,FALSE
SMAD5,0.19664,0.21454,-0.03986,1.29415E-48,FALSE
TFAP4,0.1517,0.16648,-0.01478,8.88370E-30,FALSE
TGIF2LX,0.17355,0.20749,-0.14598,1.82820E-123,FALSE
TGIF2LY,0.17363,0.20901,-0.15191,2.55309E-122,TRUE
ZBTB32,0.15233,0.15768,0.07968,2.07197E-105,FALSE
