"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"A1BG",2.28072666864562,0.359091904903356,0.915637164224847,0.0822457363262141,NA
"A1CF",87.7501796734461,0.0610055947634651,0.509565815241598,0.696480463495991,0.83374574819424
"A2M",856.956833187898,0.240284774444993,0.798392783959817,0.16483812079759,0.365866183395475
"A4GALT",351.764062338022,-0.0850695769062001,0.232010583665339,0.604410998889797,0.770957517386569
"A4GNT",3.24826842335859,0.596899366155657,1.15713749514141,0.028729409693116,0.12742761229496
"AAAS",542.207627345475,-0.263345683558866,0.159239066001504,0.0551901475512841,0.191199003582607
"AACS",1188.01721578508,-0.3576908667523,0.168626703257573,0.0120529147584325,0.0718565699095678
"AADAT",8.01867958641813,-1.21139756981584,1.34859923508484,0.0063489807433987,0.0460767017592192
"AAGAB",361.490395898566,0.0787009822399012,0.264206767875692,0.6348100503174,0.79283547927788
"AAK1",1357.2317754098,0.0727538518261588,0.18384549034061,0.628020862410448,0.787496874310372
"AAMDC",47.1841010626244,-0.00151760903790249,0.259113088118598,0.992648305481004,0.996347799762015
"AAMP",1289.72179807465,-0.101758885367804,0.192408928958188,0.508174362520491,0.702502408962214
"AANAT",1.84151245395378,-0.049581607715295,0.552401636555268,0.74377766691565,NA
"AAR2",551.201088688885,-0.207254898031122,0.177731280997297,0.15984709970465,0.35910928338719
"AARD",2.87330826610145,-0.0532600356589304,0.501873911135257,0.732703956210056,NA
"AARS2",594.314251906015,-0.0391016002792711,0.135838815763878,0.74937351783993,0.865417008774192
"AARSD1",130.21283265508,-0.00506114684455108,0.252539443726063,0.975505865295387,0.988187908693589
"AASDH",196.694241123851,0.395761507012502,0.167839947729066,0.00527204453344453,0.0403600634948062
"AASDHPPT",551.31024297061,-0.103019107141816,0.146963696009412,0.427669486999678,0.640419110493475
"AASS",15.3864155160207,0.0334917490873103,0.425728803748079,0.830167578564745,0.910419139421196
"AATF",591.172927950916,-0.175285386680195,0.225082682779291,0.285855902666895,0.506491524383211
"AATK",34.9082362735484,0.117459537900498,0.344255837026497,0.475463398165267,0.677620439339696
"ABAT",51.7706642402836,-0.0531083530120303,0.333211817289491,0.738802651428299,0.859555386829298
"ABCA1",287.109483318793,-0.0392043370711596,0.292687601052547,0.80917002107906,0.899663791665439
"ABCA2",5279.66206055955,0.765588103197642,0.310289760427874,0.000227485108865798,0.00416989575291216
"ABCA3",1889.57161287996,-0.671946106695496,0.401277748256832,0.00356997877615269,0.0308557985877228
"ABCA5",143.310304105517,0.158250067765653,0.307375842450888,0.35033628794793,0.569530754997284
"ABCA6",66.0001469028007,0.0458287610045597,0.536568701071372,0.764284608162805,0.874682279694251
"ABCA7",70.4162676716096,-0.0299205479073573,0.301938272789117,0.852623946177827,0.924356658822205
