"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"A1BG",1.49132810587101,0.183301352295044,0.673944607265548,0.362277087073017,0.525900962277752
"A1CF",7.98623638155034,0.307405957412609,0.537124630538407,0.19975748265648,0.348160892150625
"A2M",10.1865285797025,0.00636389399809979,0.569071537496096,NA,NA
"A4GALT",941.738197842303,0.642714310332274,0.227277540568137,0.000433767965947974,0.00265733825045175
"AAAS",536.211604168078,-0.320704443652099,0.134883661823191,0.0102329460229941,0.0363260298021352
"AACS",1170.40220948221,-0.93618004291652,0.098498123279236,2.26219943354133e-23,7.03955332819271e-21
"AADAT",3.34517334542776,-2.27222144972076,1.78645439972141,0.00107678377691898,0.00570022735074618
"AAGAB",507.084541370755,-0.486011612682345,0.22954441956912,0.00811368382091372,0.0300737842111399
"AAK1",1149.86910893202,0.222451544825393,0.196984039097241,0.183013347591178,0.327258554945594
"AAMDC",45.2346006759142,0.271478976632847,0.233231974418136,0.142137534340952,0.27356514159922
"AAMP",1055.52922624431,0.250086672155049,0.146703536681537,0.0622390201049205,0.148104741840651
"AANAT",1.89750457853362,0.436184511780751,0.698464932752087,0.100825273699605,0.212286582730276
"AAR2",428.267535722555,-0.0658954149959648,0.113227861244944,0.540153367563657,0.68428755631769
"AARS2",334.153527081526,0.272430331918663,0.194445643306676,0.0998383432822611,0.210759573885402
"AARSD1",183.260936821848,0.126872329421072,0.159078247740521,0.375927343743165,0.5392923386243
"AASDH",159.638403047421,0.174870933048288,0.131466478769975,0.153489056271853,0.288439769211393
"AASDHPPT",899.309558835601,-0.200166873984045,0.15280309641441,0.149015900461621,0.282873656012215
"AASS",41.8874978876267,-0.127864494283437,0.432790525828004,0.548460161848747,0.691229430783601
"AATF",816.689135934965,-0.402938878458508,0.151351923051571,0.00324180932173218,0.0142767925158025
"AATK",18.0018637239658,0.0619244024305877,0.295457070658786,0.757462948860758,0.847942334707014
"ABAT",38.9894789007471,0.0551732050751589,0.333133246849768,0.787656547441646,0.868324754232771
"ABCA1",940.711099117801,3.36883469537449,0.461394070287786,1.17478645521684e-15,1.10172439348143e-13
"ABCA2",4291.39513741061,-0.112651044187964,0.237200167665978,0.544209090665005,0.687580591435383
"ABCA3",4074.36712889296,-0.0260969164483366,0.115405176956461,0.811492465822589,0.884418916026657
"ABCA4",5.61039135948229,0.651263014721495,0.862508729523689,0.0390698591894905,0.103410885757298
"ABCA5",88.9036321704798,0.605009999826273,0.257625537436043,0.00222678150010134,0.0104414699655437
"ABCA6",3.41145546418096,0.0931041234073234,0.625817514191719,0.621683018677998,0.74884172532235
"ABCA7",156.923560476887,0.027565183770432,0.220067358109242,0.877307114198761,0.926215514504544
"ABCA9",1.6559363826349,0.0448842846924117,0.635292193202154,0.803098680677353,0.878557617116835
"ABCA10",3.64573145126855,0.693416435402674,0.793079909064994,0.0321572779097544,0.0889669527460815
"ABCA12",556.072011503955,0.188332857577263,0.32760682352443,0.368372159967998,0.532546892015819
"ABCA13",3.19673071764173,0.103827057275752,0.547166657989818,0.609541089158261,0.73922379032373
"ABCB1",144.097356085305,-0.0214382653472453,0.377507259275742,0.917333272332826,0.95166317905505
"ABCB4",2.33421695579361,-0.716468325185832,1.06503419002514,0.0302550044981714,0.085061914083976
"ABCB6",653.314220337286,0.335715428624472,0.128108450475727,0.00495861981302499,0.0203884151591406
"ABCB7",302.421380448696,0.223844000328359,0.16942799441003,0.136181039919846,0.264885102396663
"ABCB8",317.57271818503,-0.00526811045887253,0.265254964678632,0.978348092338134,0.98786477515579
"ABCB9",204.900588829365,-0.138140460421737,0.182131962132024,0.383323300265715,0.546430257911313
"ABCB10",293.880418249472,-0.0631663365541977,0.225837282696188,0.727217311552008,0.827410622384086
"ABCC1",2424.63226482464,0.0752741248713909,0.119709036705574,0.505379581903264,0.65560841211872
"ABCC2",1170.9026380985,1.3747086484517,0.382870441378127,9.41029518139823e-06,9.96632223541944e-05
"ABCC3",4997.6037114187,0.945553740644385,0.163017403842664,9.89066696335677e-11,3.49930263726824e-09
"ABCC4",6882.76997952874,0.0827622877696752,0.154018991217317,0.553622607440353,0.69543696984689
"ABCC5",178.049056519168,-0.0380453605570059,0.236882156719021,0.837411257816552,0.901402118083666
"ABCC6",53.0134809148461,3.44036601380997,0.423062743473042,1.9671592264815e-18,3.06167626890568e-16
"ABCC10",221.747810709172,0.110167261957541,0.2968060322577,0.584810323442496,0.720726112792855
"ABCC11",2.04492723550305,0.0579830219061487,0.5632594056154,0.766652261110071,0.854557196279485
"ABCD1",235.983058015154,0.387660799579779,0.213116495213144,0.0270987571962988,0.0780471568219863
"ABCD3",582.628291636772,-0.0339506518250939,0.211978327570599,0.846008562923733,0.906780489296815
"ABCD4",203.360219270657,0.718782767045994,0.201983416662839,1.99458720838134e-05,0.000191648337243209
"ABCE1",1773.00366682612,-0.158680985653519,0.128394569668789,0.186331208610704,0.331546056958773
"ABCF1",1011.27273996987,-0.398964680262934,0.12195067938016,0.000480174508319244,0.00290031743351623
"ABCF2",909.563712708605,-0.296839458536994,0.246736503469418,0.119530115920674,0.240783632070893
"ABCF3",400.562422563498,0.396278667579198,0.150411773363208,0.0036284552067453,0.0156969379749626
"ABCG1",8.54049279847381,-0.283268085274614,0.580763072042146,0.227312139794565,0.381042827873063
"ABCG2",2.68064728355033,0.0254209467819792,0.575847158813811,0.894016559650007,0.937057163262777
"ABCG5",1.76201254404247,-0.0470772678922553,0.501366812978101,0.816755223045257,0.887759021868175
"ABHD1",2.68808460929628,-0.178913215397073,0.565186514910447,0.403380469941968,0.565368553019289
"ABHD2",1632.73294032752,0.109703056111237,0.185043402867,0.493580792664345,0.646894631297043
"ABHD3",135.06866380509,-0.226674082987958,0.20619813196075,0.187635733182485,0.333001744489253
