"","XP142M_TGc0","XP142T_TGc1","XP158T_TGc1","XP165T_TGc1","XP166T_TGc10","XP183M_TGc1","XP206M_TGc0","XP213T_TGc1","XP213T_TGc2","XP243T_TGc0","XP245T_TGc0","XP250T_TGc1","XP264T_TGc0","XP276T_TGc0","XP289T_TGc0","XP315Th_TGc0","XP315Th_TGc2","XP331Th_TGc0a","XP331Th_TGc0b","XP331Th_TGc1","XP369T_TGc0","XP389Th_TGc0","XP389Th_TGc2","XP394T_TGc0","XP434M_TGc0","XP469T_TGc1","XP469Th_TGc0","XP473Th_TGc0","XP473Th_TGc1","XP519T_TGc0a","XP519T_TGc0b","XP536T_TGc2","XP579T_TGc1","XP607Th_TGc1","XP685T_TGc0a","XP685T_TGc0b","XP700T_TGc1","XP700Th_TGc1","XP740T_TGc2","XP785T_TGc1","XP966T_TGc0","XP976Th_TGc1"
"HIF_meta_gene",0.600745200934043,-0.066077230529775,0.379619239430776,0.533501443319958,0.844641180365908,-0.698526909728865,1.03644299872961,-1.63169862638005,-1.62715776005297,0.893570152853311,-2.10426448676504,-1.65184516144408,-0.210447495896019,1.10815279500884,-0.189525520659626,-0.251100884972021,-0.46955372414223,0.186678135792094,0.152676359547993,0.234175815706959,0.968680511283723,0.745952260288804,1.01219060933172,0.701710642864147,-0.553106302193576,0.290785602588931,1.04925213624223,-0.813345625641361,-1.03914233983231,0.776877744250279,0.793158131218827,-0.81621718725258,0.872914227580308,-1.77961727263341,1.73063241853775,1.80074310320236,-0.319907584849183,1.02473179832105,-1.38130927159486,-0.501440618176353,-0.76987223184118,-0.863676272814165
"HALLMARK_ANGIOGENESIS",-1.75842129944585,-0.788762311390668,-1.0680204608622,-0.634632701730544,-0.290988315691429,-0.86734273725295,0.841448536021916,-1.04041845731735,-1.562371975972,-0.400994865266258,0.698768933996407,-0.345435027373408,-1.84662990676417,1.31994855813469,0.337902840013778,-0.178233070880855,-0.409589354285353,1.1927427247321,-0.168849023574168,-0.92619234481673,1.2285991124667,0.867525549156375,1.55542124461295,0.338435704452529,0.293974086091905,-0.348564539966938,-0.86721300759287,0.0755133105734511,-0.600873239611685,0.542787600711681,0.398842270904814,0.279503856009723,1.75590233385004,-2.25779862971483,0.829652721128801,0.604707620143991,-0.835037794042836,-0.220468303331766,0.614765905117336,1.43880781614264,1.65923397622747,0.542352666395552
"MP6_Hypoxia",0.216866220216128,-0.490175587534966,0.176843893245144,0.497690066618124,0.307654242572273,-1.61155035353151,0.29822084633895,-1.92638555310907,-2.30018273819604,0.939776604338394,-1.50901370454343,-0.780328253336418,0.0626077646490057,0.94263239129988,-0.401162554503809,0.886863151741292,0.640648169109142,0.780207330734564,0.65232085925446,0.864793910866316,1.40896778966234,0.271340472278046,0.609926729463509,0.906036474323747,0.319118485569889,0.359112758505532,0.662784888182309,-0.990384473287527,-1.48376355379511,0.503226521888854,0.497309100941396,-1.31807557923955,1.22966472135136,-1.0863556961929,1.48022671933192,1.53143002093317,-0.503147508539201,0.668678806610478,-1.22559843338221,-0.460183794006269,-0.295441763766089,-1.33319939306211
"HALLMARK_HYPOXIA",-0.0330914397761798,-0.926214001788878,-0.398771873623527,0.272255339221349,0.698248933648795,-1.22204086974281,1.4974551287652,-0.998305746682075,-1.78313032631755,1.29952252157545,-0.675819168022589,-0.24070075147145,-0.367748917342245,-0.151246522313548,-0.545791700057579,-0.15181521464495,0.0250525869128116,1.0698621350397,0.586324112632749,0.994202997656624,0.802414903873876,1.14142715656232,1.10756725255612,0.595117725221877,0.059285883480752,0.0816803289083596,0.997759450167314,-1.75047928784876,-2.1719654570579,0.543083830717057,0.532932713119953,-1.2602471409803,1.56768528862349,-0.865100577773915,1.04741646597092,0.925410516682653,-0.673150054574276,1.43434283167584,-0.777844188924703,-0.20589861523167,-0.207246385201703,-1.87243986363652
"MP1_G2_M",-1.06244225198194,-0.529532526543627,-0.497651243212042,0.00384665671178224,1.86730245461263,-0.398328414166666,1.10405884134536,-0.563243534001405,-0.529919145630992,-1.21657280829613,1.22847453521487,-0.193543031201027,0.739329956283278,1.17369289954671,-1.31766929883452,-0.21210985109947,-0.124976011040593,-1.48806509513933,-0.777775576806315,-1.2376113965372,-0.120610012034028,-0.278643544440394,0.114183013992983,-0.92673947493569,-0.667858949621611,0.359018447283769,-1.23379867298516,-1.07718592698269,-2.03712093442106,1.4800815036977,1.48812189454745,-0.403276713417932,1.56305193476654,0.166391555112778,0.601431898866595,0.707990571224009,0.626653905776686,-0.52535816913881,0.417138249181218,1.46749177615217,0.507575364046862,1.80419712410528
"MP2_G1_S",-0.453023217171891,-1.05409750326716,0.000495685989034476,0.615491021067774,1.28077998763728,-0.413029381297282,0.88648230438395,-0.0826458182162479,0.0533924082343848,-1.57388541857025,0.581939135443399,-0.420257093319137,1.23887229166895,1.1568678663786,-1.82260837679517,0.176918467550333,0.32845678005305,-1.71710719614538,-0.982002091100398,-1.35072509481337,0.139371699689148,-0.469045753462129,0.276472358954479,-1.27694985153,-1.51637996721286,0.774731973203182,-1.25412408391574,-0.943211673181361,-1.98970979945668,1.29633074402356,1.29404855293366,-0.268074624516949,1.01026899816026,0.117388760006581,0.474946693959267,0.467439475526246,0.890357922793665,0.425854200025998,0.965988652199223,0.895263758697578,0.768013859004339,1.4707033463881
"HALLMARK_E2F_TARGETS",-0.765581708282244,-0.916256782066325,-0.472255192130284,0.505409014541279,1.72743418603376,-0.379406883263481,0.922903846181781,-0.500926273433256,-0.60425861235836,-1.12300567471812,0.834753797612345,-0.00701478510721983,1.07001530755855,1.27148360606612,-1.73727723592364,0.116484749983913,0.178560308459729,-1.67680215940035,-1.05360824349327,-1.43930139726203,-0.185915914492034,-0.184497283961028,0.220657683230973,-1.0093191705023,-0.963436871972451,0.653778217016432,-1.0614917906649,-0.921959353891197,-1.65847541604297,1.54729971972772,1.56147671954703,-0.742528759110828,1.27806957345848,-0.166639151386244,0.414618628820622,0.538472986762354,0.684643248665384,-0.165371309403386,0.601784170399822,1.2381076627253,0.552349946101696,1.81702659597265
"HALLMARK_MYC_TARGETS_V1",-0.212410486235368,-0.647078409380995,-0.704632054633148,0.411553302799136,1.67607225505613,-0.589794346015189,0.570433888497373,-1.05891566633979,-1.15741658285753,-0.558208971107489,0.865709311132939,-0.0727248469485542,0.863598276552613,1.18723420895872,-1.53468835260379,0.720746924551827,0.715377633831818,-1.58253417208224,-1.12834771304302,-1.44365102278237,0.327485990298909,-0.0155721214932281,0.449236577409556,-0.435039921141604,-0.879508793045184,0.409972523065903,-0.473613626818184,-0.330292496486237,-0.440053914567995,1.33367868288041,1.30316849464497,-1.69347609508621,1.64674377298267,-1.75055155272519,0.253431336521471,0.364577599781849,-0.17527533709068,-0.59505605127403,0.0444741796344442,1.25524108233074,1.0575119386417,2.02259455418492
"HALLMARK_MYC_TARGETS_V2",-0.265817457593131,-1.14993761493955,-0.70011566631006,0.248461533002029,1.1071825209428,-1.48189255919367,-0.524991795273991,-0.470128311288733,-0.938532535251071,-0.637938574684942,0.882641327776122,-0.376039645552259,0.524075540205231,0.459102802942412,-2.1981907282371,0.745909053518742,0.92194199230463,-1.50818751511473,-0.886470440187444,-1.2589994484319,0.455147642116274,-0.309916465654063,0.566534415691769,-0.42006578386352,-1.42540070975777,0.629595741846569,-0.828318853985063,-0.355022962843027,-0.495871199579752,0.870809886440493,0.867543527479386,0.131714796279962,1.65445025395085,1.81077283640833,-0.101165028052465,-0.469960289534784,0.335012883296046,-0.165790436855786,-0.416119075637037,1.3822490516388,1.69025089106086,2.10147640092054
"HALLMARK_G2M_CHECKPOINT",-0.929899840507597,-0.879348192451753,-0.678332009433656,0.258010572475939,2.01191683873841,-0.47709981140039,1.08351828901296,-0.52896663504337,-0.683945884600747,-0.807862817179002,0.935155564024098,0.0146913832362587,0.809886525809485,1.33802966487805,-1.58972570359947,-0.0246040707982556,0.0213052659768197,-1.36322334575431,-0.859260097963993,-1.23890719784496,-0.0155451157177227,-0.246912801857144,0.158774775065632,-0.865279700481325,-0.799198585462113,0.573393819678826,-0.913691189455982,-0.796110362660202,-1.56415497455551,1.71629232864807,1.76021098387116,-1.16623884752539,1.45333959338107,-0.596374931694086,0.636353693083905,0.659936881102022,0.278616104904239,-0.555901821933285,0.342458976383841,1.33729362818562,0.431948183305267,1.75945086615859
