"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"A1BG",3.63844116992827,0.642714075265142,1.28839595751123,0.0251441061282066,0.0631470282977208
"A1CF",52.0474003866477,-3.43389536988056,0.734756085964919,1.57073577028742e-08,1.9114752053682e-07
"A2M",34.7131797909154,0.173506876429092,0.707850853661846,0.329848587964334,0.473166111139407
"A4GALT",1339.42016620137,-0.181356304098964,0.131166384629131,0.134572003181998,0.241252305242497
"AAAS",660.941760875545,-0.581027077351441,0.123781051809532,5.85088092066609e-07,5.28790039168734e-06
"AACS",1451.27307188679,0.386131558747881,0.168400413020107,0.00972365933473259,0.02864040890674
"AADAT",35.3420621986399,-0.745028991474918,0.432825544284168,0.00583056402427884,0.0186323242424061
"AAGAB",491.233934315709,-0.597308802100709,0.14080569777123,4.34381198904951e-06,3.26291157012244e-05
"AAK1",1676.78788853386,-0.310648234318612,0.106106812898757,0.0020209272578209,0.0075224909706867
"AAMDC",63.2518464768255,-0.285404921691456,0.27071858499231,0.159064768977909,0.275425054921435
"AAMP",1261.44442223897,0.0653108043378267,0.0926461678001283,0.462896137131388,0.602077452693019
"AAR2",614.393381938309,0.0139362537598353,0.133904160804556,0.910242484821595,0.947186311731263
"AARD",2.87462866896547,-0.917681564763373,1.43164440029468,0.0124100627647379,0.0351213383792755
"AARS2",471.440835063955,-0.119232166491328,0.134244439302519,0.335249002190199,0.478291794260041
"AARSD1",217.177631313223,-0.36314645056205,0.164163455689771,0.013030636185355,0.0365939303237711
"AASDH",125.81366090499,-0.19301085952736,0.219636338182772,0.282727225561022,0.422158519019272
"AASDHPPT",892.420697762907,0.155076913397025,0.114809591338242,0.150745451713958,0.264118672850182
"AASS",52.8236072081071,-1.42723213232429,0.975018463370158,0.00203836281887023,0.00757925687113018
"AATF",860.00217711831,0.0475656393240716,0.13204635351128,0.696930127487408,0.798258888592537
"AATK",46.7565409019498,1.83771992798831,0.605356473265498,2.78132637057631e-05,0.00017171936243438
"ABAT",130.287823455855,-1.95664432153484,0.470862539661692,6.92088585887403e-07,6.13504469777377e-06
"ABCA1",499.999597546753,0.959816295529885,0.190034968386472,8.79142314493953e-09,1.11688107408192e-07
"ABCA2",2654.54666049805,0.513235299275128,0.140994845926314,7.76788266016607e-05,0.00042831413411957
"ABCA3",3345.61023300485,0.671395617214178,0.175602912874432,1.6467969186505e-05,0.000107510652482063
"ABCA4",3.62039728938036,0.358355144547112,0.871848222526287,0.104619990022741,0.198413277045179
"ABCA5",102.46303333857,-0.633763650860587,0.322907368159283,0.0059901566279888,0.019068711083086
"ABCA6",1.37473264240358,-0.194421749818795,0.819899372288766,0.235113160577046,0.369852010056169
"ABCA7",213.776059417232,0.250887150111542,0.194815313172215,0.130570132244465,0.2358900175319
"ABCA12",757.937945364399,-0.53262763026803,0.183695269661569,0.000914080316926894,0.00376068690294389
"ABCA13",3.35197454156515,0.0255730174592219,0.626839523979249,0.875326113591579,0.925211365627122
"ABCB1",185.770202301657,0.154227604310351,0.292743679697387,0.454671123647753,0.593742317860766
"ABCB4",2.02490248251653,0.0437955017593674,0.643844816809206,0.784510178940387,0.863359488532444
"ABCB6",608.651362138407,0.0753856006647968,0.13315584811029,0.539832063837669,0.670132155978207
"ABCB7",267.653305796027,0.275596578217952,0.157826290820132,0.05131542007653,0.113287527485948
"ABCB8",352.87875200891,-0.764678279020205,0.159601589092673,1.21853502702572e-07,1.26060674346963e-06
"ABCB9",271.427337067797,-0.480079245748681,0.162157628195353,0.000969463951381311,0.00395453495957452
"ABCB10",436.899137679048,0.147981777111626,0.123684024783867,0.19912085840907,0.325589462323203
"ABCB11",1.9591710298189,-0.0532053605333835,0.580766484794596,0.763834005360774,0.848480195081273
"ABCC1",3187.51399036745,0.18668757784795,0.0852085411382698,0.0231215661267678,0.0589182167897691
"ABCC2",1167.13984892375,-0.396624175565813,0.129021009897701,0.000941154262692185,0.00385378780588214
"ABCC3",1579.56092521715,-0.131030797478253,0.181277659583113,0.405167248037876,0.547204559192898
"ABCC4",2127.28952587027,0.286086281951113,0.0803859014575031,0.000238428486396956,0.00115251511908884
"ABCC5",764.495345257708,-0.00370663970103947,0.19447696411992,0.982145015041341,0.989563351998585
"ABCC6",38.7312730758946,-0.44777243920969,0.512862547960253,0.0785823784785829,0.158570667146674
"ABCC10",493.966200676999,0.36133222322125,0.16096911684903,0.0120879374441849,0.034356885097967
"ABCC11",2.09112639182459,-0.117782754045845,0.594808315455088,0.523993603410176,0.655488120839438
"ABCD1",526.99696725951,-0.342469238048449,0.142216783263998,0.00844164985739381,0.0253620015125189
"ABCD3",547.096266713803,-1.32307999496692,0.132441666370315,1.17967065927005e-25,1.21226452267062e-23
"ABCD4",177.856160359438,0.0671965815198803,0.197218468631969,0.687805251140581,0.792189476884457
"ABCE1",935.047987594254,-0.337100397089156,0.203950459189558,0.0497342963892459,0.110571136828207
"ABCF1",1036.35987090326,-0.554277025082272,0.133886898219545,8.41608176116077e-06,5.89976262115126e-05
