"","TCGA-A3-3308-01","TCGA-A3-3316-01","TCGA-A3-3320-01","TCGA-A3-3326-01","TCGA-A3-3331-01","TCGA-A3-3346-01","TCGA-A3-3362-01","TCGA-A3-3367-01","TCGA-A3-3373-01","TCGA-A3-3382-01","TCGA-A3-3383-01","TCGA-A3-A8OU-01","TCGA-A3-A8OV-01","TCGA-AK-3458-01","TCGA-B0-4706-01","TCGA-B0-4712-01","TCGA-B0-4811-01","TCGA-B0-4818-01","TCGA-B0-4827-01","TCGA-B0-4842-01","TCGA-B0-4852-01","TCGA-B0-5081-01","TCGA-B0-5085-01","TCGA-B0-5088-01","TCGA-B0-5092-01","TCGA-B0-5094-01","TCGA-B0-5095-01","TCGA-B0-5096-01","TCGA-B0-5097-01","TCGA-B0-5104-01","TCGA-B0-5107-01","TCGA-B0-5115-01","TCGA-B0-5116-01","TCGA-B0-5119-01","TCGA-B0-5120-01","TCGA-B0-5121-01","TCGA-B0-5693-01","TCGA-B0-5694-01","TCGA-B0-5695-01","TCGA-B0-5696-01","TCGA-B0-5698-01","TCGA-B0-5699-01","TCGA-B0-5705-01","TCGA-B0-5709-01","TCGA-B0-5711-01","TCGA-B0-5712-01","TCGA-B0-5713-01","TCGA-B0-5812-01","TCGA-B2-4099-01","TCGA-B2-4101-01","TCGA-B2-5639-01","TCGA-B4-5377-01","TCGA-B4-5832-01","TCGA-B4-5836-01","TCGA-B4-5844-01","TCGA-B8-4143-01","TCGA-B8-4148-01","TCGA-B8-4151-01","TCGA-B8-4154-01","TCGA-B8-4620-01","TCGA-B8-5158-01","TCGA-B8-5550-01","TCGA-B8-5551-01","TCGA-B8-A54G-01","TCGA-BP-4163-01","TCGA-BP-4164-01","TCGA-BP-4801-01","TCGA-BP-4960-01","TCGA-BP-4962-01","TCGA-BP-4964-01","TCGA-BP-4981-01","TCGA-BP-4982-01","TCGA-BP-4985-01","TCGA-BP-4987-01","TCGA-BP-4989-01","TCGA-BP-4993-01","TCGA-BP-5169-01","TCGA-BP-5170-01","TCGA-BP-5176-01","TCGA-BP-5180-01","TCGA-BP-5182-01","TCGA-BP-5183-01","TCGA-BP-5184-01","TCGA-BP-5185-01","TCGA-BP-5186-01","TCGA-BP-5187-01","TCGA-BP-5189-01","TCGA-BP-5190-01","TCGA-BP-5194-01","TCGA-BP-5195-01","TCGA-BP-5198-01","TCGA-BP-5200-01","TCGA-CJ-4634-01","TCGA-CJ-4636-01","TCGA-CJ-4637-01","TCGA-CJ-4638-01","TCGA-CJ-4643-01","TCGA-CJ-4644-01","TCGA-CJ-4903-01","TCGA-CJ-4905-01","TCGA-CJ-4908-01","TCGA-CJ-5676-01","TCGA-CJ-5678-01","TCGA-CJ-5679-01","TCGA-CJ-5680-01","TCGA-CJ-5683-01","TCGA-CJ-5684-01","TCGA-CJ-6027-01","TCGA-CJ-6030-01","TCGA-CJ-6033-01","TCGA-CW-5580-01","TCGA-CW-6093-01","TCGA-CZ-4853-01","TCGA-CZ-4864-01","TCGA-CZ-4866-01","TCGA-CZ-5451-01","TCGA-CZ-5453-01","TCGA-CZ-5454-01","TCGA-CZ-5460-01","TCGA-CZ-5461-01","TCGA-CZ-5465-01","TCGA-CZ-5469-01","TCGA-CZ-5470-01","TCGA-CZ-5982-01","TCGA-CZ-5985-01","TCGA-CZ-5986-01","TCGA-CZ-5987-01","TCGA-CZ-5989-01","TCGA-DV-5566-01","TCGA-DV-A4W0-01","TCGA-EU-5907-01","TCGA-G6-A5PC-01","TCGA-G6-A8L6-01","TCGA-G6-A8L7-01","TCGA-G6-A8L8-01","TCGA-MM-A564-01"
"HIF_meta_gene",0.320815006071548,0.141679996221828,0.362686661906615,0.499950510886428,-0.363202011031138,0.476022852068613,0.157725572548201,-0.606435569779842,-0.54294286279294,0.794554759073015,-0.321577122916538,1.74317310755647,1.60826313406076,-0.880453937078449,-0.234678844400376,-0.240338847012835,-1.51693052479089,0.281312147740491,1.56192280726225,0.726163030918239,-0.447169920469479,-2.87383180358946,0.418196726700759,-0.513506587754155,-1.19269221180552,1.55020161439906,0.0286970237710357,0.842461931750526,-0.0838774821999003,-0.0141982788401093,-0.819761233660204,0.966227652155493,1.66933140885489,0.92083189875336,0.771540189612597,-0.719207559364285,0.291182856735195,0.725349898046541,0.805943134251767,0.442856338578255,0.614486302993472,0.308262537267537,-1.34111157466822,-1.78451465513304,-0.00738145277521224,0.577132601786504,-0.718139499685619,-0.102846857221127,-2.4379900519468,-0.277221123045416,-0.924901520282463,0.601836442069799,-2.69772595455048,0.805278965228178,0.829376835213462,-0.263977657582608,-0.849520738068352,0.145114080388382,-1.02736265440477,1.26389675491009,0.980489080455566,-0.999334719717666,0.0195968449216547,-0.166533913389152,0.415004741087236,1.06572958203502,0.261372997506249,0.731426202392989,-0.265118870715172,0.604835820841519,-0.503594192713613,0.465096476530017,0.438591468590262,0.943816563746554,-2.53636209956775,-0.0998788346758073,0.342880448220428,-0.00484377957135082,0.0502959059219909,1.05755177040295,-0.608453900666045,-0.299272978546631,0.351209274866564,-2.27072285167775,0.924067593907141,0.291036833709985,0.345885865568183,0.192967574418607,0.204312621930555,0.0753636115119685,-0.311575772153126,-1.20907793179007,-0.365588264658092,-1.54635549266085,0.0936687405676098,-0.324994983286223,-0.107649100450278,-0.19473594890649,0.143465292507316,0.129834401004394,-0.0989889658170223,-1.1777712842783,-1.9837251583247,0.79285423328849,0.283483361455483,0.603515124974018,0.187548475493342,0.292668406992178,-0.572867097003974,-0.299224883514011,0.951537455821556,0.878133956206244,1.4032477256165,-1.99062283916856,0.0338255841340207,0.421332034453737,1.29262894734854,0.895163575714394,0.764999522604759,0.00178685862004798,0.936027859290761,0.995635835436019,-1.15827703007581,0.631758869809638,0.381673456291089,1.78136760856691,0.96667596231042,-4.50515638184256,-0.530822985396012,0.698149338453587,0.913531933744378,-0.706241995955257,0.27794091752389,-0.15849578773852,-1.03809284521659,0.0714178897517876
"HALLMARK_ANGIOGENESIS",1.05524111556281,2.1773781054982,-0.47727027294795,-0.675234572355704,0.163208971623269,-1.1230184141327,0.747471462365707,-0.058711439677211,0.282862707223778,0.0333401168147733,-1.07451718133041,0.463011799400777,-1.42908899606094,-1.57978376428488,0.362192560161939,0.118064570592526,-0.174946455397558,-0.313027324495043,0.751991577769068,0.0338055685242879,0.445323350606987,1.04173012308618,-1.27161625467603,0.828389352315093,-0.171189570435301,-0.775354002255743,1.00944568130368,0.800715915636595,1.77766152353376,-0.0210689984083803,-2.85152547742626,1.00244945203401,0.254299029385265,-0.444542319835424,1.32183544815017,0.792095346115154,0.392474022244757,0.758077287458119,0.451176455671372,0.347995327124397,-0.230021232192321,-1.12960997183838,-1.49191717776939,1.03108314971894,0.570601953391824,-1.49042335909638,0.291231423966999,1.13604124796438,-0.872723111562689,0.855307944145398,-0.191355392786735,-0.567323981049555,0.900224548712628,0.692198133135026,0.381419413964399,-0.643929789224849,-1.09384898165305,-1.63927734279756,-1.17265574710911,1.59803733770258,-0.723747340787156,1.1627063181658,-0.643289175020923,-2.64217468424812,0.26610138327643,-1.9577896302236,0.845786498561639,1.01792451985693,-0.207163208910085,0.379403261194435,-0.406091697864383,1.27052708753447,1.26690033194522,0.0474351497394191,-0.127578229186448,1.53137595081322,0.0418299387826756,1.5478995322879,0.814687654486536,-0.781875784948638,0.711271455685641,-1.21271017561945,0.936260110933941,-0.790519225000626,0.638771199098688,1.07547539940806,1.12046221899422,-1.21044554923656,0.173233745128748,1.82642948244792,0.800755958432071,1.40768155640349,0.70773558528251,0.566556826740077,-0.287548232784354,-1.8213602880676,0.395598154453388,-0.376776770115663,-0.12442508186842,1.5821955393302,1.51739772160619,0.615699670326425,-1.18490734873438,0.363572695654227,0.117638137899375,1.44084703772304,-0.00473731573264713,-1.70445523320753,-0.026050080749451,1.49729155112877,0.285131967014029,0.738852069414249,-1.85216422212692,-0.468224198700098,-1.32592804477503,-0.460963112112194,-0.263754295386747,-0.400302248142811,-1.0180302785931,0.529406068201598,-1.29990412023265,-0.047295583603804,-0.160864591315703,0.193331087562881,-0.566332462220232,-0.753415167222985,-0.0694200546382816,-0.3228690785072,0.265037537727484,0.164645933607779,-1.38488223851189,-2.0643424388034,-0.301910268005646,-1.18647200383237,-1.66051621298084,0.0729784430629192
"MP6_Hypoxia",0.840406252676644,1.03686561721426,-0.314252788832359,-0.489478244516044,-0.931800341577326,1.36726651594738,0.561688892185872,-0.768713271820478,-0.928712630397985,1.40730696589555,-0.992089521736171,1.63007797838009,0.58344956121855,0.281261466297327,-0.378907066297818,0.325134520523015,-1.64118844888975,0.090018950749726,0.873919663444677,0.0866691662364407,0.594568566537935,-1.25691994939509,-0.366910594481579,-0.0113451547059864,-0.592108205672446,1.88175991379215,0.797275143893627,0.973364019273281,0.922236928007367,-0.0841881669889121,-3.33590544598174,0.293049824766853,0.614714203004587,-0.48857936788462,0.298334998837187,-0.425685585694051,0.0506219268613802,1.10560423148162,0.713535224003901,0.22493352053975,0.114120880302476,-1.04827956643006,-2.75455013560984,-1.82809927293434,-0.326013664266107,0.207425428211976,-1.05170329544444,0.193100548253402,-1.14448539307273,0.520210319784198,-2.08205878123323,-0.124444435976129,-0.997911014693997,0.821633524356127,0.547582702823597,0.106483915611797,-1.21101312167231,0.131028440343578,-0.461979150736827,1.95098130803455,1.28649050704645,-1.05281535764848,0.494304612664703,-0.749486893267265,0.15851662361907,1.0801972031253,-0.160324051803975,1.34540959820655,0.0405300976809067,1.07944409759201,0.369004675406485,0.165433899174912,1.48655889911225,0.141719496423021,-0.614558892491677,-0.179878692684135,0.465386600872689,-0.0821401145729973,-0.268643765374458,1.06552401834987,-0.524984964336229,0.212729627188798,-0.00746035959250299,-2.13011015846147,-0.266894214533235,0.50912531211034,1.38320180016573,0.238855439412573,0.00541388050678515,-0.0342653770174866,-0.0244646855178828,-0.639821495950884,-0.984120209295768,-0.789205005582975,-0.109810097594867,-0.867351727085845,0.270053028979047,-0.520012285250834,0.180824081511018,-0.438499788821192,0.908160258620609,-0.98998719709303,-1.3987439793809,1.15186352593958,-0.423056673837582,0.29325133344052,-0.217221221422114,0.879773610343442,0.0587010717187419,1.02788546393556,1.14966948029404,0.442580979520797,0.045649176540953,-2.38181557747055,0.309186516859142,-0.181924999465666,0.434244615770431,0.906362735354901,0.607275034720253,-0.109534276205218,1.1358509422883,1.15258712384478,-0.58894898346922,0.449292462768647,0.871072157985284,0.28167939511652,1.16821806611657,-4.55713775141709,-0.41243917040325,1.26502282232817,0.309208106549867,-1.1370898170722,0.252251213605866,0.79462495990433,-1.06638096069551,-0.0733143104486422
"HALLMARK_HYPOXIA",0.61437242896021,2.28034462491383,-0.0391598750613099,-0.547223602085537,-0.169906719570105,2.05064493166533,0.688794572230227,-1.00715863499725,-0.160730530346507,1.4578674128314,-1.09019175179631,0.907002955393945,-0.614881093227797,-1.01104333425609,-0.61085416371454,0.958038179513271,-1.82731775941737,-0.212851269896747,1.81951746249103,0.250555482653122,0.153609800415773,-0.602429012957167,-0.604561223501355,0.543643779504337,-0.802196905694879,0.416046602464435,1.21619195432556,1.1310130449611,1.98881747953016,-0.230218041288087,-3.68260563641152,0.532376510663782,0.560518218399284,-0.405251245805922,0.877320172149094,-0.684668866363036,-0.549849282727901,1.4622543047973,-0.0777573492030044,-0.0374161263240714,0.436479483200087,-0.623042543507398,-1.9085306293342,0.314771461615745,-0.203839622329318,0.0228484914838861,-0.70114872564387,0.324295667744809,-1.9147849621686,0.128668278645008,-1.43333119999521,0.229452380914954,-0.916768141826672,0.36817874928002,0.174053951394366,0.346421141233645,-1.32221530857161,-0.778815424470623,-0.964176666806863,2.11424408703554,1.24685538441758,-0.0125316642308322,0.0745180113242328,-1.04362099203224,-0.712499665546023,-0.322554034318688,0.396002428111781,1.14674704349688,0.308858374299282,1.27295721358196,-0.0678288043234788,0.726463538902031,1.69509064134055,-0.712968812364138,-1.86800020748399,0.616560911774901,0.695217753255387,0.295850138937725,0.251876966635527,0.82411738046481,0.754089269835802,-0.680481175411743,0.720178722506097,-1.24603423679994,-0.0621710974688208,1.57061346613454,1.32025742686293,-0.440204903285157,0.483944653064875,0.447277784090622,1.59366813109953,-0.0809300178998659,-0.756154903695081,-0.896566173852787,-0.294932616507868,-1.2148590403192,0.235525816125298,-0.967632890461128,0.329988020174971,-0.451245667460617,0.742398509789985,0.0349554855841507,-1.24854965664744,1.3123957954682,-0.975289365578002,0.965385373982482,-0.286177797981161,1.00913186655557,0.0961601989589482,1.31607020147625,1.09803561405059,-0.641652340379789,0.0372787327903708,-2.0863208318323,-1.11613481457886,0.0313300024388603,0.102374503792861,0.572542097399802,0.0207418560440897,-0.299869968060978,0.744789232878618,-0.0677204044197184,-0.755999602117943,-0.14233091680697,0.420189326706675,0.430328772943,0.723068897545374,-2.94161037147652,0.0417373516809569,0.988274742998668,-0.0194420758587851,-1.69253170387776,-0.414353387664626,0.222321445999784,-1.34462813783528,-0.685758768054293
"MP1_G2_M",0.265906899427927,-0.188442159997582,-1.55237892528947,-0.513563481660707,-0.751242037225681,2.91347646033763,-0.813014745465067,-0.539090020068439,-0.49494742032034,-1.04964505312318,0.640950843790404,-0.74018949166744,-1.21070546566386,0.0552961369382937,0.170254512568774,3.22920570535774,0.869984008788332,-1.26364486756242,0.572053687517238,0.190796650821538,0.310006728241721,1.30329603229267,-1.04925206839765,-0.590947438901034,1.45359449077855,-0.612801260393681,0.509585821137132,1.33219758837767,1.20803158322499,-1.37399717793137,2.20275656924703,-0.816352668352082,1.68359679049107,0.0566235027472269,-0.544986595383462,-0.493832610129181,-0.280551020979283,-0.932580125616744,-0.772865798769326,-0.214040117902338,-0.448366912023359,0.471442892321265,-0.456589752263235,0.147154227805115,-0.584311823322937,-0.298458751580395,-0.344890839989008,-0.316305999395737,0.397345259676962,-1.13800359350164,0.339627064542722,-0.891527973066598,1.17954302475197,0.243374020408391,-0.602133706554392,2.14201730561332,-0.229292222072082,-0.702680149280898,0.086903014628099,-0.0153201002634602,1.88925399844332,0.873952762832822,2.782988032107,1.16558622239159,-0.534052623170703,-0.820453532810731,-0.995089231334054,-0.164919444822032,0.0974260281865785,-0.678281786000114,-1.3803975405234,-0.879596158226296,0.411524593590144,-0.785789470261297,0.934831176895259,-0.957780770902422,0.765600010093298,-0.591819177077371,-0.461996947927393,0.484900032014429,-0.40650500922087,-0.304763409638466,-0.174403728653482,0.267083501102891,-0.876072873556209,-0.299858480269899,-0.814094997741013,-0.623173933776302,-0.21582237730217,-0.868765430745554,0.988346898539514,-0.874977917081985,-0.850611961210652,0.327412116343598,2.03789572280948,0.937768237353297,-1.56736631176546,-0.477102626299834,-1.22956306028035,-0.61334725639607,-0.853431950857606,-0.597862268842623,0.76974032533547,0.999756698503279,-0.545500075053243,0.714303787072723,-0.623791022915208,1.71620838690649,-0.0478792850931093,0.925971143092437,0.220748725956968,-0.218582842572172,-0.732229248921563,-0.458130750438756,-0.416075984555637,-0.480082398709554,-0.331125680228546,-0.220318938416869,-0.472160101765003,-0.804029308756744,-0.641556153523807,2.17229454967194,1.29464872705396,-0.855331013274647,0.0993530015079089,-0.0765169052494634,1.32515671657249,0.745090737927742,1.02372022202422,0.0930308576545492,-0.488498924657262,0.0004347749238585,-0.962661401981238,3.25003309681008,-1.46107011107257,-0.729689107557277
"MP2_G1_S",-0.0201085012640998,-0.916314169125538,-2.05853431454616,-0.200188024065326,0.0370857671083635,3.01980539485882,-1.09110034371173,-0.570318063042338,-0.308347310494825,-1.79915630535508,1.69233627674574,-0.28154039701792,0.0482953023900373,0.7027846650065,0.0240493008375491,2.76358233677218,0.662085792835651,-1.34601238151703,1.42944878363741,0.155221386900819,0.851961325206893,1.23085188105347,-1.76406376794956,-0.777059724891294,0.907889318621705,-0.681130247105897,0.291353214404358,0.567091679881678,0.885845268258564,-1.38901567634362,3.0414755672947,-1.08608693806526,1.10675223312425,0.172037214502147,0.811033341153367,-0.50239675952219,0.764582166431703,-0.908923009633729,-1.12609508599578,0.18606866914066,-0.640772373876158,0.0013421077541614,-0.558311497343379,-0.16449764667467,-0.59972030115259,0.467028766071228,-0.291597350377573,-0.397862583104224,0.0795786186876799,-1.39684465969331,0.450255723942768,-0.476925048227247,-0.326017413967923,0.143931804276178,-0.696642238280116,1.79348771046157,-0.255170285326755,-0.722559860714841,0.192744338706979,-0.167078438256583,2.02331485693351,0.483131896144791,1.97629626333568,1.04532432241472,-0.393921406813701,-0.156849241778042,-0.812768947884708,-0.743550314166309,0.803213984610904,-0.471058312685702,-0.654319107306494,-0.988220528640188,-0.0925722484333085,-0.869685304036507,0.349623619816893,-1.41775426021878,0.457278539609737,-0.719210187978161,-0.139069245434415,0.316414316717132,-0.407010407927552,0.641842635811494,-0.0259843977728945,0.441085723446264,-0.456773622555064,-0.50240564872394,-0.891679392257459,-0.121861940631992,-0.643192890110933,-0.72415241902601,1.26169379076304,-0.66845641831856,-1.0370936587167,0.667665126230388,1.52826860972632,0.89930178507874,-1.6137822663263,0.453027581777438,-1.34780135220674,-0.665886720468288,-0.961741076324903,-0.921539671074953,0.487728608175151,-0.0318139403522872,-0.80925022908349,0.640972780379846,0.0331961394803539,1.27928364643774,-0.329967669622203,0.600051863545829,0.363772117628388,-0.145167689139947,-0.124980691613039,-0.513620240791063,-0.438695029374214,-0.055634131112587,-0.0618693717821404,-0.150691765205544,0.186411075974157,-0.609013509804629,-0.604564234552368,2.18410222233367,1.41284845415569,-1.30512055642941,0.0245399103991992,-0.365995020411932,0.958666332097466,0.0419281047484683,1.40564002904449,0.371700170247394,-0.501042857841638,-0.332210316124789,-1.1122068143397,3.61865987523125,-0.889117552962424,-1.08729701335848
"HALLMARK_E2F_TARGETS",0.279633897105986,-0.453001926139638,-1.30779028344946,-0.323124645534118,-0.396113874535469,3.14710073122939,-0.928411956231392,-0.0959282506805681,-0.58710110652498,-1.02103311653081,0.802816369280921,-0.717439463557762,-0.840048987929116,0.213854881321257,-0.0312354557023781,3.06540701895744,1.03104035752203,-1.22830226409574,0.519142147795753,-0.952073650070381,1.17372009056562,1.20638307325909,-2.03023237325937,-1.18332153975123,1.04238065512937,-0.513076437218788,0.159016534629057,1.1830280712863,1.28001558122016,-0.976227046476668,2.83688192156835,-0.795591036996527,1.37423029407582,0.022634050345997,-0.125286174685871,-0.727737586851256,0.461397211799206,-0.994873514028528,-1.0138773497879,-0.124205350420648,-0.153720626283377,0.277371245324147,-0.531841829150238,-0.0608272877587971,-0.52550998351744,-0.230205304007571,-0.137214530591713,-0.248675879469584,0.305309670759258,-1.1749795304438,0.26839233817528,-0.620739630303244,0.580883822420386,0.183937080944946,-0.626494406691837,2.47881683965101,0.108019760029187,-0.584020167062867,-0.219335320437723,0.286606768331652,1.97893939700754,0.593773853869197,2.51431272323808,1.05769545233291,-0.190378133007642,0.165366736199202,-1.18406462195599,-0.834313591181927,-0.466951198670777,-0.373919848980831,-1.26108621110835,-1.11687130510492,-0.0455171265131815,-0.738815768760508,1.17330854560444,-1.18225213259434,0.167709704664705,-0.795956111245906,-0.815411856414007,-0.0935225601719713,-0.820492356774498,0.192771600923771,-0.425643703946439,-0.250566512104913,-0.642729107088326,-0.258798635320611,-0.783992347349251,-0.819126307112339,-0.300171595640895,-1.03489449333066,1.12271351868729,-0.39739148709396,-0.865820655223953,0.62825930852522,2.05806047511653,0.536049648447343,-1.28102674517222,-0.0755509574795257,-1.07873190849486,-0.433735872414033,-0.836947121620766,-1.125749244877,0.482314135649897,-0.0669749787799263,-0.737504163070151,0.661106565358434,-0.433311123532277,1.65851356318842,-0.0280668841007739,0.535695924581061,0.640386611387757,0.468254740478543,-0.825596140459813,-0.103026235826056,-0.430088385269817,-0.55074244327604,-0.0825382797423488,0.24649777812151,-0.19447809061083,-0.398756097507458,0.213949837836482,1.99032004437279,1.314722528559,-0.403134956433973,0.00993198235114617,0.254631712655607,0.927061538805572,0.840959009954061,1.17573097000373,0.55745222113114,-0.245106082843317,-0.783481189080535,-1.06775151250104,3.22377275218039,-1.28777008286406,-1.02992924512967
"HALLMARK_MYC_TARGETS_V1",0.783189324401454,0.504690085093176,-1.43410135822563,-0.599610852648171,-1.13626825444879,2.65956933770406,-0.182362130929805,-0.21807257731719,-0.910435887184936,0.268438703352326,0.9365018796515,-0.893584869775456,-0.0487609375850517,0.425990927160011,-0.319646047667816,2.63397603119936,0.218231308775004,-1.03822799703152,-0.24860297763819,-2.16283541204238,1.92037887537869,0.577322513727734,-2.99593876107656,-1.52558167546948,0.325321693875779,-0.472981656904696,0.0975379222581711,1.50491913202526,1.35683929490044,-0.0808589730292211,2.09563241826592,-0.258747199949897,0.827052795808845,-0.671972445509607,-0.106733579049162,-0.0740870411303188,1.00903544649203,-0.389282315677195,-0.591252102588626,0.48719795397161,0.926499301306665,-1.01458134462044,-0.996065487080158,-0.899602618124907,-0.550844698659105,0.371535379833362,-0.631007099769516,0.123344237629896,1.43218456758199,-0.794525021726697,0.00499093236717215,-0.316032717871375,-2.45854652454539,-0.0701816741436671,-1.15191524918616,2.19385234704159,-0.483361616239779,0.489576753857931,0.256781760778048,0.93953200263824,0.62994283013583,0.642431291687319,1.84110252005912,0.261101022514999,0.665451700981369,0.649046589421042,-0.602405115358167,-0.541337974651172,-0.910270083510095,0.0243352615906231,-0.712052653386234,-2.03092901379613,0.905526623924781,-1.13409521901433,1.62260342164197,-0.506790897531745,-0.139517214898299,0.52229316456931,-0.434316515165487,-0.352427417642501,-0.919818004694656,0.190989444233931,-0.404564620631041,-0.829514889437374,-0.807659180305563,-0.0884475626335779,-0.533514246796916,-0.612685173444845,-0.19398331912593,-0.243193631420143,1.34890876657457,-0.683729869186467,-1.22903936989593,0.359477180331303,1.43559715513677,-0.570926750116387,-1.25001778743727,0.290848443665569,-0.471180049250752,-0.361901129994673,-0.392871819468454,-1.01699259630852,0.947598065063348,-0.449058713383705,-0.716399808514902,0.773913045299156,-0.204144037931394,1.57041440296724,0.149592467419762,1.31151276168388,0.181969910976157,0.898777406167562,-0.796065129081879,-0.668039877971687,-0.0349155431668382,-1.08815507279181,0.523478710587515,1.23545596962616,0.34990065914374,0.46493102109883,1.15246714502326,1.56506834597059,1.60859018930592,1.03029518011626,-0.801079143405283,-0.375348388985983,-0.180420605524455,-2.13860328448912,0.966978352411082,1.02547283747052,0.0244508985467196,-1.10855505050054,-0.141138383820537,0.843996303845493,-1.22168844476174,0.239760678010296
"HALLMARK_MYC_TARGETS_V2",0.37870319633694,-0.279702134651114,-1.46804098272005,-0.512018664853228,-1.88020920012412,2.43634073970455,-0.483742490042349,-0.692133093868762,-0.724310037067746,0.217948143338453,0.79152337731988,-0.075252058311168,0.402561131357031,-0.243420771317983,-0.321300731070511,1.35539413153381,0.746733474033956,-0.906711189874086,0.256076463589553,0.505883520596276,0.447431902913731,-0.0391262714484417,-0.592973427799067,-0.531471537084433,0.438012819408413,0.192431939889299,-0.712093866058842,0.508269031707359,1.03494623184683,0.581632246631831,2.51210046451243,-0.722837670151787,0.592752706249166,-0.887285131826603,-0.899744952101573,-0.0595108798720346,0.982624446802509,-0.363221207524101,-0.334940955564604,0.463725724937887,0.965558864048037,-0.92504132180547,-0.836848265000199,-0.610130290473142,-0.940007992411529,0.912165851178719,-0.622999894107651,-1.07775273611528,0.135099005223923,-1.52188113915994,0.149484637633926,-0.0616477484030116,-3.30997586677488,-0.641353198820624,-1.28190257254963,1.43422339433401,-0.0073247975930571,0.215491074899715,-0.94853522895303,0.73917426513112,0.274304209282952,0.46350677703955,1.47950555975703,-0.330538174951986,0.0933492768017855,0.478531099116204,-0.606825529012097,0.555963508648947,-0.371168062845601,-0.756251971283703,0.964044292200313,-2.66123668019349,0.128817282507319,-0.971824195539319,0.589911349940244,0.0653058793457686,2.00658946565583,0.385278881992135,-0.017249507337696,0.280074237258726,-1.09929216631009,0.821070202534675,-0.882457186038292,1.14281847094367,-0.798262339058273,-1.05677442154033,-0.750358166731066,-0.237846039442085,-1.10467882492013,-0.664351462009354,1.41489360134717,0.066130429300338,-1.63664809834879,-0.526929566355766,0.128296047412793,0.687701852803579,-1.45368346118688,-0.383762641101264,-0.0829648047013524,-0.858727790109857,-0.399293559500109,0.152874572373309,0.533490266736118,1.46985049914533,0.00106841025864531,0.664463006036264,-0.199194054695802,1.2480844119464,0.132686530235146,0.862405963895173,-0.242024748946318,0.637481617433391,-0.890445448720587,-1.0627359365045,-0.606807529983836,-0.716429241182726,1.06874571994472,0.390878269865497,1.02157981753016,0.463222818172919,0.419882655483198,1.56835571845278,0.66663461245259,1.31496963155071,-0.758494812223677,-1.13500574043211,0.459954932305894,-3.65717995195025,1.05339395351369,0.686449912969891,0.293351141588086,1.60441909828805,1.00090711842596,2.72855072526264,0.239516964443689,0.329290841298973
"HALLMARK_G2M_CHECKPOINT",0.699937102265833,-0.111920865763141,-1.1183956356359,-0.265909290185792,-0.40676034853974,2.73060928238416,-0.952035946765268,-0.236797422079195,-0.134901343622384,-0.772128603391914,0.00432676798724769,-0.996698658113535,-1.24275939467331,-1.30987075464951,0.0771855588392442,2.70927308043618,0.60975880673003,-1.4389907611568,0.486135260177809,-0.901456242372713,0.947096874072003,1.42780764136199,-2.0362677633896,-1.14788474622168,1.0759989313965,-0.88441259940062,0.787324485545977,1.57940961888504,1.85540493557132,-0.666672531579048,2.46542365036555,-0.657351336881867,1.54189520804462,-0.0915478885973746,-0.130148026955255,-0.648465288058912,0.413591589734751,-1.01212844859848,-0.69065321869426,-0.405442787222622,0.072458467874932,0.403514208363421,-0.5134448984504,0.462462767689683,-0.294876023297459,-0.745268073181523,-0.0632155010064992,0.225811189313885,-0.526413676384883,-0.802035135971204,0.370203311396234,-0.429952456453182,1.39333333279402,0.364369659618536,-0.132357312559642,2.08519574582507,0.419662585201418,-1.08994870537745,-1.17655542633629,0.230009995845975,1.95353130958614,0.658425400970491,2.97633845908144,0.910044465480632,-0.120891729174696,-0.214722088882061,-0.677953618249282,-0.606831061302027,-0.694285001831642,-0.51891927117882,-1.591955595647,-0.590738612204489,0.575395790145519,-0.511380380643799,0.938273074721291,-0.846083537713814,-0.0206944232462374,-0.9705887759838,-0.885068271531772,-0.343901264420904,-0.540957955952244,-0.11290064798941,-0.265025765217912,-0.500385409825481,-0.501996900961467,-0.0189647059435444,-0.446015124975486,-1.38206299700179,-0.111085273090197,-0.664906921753601,1.40695492686074,-0.0560443089980584,-0.620047671226869,0.198109773793205,2.29561221425681,-0.232397536154123,-1.00342204477094,-0.490252172107986,-0.999257949391304,0.114074313162385,-0.192156018550943,-1.10524354483632,0.102481553680808,0.0863580618388181,-0.769088132563455,0.65597263073475,-0.616450149879747,1.68813916916355,0.108076222604413,0.712141105260585,0.698882055821858,0.757275626082741,-0.840119194955289,-0.265236200315855,-0.866331396579922,-0.719848157351194,-0.182375819614552,0.206731150861875,-0.394145424410753,-0.346637472466964,-0.138315265027067,1.53586017426169,1.05200169572679,0.329350674443689,-0.0508877431258365,0.660001307444817,0.987597543309826,1.21341336082001,0.988934259981222,0.63833212757228,-0.118144063335892,-1.23973211828009,-1.42333311539004,2.75670284451388,-1.67863889037496,-1.1231245139065
